Data,Mandante,Placar_Bruto,Visitante,Fase
2004-04-21,Botafogo,1-4,Goiás,R1
2004-04-21,Figueirense,1-0,Internacional,R1
2004-04-21,São Caetano,1-0,Vitória,R1
2004-04-21,Cruzeiro,2-1,Juventude,R1
2004-04-21,Palmeiras,0-0,Atlético Mineiro,R1
2004-04-21,Grêmio,0-0,Flamengo,R1
2004-04-21,Ponte Preta,3-2,Corinthians,R1
2004-04-21,Paraná,3-2,Santos,R1
2004-04-22,Coritiba,1-0,Guarani,R1
2004-04-22,Vasco,0-1,Criciúma,R1
2004-04-22,Paysandu,3-3,Fluminense,R1
2004-04-22,São Paulo,1-0,Atlético Paranaense,R1
2004-04-24,Flamengo,0-0,Ponte Preta,R2
2004-04-24,Goiás,2-2,Cruzeiro,R2
2004-04-24,Juventude,1-1,Grêmio,R2
2004-04-25,Internacional,1-0,Palmeiras,R2
2004-04-25,Atlético Mineiro,1-1,Vasco,R2
2004-04-25,Fluminense,1-1,Coritiba,R2
2004-04-25,Corinthians,2-1,Paysandu,R2
2004-04-25,Guarani,1-1,São Caetano,R2
2004-04-25,Atlético Paranaense,0-3,Figueirense,R2
2004-04-25,Vitória,6-1,Paraná,R2
2004-04-25,Criciúma,1-1,São Paulo,R2
2004-04-25,Santos,2-0,Botafogo,R2
2004-04-28,Botafogo,2-2,Atlético Mineiro,R3
2004-04-28,Coritiba,1-1,Internacional,R3
2004-04-28,Cruzeiro,2-2,Criciúma,R3
2004-04-28,Paysandu,0-3,Atlético Paranaense,R3
2004-04-28,São Caetano,1-0,Juventude,R3
2004-04-28,Ponte Preta,2-0,Goiás,R3
2004-04-28,Figueirense,2-1,Santos,R3
2004-04-28,Grêmio,4-0,Corinthians,R3
2004-04-28,São Paulo,1-0,Fluminense,R3
2004-04-29,Vasco,0-1,Guarani,R3
2004-04-29,Paraná,2-1,Flamengo,R3
2004-04-29,Palmeiras,2-2,Vitória,R3
2004-05-01,Internacional,1-0,Paysandu,R4
2004-05-01,Criciúma,1-0,Botafogo,R4
2004-05-01,Goiás,4-0,Grêmio,R4
2004-05-01,Atlético Mineiro,1-2,Ponte Preta,R4
