Data,Mandante,Placar_Bruto,Visitante,Fase
1998-07-25,Vasco,0-1,Corinthians,1F
1998-07-26,Internacional,1-0,Grêmio,1F
1998-07-26,Portuguesa,2-1,América Mineiro,1F
1998-07-26,Guarani,2-0,Ponte Preta,1F
1998-07-26,Juventude,3-0,Paraná,1F
1998-07-26,Atlético Paranaense,2-2,Coritiba,1F
1998-07-26,Santos,2-0,Bragantino,1F
1998-07-26,Flamengo,1-1,Botafogo,1F
1998-07-26,Palmeiras,2-1,São Paulo,1F
1998-07-26,Atlético Mineiro,1-1,Cruzeiro,1F
1998-07-26,Vitória,1-2,Goiás,1F
1998-07-26,América-RN,0-4,Sport,1F
1998-07-29,Santos,1-1,Atlético Paranaense,1F
1998-07-29,Atlético Mineiro,1-1,Guarani,1F
1998-08-01,Coritiba,1-3,Flamengo,1F
1998-08-01,Goiás,1-1,Palmeiras,1F
1998-08-02,Ponte Preta,0-0,Internacional,1F
1998-08-02,Corinthians,4-0,Juventude,1F
1998-08-02,São Paulo,2-1,Guarani,1F
1998-08-02,Paraná,0-1,Portuguesa,1F
1998-08-02,Bragantino,0-0,Vasco,1F
1998-08-02,Grêmio,2-3,Atlético Mineiro,1F
1998-08-02,Cruzeiro,1-2,Santos,1F
1998-08-02,Botafogo,1-2,Vitória,1F
1998-08-02,Sport,2-0,Atlético Paranaense,1F
1998-08-02,América Mineiro,2-2,América-RN,1F
1998-08-05,Atlético Paranaense,0-1,Palmeiras,1F
1998-08-05,Corinthians,2-1,Grêmio,1F
1998-08-05,Cruzeiro,4-2,Ponte Preta,1F
1998-08-05,Guarani,2-3,Botafogo,1F
1998-08-05,Internacional,0-3,São Paulo,1F
1998-08-05,Paraná,3-2,América-RN,1F
1998-08-05,Portuguesa,1-1,Coritiba,1F
1998-08-05,Sport,2-1,Vitória,1F
1998-08-05,Vasco,5-1,América Mineiro,1F
1998-08-08,Coritiba,2-2,Ponte Preta,1F
1998-08-08,Atlético Mineiro,1-5,Corinthians,1F
1998-08-08,Juventude,0-0,Botafogo,1F
1998-08-09,Flamengo,0-1,Bragantino,1F
1998-08-09,São Paulo,0-2,Cruzeiro,1F
1998-08-09,América-RN,2-2,Portuguesa,1F
1998-08-09,Vitória,1-3,Santos,1F
1998-08-09,Guarani,1-2,América Mineiro,1F
1998-08-09,Internacional,2-1,Paraná,1F
1998-08-09,Atlético Paranaense,0-0,Grêmio,1F
1998-08-09,Goiás,2-0,Sport,1F
1998-08-12,Ponte Preta,0-1,Flamengo,1F
1998-08-12,Coritiba,0-0,Corinthians,1F
1998-08-12,Botafogo,3-0,São Paulo,1F
1998-08-12,Grêmio,0-0,Juventude,1F
1998-08-12,América Mineiro,2-0,Paraná,1F
1998-08-12,Vitória,3-3,Guarani,1F
1998-08-12,Palmeiras,1-2,Sport,1F
1998-08-12,Goiás,0-0,Cruzeiro,1F
1998-08-12,América-RN,0-0,Internacional,1F
1998-08-15,Corinthians,1-0,Botafogo,1F
1998-08-15,Santos,1-0,Palmeiras,1F
1998-08-16,Grêmio,2-2,Flamengo,1F
1998-08-16,Vasco,2-1,Guarani,1F
1998-08-16,Sport,1-0,São Paulo,1F
1998-08-16,Portuguesa,0-1,Vitória,1F
1998-08-16,Bragantino,1-2,Coritiba,1F
1998-08-16,Paraná,1-0,Goiás,1F
1998-08-16,Cruzeiro,0-2,América-RN,1F
1998-08-16,Juventude,0-0,Atlético Mineiro,1F
1998-08-16,América Mineiro,0-1,Internacional,1F
1998-08-19,Ponte Preta,2-0,Atlético Paranaense,1F
1998-08-19,Santos,4-4,Atlético Mineiro,1F
1998-08-19,Guarani,2-1,América-RN,1F
1998-08-19,Paraná,2-2,Bragantino,1F
1998-08-22,Internacional,1-1,Corinthians,1F
1998-08-22,Atlético Paranaense,2-2,Portuguesa,1F
1998-08-22,Vitória,2-1,América Mineiro,1F
1998-08-23,Atlético Mineiro,0-2,Bragantino,1F
1998-08-23,Coritiba,0-0,Sport,1F
1998-08-23,Botafogo,1-1,Cruzeiro,1F
1998-08-23,São Paulo,1-3,Santos,1F
1998-08-23,Goiás,0-0,Grêmio,1F
1998-08-23,Flamengo,1-3,Juventude,1F
1998-08-23,América-RN,1-2,Palmeiras,1F
1998-08-25,Corinthians,3-1,América Mineiro,1F
1998-08-26,Bragantino,2-2,Botafogo,1F
1998-08-26,Cruzeiro,2-2,Portuguesa,1F
