Data,Mandante,Placar_Bruto,Visitante,Fase
2005-04-23,Paraná,0-2,Goiás,R1
2005-04-23,Atlético Mineiro,4-1,Figueirense,R1
2005-04-23,São Caetano,2-2,Palmeiras,R1
2005-04-23,Flamengo,1-1,Cruzeiro,R1
2005-04-24,Internacional,0-2,Botafogo,R1
2005-04-24,Fortaleza,0-1,Coritiba,R1
2005-04-24,Fluminense,2-1,São Paulo,R1
2005-04-24,Corinthians,2-2,Juventude,R1
2005-04-24,Santos,4-1,Paysandu,R1
2005-04-24,Atlético Paranaense,0-1,Ponte Preta,R1
2005-04-24,Brasiliense,0-1,Vasco,R1
2005-04-30,Vasco,0-0,Fortaleza,R2
2005-04-30,Palmeiras,2-1,Brasiliense,R2
2005-04-30,Goiás,0-0,São Caetano,R2
2005-04-30,São Paulo,1-1,Paraná,R2
2005-04-30,Ponte Preta,3-3,Atlético Mineiro,R2
2005-05-01,Juventude,1-0,Atlético Paranaense,R2
2005-05-01,Figueirense,0-1,Flamengo,R2
2005-05-01,Botafogo,3-1,Corinthians,R2
2005-05-01,Cruzeiro,3-2,Internacional,R2
2005-05-01,Paysandu,1-2,Fluminense,R2
2005-05-01,Coritiba,2-3,Santos,R2
2005-05-07,Paraná,2-2,Juventude,R3
2005-05-07,Goiás,0-0,Figueirense,R3
2005-05-07,Santos,2-1,Atlético Paranaense,R3
2005-05-07,Ponte Preta,2-0,Paysandu,R3
2005-05-08,Internacional,1-0,Flamengo,R3
2005-05-08,Coritiba,1-0,Palmeiras,R3
2005-05-08,Corinthians,1-5,São Paulo,R3
2005-05-08,São Caetano,2-1,Fortaleza,R3
2005-05-08,Fluminense,2-1,Cruzeiro,R3
2005-05-08,Atlético Mineiro,0-1,Brasiliense,R3
2005-05-14,Fortaleza,2-1,Ponte Preta,R4
2005-05-14,São Paulo,1-0,Coritiba,R4
2005-05-14,Figueirense,1-2,Internacional,R4
2005-05-14,Botafogo,2-1,Atlético Mineiro,R4
2005-05-15,Juventude,4-1,Vasco,R4
2005-05-15,Paysandu,3-2,São Caetano,R4
2005-05-15,Atlético Paranaense,1-2,Corinthians,R4
2005-05-15,Cruzeiro,3-1,Goiás,R4
2005-05-15,Flamengo,2-1,Santos,R4
2005-05-15,Palmeiras,1-2,Paraná,R4
