Data,Mandante,Placar_Bruto,Visitante,Fase
1979-09-16,River-PI,2-1,Moto Club,E
1979-09-22,Goiânia,1-1,Avaí,A
1979-09-22,Tuna Luso,2-0,Treze,D
1979-09-22,Villa Nova-MG,2-0,Paysandu,D
1979-09-23,Confiança,2-1,Londrina,A
1979-09-23,Anapolina,2-0,Sergipe,A
1979-09-23,AA Colatina,0-0,GE Brasil,B
1979-09-23,Caxias,0-1,Caldense,B
1979-09-23,Grêmio Maringá,2-0,Desportiva Ferroviária,B
1979-09-23,Operário-MT,3-0,Brasília,C
1979-09-23,Itumbiara,3-1,CR Guará,C
1979-09-23,Gama,4-3,Atlético Goianiense,C
1979-09-23,Maranhão,1-1,Uberlândia,E
1979-09-23,Tiradentes-PI,1-1,Sampaio Corrêa,E
1979-09-23,Piauí,0-0,Moto Club,E
1979-09-23,ASA,1-0,Itabaiana,F
1979-09-23,Atlético Paranaense,0-0,Internacional,G
1979-09-23,Grêmio,4-1,Coritiba,G
1979-09-23,Operário-MS,4-0,Rio Branco-ES,G
1979-09-23,Remo,1-2,Dom Bosco,H
1979-09-23,Vila Nova,0-1,Cruzeiro,H
1979-09-23,Atlético Mineiro,0-0,Goiás,H
1979-09-25,Anapolina,2-1,Avaí,A
1979-09-25,Joinville,2-1,Juventude,A
1979-09-25,América Mineiro,2-0,Paysandu,D
1979-09-25,Tuna Luso,2-2,Botafogo-PB,D
1979-09-25,Villa Nova-MG,1-0,Treze,D
1979-09-25,Potiguar,0-0,CSA,F
1979-09-25,ABC,4-2,CRB,F
1979-09-25,Fortaleza,0-0,Ferroviário,F
1979-09-26,Goiânia,1-1,Sergipe,A
1979-09-26,São Paulo-RS,1-2,Desportiva Ferroviária,B
1979-09-26,Grêmio Maringá,3-2,Caldense,B
1979-09-26,Operário Ferroviário,1-1,GE Brasil,B
1979-09-26,Mixto,3-0,CR Guará,C
1979-09-26,Atlético Goianiense,4-1,Comercial-MS,C
1979-09-26,Piauí,0-0,Uberlândia,E
1979-09-26,Grêmio,4-0,Sport,G
1979-09-26,Atlético Paranaense,0-2,Operário-MS,G
