Data,Mandante,Placar_Bruto,Visitante,Fase
1997-07-05,América-RN,1-1,Criciúma,1F
1997-07-05,Grêmio,0-0,São Paulo,1F
1997-07-05,Palmeiras,4-1,Fluminense,1F
1997-07-05,Cruzeiro,3-1,Guarani,1F
1997-07-06,Paraná,2-1,Sport,1F
1997-07-06,Portuguesa,1-0,Coritiba,1F
1997-07-06,Bragantino,3-1,Bahia,1F
1997-07-06,Atlético Paranaense,2-0,União São João,1F
1997-07-06,Juventude,0-0,Goiás,1F
1997-07-06,Corinthians,1-3,Internacional,1F
1997-07-06,Flamengo,2-3,Santos,1F
1997-07-09,Criciúma,1-1,Corinthians,1F
1997-07-09,Fluminense,1-1,Cruzeiro,1F
1997-07-09,Guarani,3-1,Atlético Paranaense,1F
1997-07-09,União São João,0-2,Paraná,1F
1997-07-09,Coritiba,1-1,Vitória,1F
1997-07-09,Sport,1-1,América-RN,1F
1997-07-09,Internacional,2-1,Portuguesa,1F
1997-07-09,Goiás,6-0,Grêmio,1F
1997-07-09,Bahia,1-0,Flamengo,1F
1997-07-10,São Paulo,1-1,Bragantino,1F
1997-07-10,Atlético Mineiro,0-1,Palmeiras,1F
1997-07-12,Coritiba,2-0,Sport,1F
1997-07-12,Goiás,0-0,Botafogo,1F
1997-07-12,Paraná,2-0,Santos,1F
1997-07-13,Flamengo,2-0,Criciúma,1F
1997-07-13,Bragantino,3-1,Fluminense,1F
1997-07-13,Corinthians,1-0,Juventude,1F
1997-07-13,Vitória,4-4,Portuguesa,1F
1997-07-13,Grêmio,1-1,União São João,1F
1997-07-13,Atlético Paranaense,4-2,Atlético Mineiro,1F
1997-07-13,América-RN,1-1,Bahia,1F
1997-07-13,Palmeiras,1-1,Guarani,1F
1997-07-13,Cruzeiro,0-0,Internacional,1F
1997-07-15,Juventude,2-1,Palmeiras,1F
1997-07-15,Cruzeiro,0-5,São Paulo,1F
1997-07-16,Fluminense,0-0,Vitória,1F
1997-07-16,Paraná,4-0,Bragantino,1F
1997-07-16,Bahia,1-1,Coritiba,1F
1997-07-16,Criciúma,1-3,Guarani,1F
1997-07-16,América-RN,3-1,União São João,1F
1997-07-16,Sport,3-1,Atlético Paranaense,1F
1997-07-16,Corinthians,2-1,Vasco,1F
1997-07-16,Portuguesa,3-0,Grêmio,1F
1997-07-16,Goiás,1-4,Flamengo,1F
1997-07-17,Botafogo,2-0,Atlético Mineiro,1F
1997-07-17,Internacional,2-0,Santos,1F
1997-07-19,Guarani,2-2,Corinthians,1F
1997-07-19,Portuguesa,3-0,Flamengo,1F
1997-07-19,Atlético Paranaense,4-3,Bahia,1F
1997-07-19,Palmeiras,4-0,América-RN,1F
1997-07-20,São Paulo,2-1,Fluminense,1F
1997-07-20,Coritiba,3-3,Botafogo,1F
1997-07-20,Bragantino,1-0,Criciúma,1F
1997-07-20,Vitória,3-1,Sport,1F
1997-07-20,Vasco,3-3,Juventude,1F
1997-07-20,Santos,3-0,Goiás,1F
1997-07-20,União São João,2-2,Internacional,1F
1997-07-20,Atlético Mineiro,2-1,Cruzeiro,1F
1997-07-20,Grêmio,1-1,Paraná,1F
1997-07-22,Corinthians,1-0,União São João,1F
1997-07-22,Vasco,2-0,Goiás,1F
1997-07-23,Botafogo,0-2,Juventude,1F
1997-07-23,Vasco,2-1,São Paulo,1F
1997-07-23,Santos,3-0,Grêmio,1F
1997-07-26,América-RN,0-0,Botafogo,1F
1997-07-26,Sport,1-1,Santos,1F
1997-07-27,Fluminense,1-1,Coritiba,1F
1997-07-27,Paraná,0-1,Portuguesa,1F
1997-07-27,Guarani,2-1,Bragantino,1F
1997-07-27,Bahia,3-3,Vitória,1F
1997-07-27,Flamengo,0-1,Vasco,1F
1997-07-27,Goiás,1-2,Atlético Mineiro,1F
1997-07-27,Juventude,0-1,Grêmio,1F
1997-07-27,Cruzeiro,0-0,Atlético Paranaense,1F
1997-07-30,Criciúma,2-1,São Paulo,1F
1997-07-30,Sport,1-0,Flamengo,1F
1997-07-30,Corinthians,0-0,Atlético Mineiro,1F
1997-08-02,Palmeiras,3-1,Botafogo,1F
1997-08-02,União São João,1-0,Juventude,1F
1997-08-03,Bragantino,0-1,Goiás,1F
1997-08-03,Atlético Paranaense,2-4,Paraná,1F
1997-08-03,Guarani,1-2,América-RN,1F
1997-08-03,Vitória,1-0,Criciúma,1F
1997-08-03,Vasco,3-1,Fluminense,1F
1997-08-03,São Paulo,1-1,Internacional,1F
1997-08-04,Grêmio,2-1,Sport,1F
1997-08-06,Portuguesa,3-2,Bahia,1F
1997-08-06,Vitória,1-2,Palmeiras,1F
1997-08-09,Botafogo,3-1,Atlético Paranaense,1F
1997-08-09,Paraná,1-1,Palmeiras,1F
1997-08-09,Internacional,3-1,Vitória,1F
1997-08-09,América-RN,3-3,Grêmio,1F
1997-08-10,Fluminense,1-1,Portuguesa,1F
1997-08-10,Goiás,1-2,São Paulo,1F
1997-08-10,Bahia,1-1,Guarani,1F
1997-08-10,Criciúma,0-0,União São João,1F
1997-08-10,Juventude,1-0,Coritiba,1F
1997-08-10,Bragantino,2-1,Santos,1F
1997-08-12,Atlético Mineiro,2-4,Flamengo,1F
1997-08-13,Criciúma,1-0,Botafogo,1F
1997-08-13,Internacional,2-1,Palmeiras,1F
1997-08-16,Atlético Paranaense,2-1,Goiás,1F
1997-08-16,Coritiba,2-0,Corinthians,1F
1997-08-16,União São João,1-1,Sport,1F
1997-08-17,Bahia,3-1,São Paulo,1F
1997-08-17,Portuguesa,3-0,América-RN,1F
1997-08-17,Guarani,1-2,Paraná,1F
1997-08-17,Internacional,4-1,Fluminense,1F
1997-08-17,Vasco,3-0,Bragantino,1F
1997-08-17,Palmeiras,4-0,Cruzeiro,1F
1997-08-17,Atlético Mineiro,2-1,Juventude,1F
1997-08-19,Corinthians,1-2,Atlético Paranaense,1F
1997-08-20,Botafogo,1-1,União São João,1F
1997-08-20,Fluminense,3-1,Guarani,1F
1997-08-20,São Paulo,0-2,Atlético Mineiro,1F
1997-08-20,Bragantino,1-1,Portuguesa,1F
1997-08-20,Sport,2-0,Bahia,1F
1997-08-20,Goiás,1-0,Paraná,1F
1997-08-20,América-RN,0-0,Vasco,1F
1997-08-20,Juventude,1-1,Santos,1F
1997-08-20,Internacional,2-0,Coritiba,1F
1997-08-20,Cruzeiro,4-3,Criciúma,1F
1997-08-23,Bahia,3-3,Fluminense,1F
1997-08-23,Atlético Paranaense,1-1,São Paulo,1F
1997-08-24,Coritiba,4-2,Bragantino,1F
1997-08-24,Criciúma,1-0,Paraná,1F
1997-08-24,Grêmio,2-5,Internacional,1F
1997-08-24,Juventude,1-0,Vitória,1F
1997-08-24,Atlético Mineiro,1-1,Sport,1F
1997-08-24,Santos,3-1,Vasco,1F
1997-08-27,Botafogo,1-1,Guarani,1F
1997-08-27,Paraná,0-0,Fluminense,1F
1997-08-30,Sport,2-3,Vasco,1F
1997-08-30,Palmeiras,0-1,Criciúma,1F
1997-08-30,Fluminense,1-0,Santos,1F
1997-08-31,Flamengo,0-0,Botafogo,1F
1997-08-31,Bragantino,3-2,Atlético Paranaense,1F
1997-08-31,União São João,0-1,Coritiba,1F
1997-08-31,América-RN,1-0,Goiás,1F
1997-08-31,Portuguesa,5-0,Guarani,1F
1997-08-31,Corinthians,0-1,São Paulo,1F
1997-08-31,Internacional,1-1,Atlético Mineiro,1F
1997-08-31,Vitória,1-1,Grêmio,1F
1997-08-31,Cruzeiro,3-1,Bahia,1F
1997-08-31,Paraná,1-2,Juventude,1F
1997-09-03,Atlético Paranaense,0-0,Fluminense,1F
1997-09-03,União São João,0-0,Palmeiras,1F
1997-09-03,Goiás,1-0,Coritiba,1F
1997-09-06,Grêmio,3-1,Vasco,1F
1997-09-06,União São João,0-1,Portuguesa,1F
1997-09-06,Bahia,1-2,Corinthians,1F
1997-09-06,Atlético Mineiro,2-1,Bragantino,1F
1997-09-06,Botafogo,0-2,Internacional,1F
1997-09-07,Guarani,3-3,Vitória,1F
1997-09-07,Paraná,1-1,Coritiba,1F
1997-09-07,Sport,1-0,Goiás,1F
1997-09-07,Flamengo,2-0,Cruzeiro,1F
1997-09-07,Juventude,3-1,América-RN,1F
1997-09-07,Santos,2-0,Criciúma,1F
1997-09-07,São Paulo,0-2,Palmeiras,1F
1997-09-11,Fluminense,1-2,Flamengo,1F
1997-09-11,Vasco,6-0,União São João,1F
1997-09-11,Portuguesa,2-1,São Paulo,1F
1997-09-11,Goiás,2-1,Guarani,1F
1997-09-11,Bahia,2-1,Paraná,1F
1997-09-11,Criciúma,2-0,Sport,1F
1997-09-11,Corinthians,3-1,Vitória,1F
1997-09-11,Atlético Mineiro,2-1,Santos,1F
1997-09-11,Coritiba,3-3,Grêmio,1F
1997-09-11,Internacional,0-1,Juventude,1F
1997-09-11,América-RN,2-1,Cruzeiro,1F
1997-09-13,São Paulo,2-2,Botafogo,1F
1997-09-13,Bragantino,2-1,Palmeiras,1F
1997-09-14,Portuguesa,2-1,Corinthians,1F
