Data,Mandante,Placar_Bruto,Visitante,Fase
2013-05-25,Vasco,1-0,Portuguesa,R1
2013-05-25,Vitória,2-2,Internacional,R1
2013-05-25,Corinthians,1-1,Botafogo,R1
2013-05-26,Grêmio,2-0,Náutico,R1
2013-05-26,Ponte Preta,0-2,São Paulo,R1
2013-05-26,Criciúma,3-1,Bahia,R1
2013-05-26,Santos,0-0,Flamengo,R1
2013-05-26,Fluminense,2-1,Atlético Paranaense,R1
2013-05-26,Cruzeiro,5-0,Goiás,R1
2013-05-26,Coritiba,2-1,Atlético Mineiro,R1
2013-05-29,Atlético Paranaense,2-2,Cruzeiro,R2
2013-05-29,Botafogo,2-1,Santos,R2
2013-05-29,São Paulo,5-1,Vasco,R2
2013-05-29,Flamengo,0-2,Ponte Preta,R2
2013-05-29,Bahia,0-0,Coritiba,R2
2013-05-29,Náutico,0-3,Vitória,R2
2013-05-29,Goiás,1-1,Corinthians,R2
2013-05-30,Internacional,2-0,Criciúma,R2
2013-06-01,Botafogo,2-1,Cruzeiro,R3
2013-06-01,Atlético Paranaense,2-2,Flamengo,R3
2013-06-01,Santos,1-1,Grêmio,R3
2013-06-01,Vitória,2-0,Vasco,R3
2013-06-01,Goiás,1-1,Coritiba,R3
2013-06-01,Corinthians,1-0,Ponte Preta,R3
2013-06-02,Fluminense,3-0,Criciúma,R3
2013-06-02,Internacional,1-2,Bahia,R3
2013-06-02,Náutico,2-2,Portuguesa,R3
2013-06-02,Atlético Mineiro,0-0,São Paulo,R3
2013-06-05,São Paulo,0-1,Goiás,R4
2013-06-05,Criciúma,3-1,Santos,R4
2013-06-05,Portuguesa,1-1,Internacional,R4
2013-06-05,Vasco,2-0,Atlético Mineiro,R4
2013-06-05,Grêmio,1-0,Vitória,R4
2013-06-05,Ponte Preta,3-4,Atlético Paranaense,R4
2013-06-05,Flamengo,0-1,Náutico,R4
2013-06-05,Bahia,2-1,Botafogo,R4
2013-06-05,Cruzeiro,1-0,Corinthians,R4
2013-06-06,Coritiba,2-1,Fluminense,R4
2013-06-08,Criciúma,0-3,Flamengo,R5
2013-06-08,Cruzeiro,2-2,Internacional,R5
2013-06-08,Vasco,1-1,Bahia,R5
2013-06-08,Corinthians,0-0,Portuguesa,R5
2013-06-08,Ponte Preta,0-2,Botafogo,R5
2013-06-09,Atlético Mineiro,2-0,Grêmio,R2
2013-06-09,Fluminense,2-1,Goiás,R5
2013-06-09,Vitória,3-2,Atlético Paranaense,R5
2013-06-09,Coritiba,1-0,Náutico,R5
2013-06-12,Santos,1-0,Atlético Mineiro,R5
2013-06-12,Portuguesa,2-1,Fluminense,R2
2013-06-12,Grêmio,1-1,São Paulo,R5
2013-07-06,Flamengo,2-2,Coritiba,R6
2013-07-06,Náutico,1-3,Ponte Preta,R6
2013-07-06,Atlético Paranaense,1-1,Grêmio,R6
2013-07-06,Portuguesa,1-1,Cruzeiro,R6
2013-07-07,São Paulo,0-2,Santos,R6
2013-07-07,Bahia,0-2,Corinthians,R6
2013-07-07,Internacional,5-3,Vasco,R6
2013-07-07,Goiás,1-0,Vitória,R6
2013-07-07,Botafogo,1-0,Fluminense,R6
2013-07-07,Atlético Mineiro,3-2,Criciúma,R6
2013-07-10,São Paulo,1-2,Bahia,R11
2013-07-13,Fluminense,2-3,Internacional,R7
2013-07-13,Santos,4-1,Portuguesa,R7
2013-07-13,Ponte Preta,0-0,Bahia,R7
2013-07-14,Corinthians,0-1,Atlético Mineiro,R7
2013-07-14,Vitória,3-2,São Paulo,R7
2013-07-14,Grêmio,2-1,Botafogo,R7
2013-07-14,Coritiba,1-0,Atlético Paranaense,R7
