Data,Mandante,Placar_Bruto,Visitante,Fase
1994-08-13,Criciúma,1-1,Corinthians,A
1994-08-13,Sport,1-1,Flamengo,A
1994-08-14,Bragantino,0-0,Grêmio,A
1994-08-14,Paysandu,0-0,São Paulo,B
1994-08-14,Botafogo,1-1,Vitória,B
1994-08-14,Atlético Mineiro,0-0,Portuguesa,B
1994-08-14,Bahia,0-0,Vasco,C
1994-08-14,Santos,1-0,Remo,C
1994-08-14,Guarani,2-0,Cruzeiro,C
1994-08-14,Palmeiras,4-1,Paraná,D
1994-08-14,Fluminense,3-1,Náutico,D
1994-08-14,Internacional,2-0,União São João,D
1994-08-17,Flamengo,2-1,Bragantino,A
1994-08-17,Grêmio,2-1,Criciúma,A
1994-08-17,Corinthians,1-1,Sport,A
1994-08-17,Portuguesa,0-0,Botafogo,B
1994-08-17,Vasco,3-1,Guarani,C
1994-08-17,Cruzeiro,0-0,Santos,C
1994-08-17,Remo,1-1,Bahia,C
1994-08-17,União São João,1-0,Fluminense,D
1994-08-17,Náutico,1-3,Palmeiras,D
1994-08-17,Paraná,1-1,Internacional,D
1994-08-18,São Paulo,1-0,Atlético Mineiro,B
1994-08-18,Vitória,0-1,Paysandu,B
1994-08-20,Botafogo,4-0,São Paulo,B
1994-08-20,Santos,2-0,Vasco,C
1994-08-21,Corinthians,2-2,Grêmio,A
1994-08-21,Criciúma,1-1,Flamengo,A
1994-08-21,Bragantino,0-1,Sport,A
1994-08-21,Atlético Mineiro,1-3,Paysandu,B
1994-08-21,Portuguesa,1-0,Vitória,B
1994-08-21,Bahia,0-2,Guarani,C
1994-08-21,Remo,2-1,Cruzeiro,C
1994-08-21,Internacional,0-2,Palmeiras,D
1994-08-21,Fluminense,2-1,Paraná,D
1994-08-21,Náutico,0-1,União São João,D
1994-08-24,Grêmio,2-0,Flamengo,A
1994-08-24,Bragantino,0-1,Corinthians,A
1994-08-24,Sport,1-1,Criciúma,A
1994-08-24,Paysandu,0-0,Portuguesa,B
1994-08-24,Botafogo,2-1,Atlético Mineiro,B
1994-08-24,Cruzeiro,1-1,Vasco,C
1994-08-24,Guarani,1-0,Remo,C
1994-08-24,Santos,3-0,Bahia,C
1994-08-24,Fluminense,2-1,Internacional,D
1994-08-24,Palmeiras,5-1,União São João,D
1994-08-25,Paraná,1-1,Náutico,D
1994-08-27,Guarani,4-0,Santos,C
1994-08-27,Palmeiras,1-0,Fluminense,D
1994-08-28,Criciúma,1-1,Bragantino,A
1994-08-28,Sport,0-1,Grêmio,A
1994-08-28,Flamengo,5-2,Corinthians,A
1994-08-28,Paysandu,2-0,Botafogo,B
1994-08-28,São Paulo,2-0,Portuguesa,B
1994-08-28,Atlético Mineiro,3-1,Vitória,B
1994-08-28,Vasco,3-0,Remo,C
1994-08-28,Bahia,2-1,Cruzeiro,C
1994-08-28,União São João,1-2,Paraná,D
1994-08-28,Internacional,5-0,Náutico,D
1994-08-31,Corinthians,6-1,Bragantino,A
1994-08-31,Flamengo,2-2,Grêmio,A
1994-08-31,Atlético Mineiro,0-2,Botafogo,B
1994-08-31,Vasco,1-0,Cruzeiro,C
1994-08-31,Bahia,2-1,Santos,C
1994-08-31,Remo,0-2,Guarani,C
1994-08-31,Internacional,3-0,Fluminense,D
1994-09-01,Criciúma,5-0,Sport,A
1994-09-01,São Paulo,2-2,Vitória,B
1994-09-01,Portuguesa,3-1,Paysandu,B
1994-09-01,Náutico,0-0,Paraná,D
1994-09-03,Corinthians,1-0,Flamengo,A
1994-09-03,Fluminense,1-1,Palmeiras,D
1994-09-04,Grêmio,1-1,Sport,A
1994-09-04,Botafogo,5-2,Paysandu,B
1994-09-04,Vitória,1-1,Atlético Mineiro,B
1994-09-04,Portuguesa,0-0,São Paulo,B
1994-09-04,Cruzeiro,2-1,Bahia,C
1994-09-04,Santos,1-0,Guarani,C
1994-09-04,Remo,0-1,Vasco,C
1994-09-04,Paraná,2-1,União São João,D
1994-09-07,Vitória,1-1,São Paulo,B
1994-09-07,União São João,0-1,Palmeiras,D
1994-09-07,Bragantino,1-0,Criciúma,A
1994-09-07,Náutico,1-1,Internacional,D
1994-09-07,Paysandu,0-2,Atlético Mineiro,B
1994-09-07,Guarani,1-1,Bahia,C
1994-09-10,Grêmio,0-1,Corinthians,A
1994-09-10,São Paulo,4-1,Botafogo,B
1994-09-11,Flamengo,1-1,Criciúma,A
1994-09-11,Sport,4-3,Bragantino,A
1994-09-11,Vitória,0-0,Portuguesa,B
1994-09-11,Vasco,0-0,Santos,C
1994-09-11,Cruzeiro,0-1,Remo,C
1994-09-11,Palmeiras,1-0,Internacional,D
1994-09-11,Paraná,2-3,Fluminense,D
1994-09-14,Bahia,1-0,Remo,C
1994-09-15,União São João,0-0,Náutico,D
1994-09-17,Atlético Mineiro,0-0,São Paulo,B
1994-09-17,Guarani,2-1,Vasco,C
1994-09-18,Sport,2-0,Corinthians,A
1994-09-18,Bragantino,0-1,Flamengo,A
1994-09-18,Criciúma,1-0,Grêmio,A
1994-09-18,Botafogo,1-0,Portuguesa,B
1994-09-18,Paysandu,3-1,Vitória,B
1994-09-18,Santos,4-1,Cruzeiro,C
1994-09-18,Palmeiras,4-1,Náutico,D
1994-09-18,Internacional,1-3,Paraná,D
1994-09-18,Fluminense,2-2,União São João,D
1994-09-24,São Paulo,1-2,Paysandu,B
1994-09-24,Paraná,2-4,Palmeiras,D
1994-09-24,Náutico,2-1,Fluminense,D
1994-09-24,União São João,3-0,Internacional,D
1994-09-25,Corinthians,3-2,Criciúma,A
1994-09-25,Flamengo,3-0,Sport,A
1994-09-25,Grêmio,2-1,Bragantino,A
1994-09-25,Vitória,2-0,Botafogo,B
1994-09-25,Portuguesa,0-0,Atlético Mineiro,B
1994-09-25,Vasco,2-3,Bahia,C
1994-09-25,Remo,1-4,Santos,C
1994-09-25,Cruzeiro,1-2,Guarani,C
1994-09-27,Botafogo,1-1,Bahia,B
1994-10-01,Fluminense,1-3,Corinthians,A
1994-10-01,Palmeiras,1-0,Sport,B
1994-10-02,Guarani,0-0,Internacional,A
1994-10-02,Grêmio,2-1,Portuguesa,A
1994-10-02,Flamengo,1-1,Santos,B
1994-10-02,Bahia,1-1,Paraná,B
1994-10-02,Vitória,2-0,Náutico,4F
1994-10-02,Cruzeiro,3-0,Criciúma,4F
1994-10-05,Paysandu,1-0,Vasco,A
1994-10-05,Atlético Mineiro,3-0,União São João,4F
1994-10-06,Remo,0-3,Bragantino,4F
1994-10-08,Palmeiras,1-0,Paraná,B
1994-10-08,Santos,2-3,São Paulo,B
1994-10-08,Sport,1-0,Flamengo,B
1994-10-08,Portuguesa,1-1,Guarani,A
1994-10-09,Corinthians,3-0,Grêmio,A
1994-10-09,Fluminense,0-0,Vasco,A
1994-10-09,Internacional,3-1,Paysandu,A
1994-10-09,Cruzeiro,2-1,Vitória,4F
1994-10-09,Náutico,0-1,Remo,4F
1994-10-09,Criciúma,2-0,Atlético Mineiro,4F
1994-10-09,Bragantino,1-0,União São João,4F
1994-10-12,Paraná,0-0,Sport,B
1994-10-12,Internacional,3-2,Fluminense,A
1994-10-12,Guarani,2-1,Corinthians,A
1994-10-12,Vitória,0-1,Remo,4F
1994-10-12,Portuguesa,1-0,Paysandu,A
1994-10-14,São Paulo,1-0,Botafogo,B
1994-10-15,Bahia,1-1,Palmeiras,B
1994-10-15,Corinthians,2-1,Vasco,A
1994-10-15,Fluminense,1-2,Guarani,A
1994-10-16,Paraná,2-2,São Paulo,B
1994-10-16,Botafogo,1-0,Flamengo,B
1994-10-16,Santos,2-2,Sport,B
1994-10-16,Atlético Mineiro,1-1,Bragantino,4F
1994-10-16,Náutico,2-0,Cruzeiro,4F
1994-10-16,União São João,1-1,Criciúma,4F
1994-10-16,Grêmio,1-1,Internacional,A
1994-10-19,Vasco,1-0,Portuguesa,A
1994-10-19,Paysandu,1-0,Grêmio,A
1994-10-19,Bragantino,4-1,Criciúma,4F
1994-10-20,União São João,4-2,Vitória,4F
1994-10-20,Atlético Mineiro,1-0,Náutico,4F
1994-10-22,Santos,2-0,Botafogo,B
1994-10-22,Flamengo,2-0,Palmeiras,B
1994-10-22,Palmeiras,2-0,Santos,B
1994-10-22,Botafogo,3-2,Paraná,B
1994-10-22,Sport,2-1,Bahia,B
1994-10-22,Remo,2-2,Criciúma,4F
1994-10-23,São Paulo,1-1,Bahia,B
1994-10-23,Corinthians,2-1,Portuguesa,A
1994-10-23,Grêmio,1-2,Guarani,A
1994-10-23,Vasco,5-2,Internacional,A
1994-10-23,Paysandu,0-0,Fluminense,A
1994-10-23,Atlético Mineiro,1-0,Cruzeiro,4F
1994-10-23,Bragantino,0-1,Vitória,4F
1994-10-23,União São João,1-0,Náutico,4F
1994-10-26,Palmeiras,1-0,Botafogo,B
1994-10-26,Paraná,0-0,Flamengo,B
1994-10-26,Bahia,3-2,Santos,B
