Data,Mandante,Placar_Bruto,Visitante,Fase
1986-08-30,Coritiba,0-1,São Paulo,A
1986-08-31,Remo,1-1,Ceará,A
1986-08-31,Bangu,0-1,Fluminense,A
1986-08-31,Sampaio Corrêa,1-2,Sport,A
1986-08-31,Sobradinho,0-1,Internacional,A
1986-08-31,Corinthians,3-0,Goiás,B
1986-08-31,Joinville,2-0,Atlético Paranaense,B
1986-08-31,Botafogo-PB,0-1,America-RJ,B
1986-08-31,Sergipe,0-4,Ponte Preta,B
1986-08-31,Atlético Goianiense,2-1,Piauí,C
1986-08-31,Bahia,4-0,Rio Branco-ES,C
1986-08-31,Guarani,1-0,Cruzeiro,C
1986-08-31,Náutico,1-0,Vasco,C
1986-08-31,Operário-MT,2-1,Tuna Luso,C
1986-08-31,Atlético Mineiro,1-1,Santa Cruz,D
1986-08-31,Comercial-MS,1-1,Botafogo,D
1986-08-31,Fortaleza,0-0,CSA,D
1986-08-31,Nacional-AM,1-0,Alecrim,D
1986-08-31,Portuguesa,2-0,Vitória,D
1986-09-02,Flamengo,4-1,Paysandu,B
1986-09-02,Coritiba,1-0,Internacional,A
1986-09-02,Fluminense,1-0,Operário-MS,A
1986-09-02,Remo,0-0,Sport,A
1986-09-02,Sampaio Corrêa,0-3,Ceará,A
1986-09-02,Sobradinho,1-1,São Paulo,A
1986-09-02,Grêmio,2-1,Atlético Paranaense,B
1986-09-02,Botafogo-PB,1-4,Ponte Preta,B
1986-09-02,Sergipe,1-0,America-RJ,B
1986-09-02,Atlético Goianiense,1-0,Tuna Luso,C
1986-09-02,Náutico,0-1,Rio Branco-ES,C
1986-09-02,Operário-MT,0-0,Piauí,C
1986-09-02,Cruzeiro,2-3,Santos,C
1986-09-02,Fortaleza,2-0,Alecrim,D
1986-09-04,Corinthians,1-0,Paysandu,B
1986-09-04,Flamengo,0-0,Goiás,B
1986-09-04,Vasco,0-1,Bahia,C
1986-09-04,Portuguesa,1-1,Santa Cruz,D
1986-09-04,Vitória,0-0,Atlético Mineiro,D
1986-09-04,Nacional-AM,0-0,CSA,D
1986-09-06,Moto Club,1-0,Sport Belém,E
1986-09-06,Rio Negro-AM,1-1,América-RN,E
1986-09-06,River-PI,2-2,Guarany de Sobral,E
1986-09-06,Treze,1-0,Ferroviário,E
1986-09-06,Catuense,0-0,Fluminense de Feira,F
1986-09-06,Central,2-1,Desportiva Ferroviária,F
1986-09-06,CRB,2-1,Taguatinga,F
1986-09-06,Goytacaz,0-1,Americano,F
1986-09-06,América Mineiro,2-2,Itumbiara,G
1986-09-06,Inter de Limeira,2-0,Uberlândia,G
1986-09-06,Mixto,2-1,Anápolis,G
1986-09-06,Santo André,1-1,Juventus-SP,G
1986-09-06,Avaí,0-1,Marcílio Dias,H
1986-09-06,GE Brasil,0-0,Juventude,H
1986-09-06,Criciúma,2-0,Novo Hamburgo,H
1986-09-06,Londrina,2-0,Cascavel EC,H
1986-09-06,Sport,1-0,Coritiba,A
1986-09-06,Tuna Luso,3-1,Náutico,C
1986-09-06,Botafogo,2-0,Fortaleza,D
1986-09-07,Internacional,2-0,Fluminense,A
1986-09-07,São Paulo,1-1,Bangu,A
1986-09-07,Operário-MS,0-1,Sampaio Corrêa,A
1986-09-07,Ceará,1-2,Sobradinho,A
1986-09-07,America-RJ,0-2,Flamengo,B
1986-09-07,Atlético Paranaense,0-0,Botafogo-PB,B
1986-09-07,Goiás,0-0,Joinville,B
1986-09-07,Paysandu,1-0,Grêmio,B
1986-09-07,Ponte Preta,1-1,Corinthians,B
1986-09-07,Cruzeiro,2-0,Atlético Goianiense,C
1986-09-07,Piauí,1-3,Bahia,C
1986-09-07,Rio Branco-ES,0-0,Santos,C
1986-09-07,Vasco,0-1,Guarani,C
1986-09-07,Alecrim,2-2,Portuguesa,D
1986-09-07,CSA,0-2,Atlético Mineiro,D
1986-09-07,Santa Cruz,2-1,Palmeiras,D
1986-09-07,Vitória,2-0,Comercial-MS,D
1986-09-10,Moto Club,1-0,América-RN,E
1986-09-10,River-PI,1-1,Ferroviário,E
1986-09-10,Sport Belém,0-0,Maranhão,E
1986-09-10,Treze,1-0,Guarany de Sobral,E
1986-09-10,Americano,3-0,Confiança,F
1986-09-10,Catuense,4-3,Taguatinga,F
1986-09-10,CRB,2-0,Fluminense de Feira,F
1986-09-10,Goytacaz,1-2,Desportiva Ferroviária,F
1986-09-10,América Mineiro,1-1,Juventus-SP,G
1986-09-10,Anápolis,2-0,Ubiratan-MS,G
1986-09-10,Mixto,0-0,Uberlândia,G
1986-09-10,Santo André,0-0,Itumbiara,G
1986-09-10,Avaí,1-1,Cascavel EC,H
1986-09-10,GE Brasil,1-2,Novo Hamburgo,H
1986-09-10,Juventude,1-1,Pinheiros-PR,H
1986-09-10,Londrina,1-0,Marcílio Dias,H
1986-09-10,Sport,1-0,Sobradinho,A
1986-09-10,Ceará,1-0,Coritiba,A
1986-09-10,Fluminense,0-0,Sampaio Corrêa,A
1986-09-10,Internacional,1-1,Bangu,A
1986-09-10,Goiás,1-1,Grêmio,B
1986-09-10,Tuna Luso,0-3,Bahia,C
1986-09-10,Rio Branco-ES,0-0,Guarani,C
1986-09-10,Piauí,1-0,Náutico,C
1986-09-10,CSA,4-0,Portuguesa,D
1986-09-10,Alecrim,1-2,Atlético Mineiro,D
1986-09-10,Palmeiras,2-2,Vitória,D
1986-09-10,Botafogo,0-0,Nacional-AM,D
1986-09-11,Operário-MS,2-1,Remo,A
1986-09-11,Ponte Preta,0-1,Flamengo,B
1986-09-11,America-RJ,0-0,Corinthians,B
1986-09-11,Paysandu,1-1,Joinville,B
