Data,Mandante,Placar_Bruto,Visitante,Fase
1992-01-26,Corinthians,1-4,Vasco,1F
1992-01-26,Botafogo,3-1,Atlético Paranaense,1F
1992-01-26,Cruzeiro,2-0,Guarani,1F
1992-01-26,Náutico,0-0,Sport,1F
1992-01-26,Paysandu,2-1,Goiás,1F
1992-01-27,Portuguesa,2-2,Fluminense,1F
1992-01-27,Internacional,0-1,Bragantino,1F
1992-01-29,Palmeiras,1-1,Atlético Mineiro,1F
1992-01-29,Santos,1-1,São Paulo,1F
1992-01-29,Bahia,1-1,Flamengo,1F
1992-02-01,Internacional,4-1,Palmeiras,1F
1992-02-01,Atlético Mineiro,0-2,Botafogo,1F
1992-02-02,Corinthians,1-1,Santos,1F
1992-02-02,Bragantino,0-0,São Paulo,1F
1992-02-02,Fluminense,1-0,Paysandu,1F
1992-02-02,Sport,0-0,Cruzeiro,1F
1992-02-02,Atlético Paranaense,0-0,Náutico,1F
1992-02-02,Guarani,1-3,Flamengo,1F
1992-02-02,Bahia,2-1,Portuguesa,1F
1992-02-02,Vasco,1-1,Goiás,1F
1992-02-08,Palmeiras,3-0,Fluminense,1F
1992-02-08,Goiás,1-0,Santos,1F
1992-02-09,Flamengo,2-2,Botafogo,1F
1992-02-09,São Paulo,2-1,Bahia,1F
1992-02-09,Portuguesa,1-1,Internacional,1F
1992-02-09,Bragantino,0-0,Sport,1F
1992-02-09,Paysandu,1-0,Cruzeiro,1F
1992-02-09,Náutico,2-0,Guarani,1F
1992-02-10,Atlético Mineiro,0-1,Corinthians,1F
1992-02-10,Atlético Paranaense,0-2,Vasco,1F
1992-02-15,Palmeiras,1-2,Flamengo,1F
1992-02-15,São Paulo,2-0,Atlético Mineiro,1F
1992-02-15,Atlético Paranaense,0-2,Portuguesa,1F
1992-02-16,Corinthians,2-0,Náutico,1F
1992-02-16,Vasco,2-0,Paysandu,1F
1992-02-16,Cruzeiro,3-0,Bragantino,1F
1992-02-16,Sport,1-0,Botafogo,1F
1992-02-16,Bahia,1-1,Goiás,1F
1992-02-17,Santos,1-0,Guarani,1F
1992-02-17,Internacional,1-0,Fluminense,1F
1992-02-19,Flamengo,3-2,São Paulo,1F
1992-02-19,Corinthians,2-3,Portuguesa,1F
1992-02-19,Bragantino,1-0,Palmeiras,1F
1992-02-19,Botafogo,3-1,Bahia,1F
1992-02-19,Goiás,0-0,Atlético Mineiro,1F
1992-02-20,Vasco,1-1,Fluminense,1F
1992-02-20,Santos,2-1,Paysandu,1F
1992-02-20,Cruzeiro,4-0,Atlético Paranaense,1F
1992-02-20,Guarani,1-3,Sport,1F
1992-02-20,Náutico,2-2,Internacional,1F
1992-02-22,Botafogo,2-4,Corinthians,1F
1992-02-23,Atlético Mineiro,0-4,Vasco,1F
1992-02-23,Fluminense,4-0,Santos,1F
1992-02-23,São Paulo,0-1,Guarani,1F
1992-02-23,Paysandu,0-0,Palmeiras,1F
1992-02-23,Goiás,1-2,Internacional,1F
1992-02-23,Bragantino,1-0,Náutico,1F
1992-02-23,Bahia,2-3,Atlético Paranaense,1F
1992-02-24,Flamengo,1-2,Cruzeiro,1F
1992-02-24,Sport,0-0,Portuguesa,1F
1992-03-07,Santos,2-0,Flamengo,1F
1992-03-07,Corinthians,0-0,Sport,1F
1992-03-07,Portuguesa,0-1,Bragantino,1F
1992-03-08,São Paulo,0-4,Palmeiras,1F
1992-03-08,Internacional,2-0,Atlético Mineiro,1F
