Data,Mandante,Placar_Bruto,Visitante,Fase
1987-09-11,Palmeiras,2-0,Cruzeiro,A
1987-09-12,Botafogo,1-0,Goiás,A
1987-09-13,Atlético Mineiro,5-1,Santos,A
1987-09-13,Bahia,0-3,Vasco,A
1987-09-13,Coritiba,0-1,Grêmio,A
1987-09-13,Flamengo,0-2,São Paulo,A
1987-09-13,Corinthians,0-1,Fluminense,A
1987-09-13,Internacional,4-0,Santa Cruz,A
1987-09-13,Bangu,1-1,Joinville,A
1987-09-13,Criciúma,1-2,Ceará,A
1987-09-13,Treze,0-0,Atlético Paranaense,A
1987-09-13,CSA,0-1,Guarani,A
1987-09-16,Vitória,3-1,Joinville,A
1987-09-16,Inter de Limeira,1-0,Ceará,A
1987-09-16,Sport,1-1,Atlético Paranaense,A
1987-09-16,Treze,1-3,Guarani,A
1987-09-16,Atlético Paranaense,1-2,Bangu,A
1987-09-16,Joinville,0-0,Treze,A
1987-09-16,Atlético Goianiense,3-1,CSA,A
1987-09-16,Sport,3-0,Criciúma,A
1987-09-17,Criciúma,2-0,Náutico,A
1987-09-18,Corinthians,0-1,Goiás,A
1987-09-19,Atlético Mineiro,0-0,Internacional,A
1987-09-19,Rio Branco-ES,0-1,CSA,A
1987-09-19,Vitória,1-2,Atlético Paranaense,A
1987-09-20,Grêmio,0-0,Cruzeiro,A
1987-09-20,Santos,0-0,Palmeiras,A
1987-09-20,Fluminense,1-1,Botafogo,A
1987-09-20,Santa Cruz,0-0,Coritiba,A
1987-09-20,Flamengo,2-1,Vasco,A
1987-09-20,Bahia,1-1,São Paulo,A
1987-09-20,Inter de Limeira,2-1,Treze,A
1987-09-20,Atlético Goianiense,1-0,Ceará,A
1987-09-20,Sport,2-0,Guarani,A
1987-09-20,Criciúma,1-0,Bangu,A
1987-09-20,Joinville,2-1,Náutico,A
1987-09-23,Grêmio,1-0,Vasco,A
1987-09-23,Cruzeiro,2-1,Bahia,A
1987-09-23,Fluminense,2-0,Palmeiras,A
1987-09-23,São Paulo,3-0,Santa Cruz,A
1987-09-23,Coritiba,2-1,Corinthians,A
1987-09-24,Botafogo,0-0,Internacional,A
1987-09-24,Santos,0-0,Flamengo,A
1987-09-24,Náutico,0-1,Rio Branco-ES,A
1987-09-26,Fluminense,0-0,Grêmio,A
1987-09-26,Coritiba,2-1,Bahia,A
1987-09-26,Goiás,1-0,Santa Cruz,A
1987-09-26,Palmeiras,2-1,São Paulo,A
1987-09-27,Internacional,2-0,Flamengo,A
1987-09-27,Cruzeiro,1-1,Botafogo,A
1987-09-27,Corinthians,0-0,Santos,A
1987-09-27,Vasco,1-2,Atlético Mineiro,A
1987-09-27,Ceará,1-1,Rio Branco-ES,A
1987-09-27,Náutico,2-1,Atlético Goianiense,A
1987-09-27,Bangu,1-0,Inter de Limeira,A
1987-09-27,Guarani,0-1,Vitória,A
1987-09-27,Joinville,0-1,Sport,A
1987-09-27,Treze,2-1,Criciúma,A
1987-09-27,Atlético Paranaense,1-1,CSA,A
1987-09-30,Goiás,0-1,Atlético Mineiro,A
1987-09-30,Portuguesa,1-1,Sport,A
1987-09-30,Inter de Limeira,0-0,Vitória,A
1987-09-30,Bangu,0-0,Guarani,A
1987-09-30,CSA,1-2,Criciúma,A
1987-09-30,Treze,3-1,Atlético Goianiense,A
1987-10-01,Vasco,1-0,Botafogo,A
1987-10-01,Ceará,1-0,Joinville,A
1987-10-02,Internacional,2-0,Palmeiras,A
1987-10-03,Santos,1-0,Grêmio,A
1987-10-03,Atlético Mineiro,2-0,Coritiba,A
1987-10-03,Inter de Limeira,0-1,Náutico,A
1987-10-04,Bahia,1-0,Goiás,A
1987-10-04,São Paulo,0-0,Corinthians,A
1987-10-04,Flamengo,0-1,Fluminense,A
1987-10-04,Santa Cruz,0-0,Cruzeiro,A
1987-10-04,CSA,3-2,Joinville,A
1987-10-04,Criciúma,2-1,Vitória,A
1987-10-04,Atlético Goianiense,0-0,Sport,A
1987-10-04,Bangu,1-0,Rio Branco-ES,A
1987-10-04,Ceará,1-1,Portuguesa,A
1987-10-07,Santa Cruz,1-1,Fluminense,A
1987-10-07,Botafogo,0-0,Santos,A
1987-10-07,Palmeiras,1-0,Vasco,A
1987-10-07,Bahia,0-2,Internacional,A
1987-10-07,CSA,0-2,Inter de Limeira,A
1987-10-07,Rio Branco-ES,0-2,Sport,A
1987-10-08,Flamengo,3-1,Coritiba,A
1987-10-08,Grêmio,4-0,Goiás,A
1987-10-08,Cruzeiro,1-1,Corinthians,A
1987-10-08,São Paulo,0-1,Atlético Mineiro,A
1987-10-08,Náutico,2-1,Portuguesa,A
1987-10-10,Santa Cruz,3-1,Santos,A
1987-10-10,Atlético Goianiense,1-0,Bangu,A
1987-10-11,Atlético Mineiro,0-0,Cruzeiro,A
1987-10-11,Palmeiras,1-0,Coritiba,A
1987-10-11,Goiás,1-1,Flamengo,A
1987-10-11,Vasco,4-1,Corinthians,A
1987-10-11,Rio Branco-ES,2-1,Treze,A
1987-10-11,Sport,4-0,Inter de Limeira,A
1987-10-11,Guarani,4-2,Náutico,A
1987-10-11,Vitória,2-1,Portuguesa,A
1987-10-11,Ceará,0-1,Atlético Paranaense,A
1987-10-12,Internacional,0-1,Grêmio,A
1987-10-12,São Paulo,0-2,Botafogo,A
1987-10-12,Fluminense,0-1,Bahia,A
1987-10-13,Portuguesa,1-0,Treze,A
1987-10-14,Atlético Paranaense,2-0,Náutico,A
1987-10-14,Rio Branco-ES,0-0,Vitória,A
1987-10-15,Portuguesa,1-0,Bangu,A
1987-10-16,Goiás,2-0,Palmeiras,A
1987-10-17,Vasco,0-0,Santa Cruz,A
1987-10-17,Santos,0-1,Bahia,A
1987-10-18,Flamengo,0-0,Cruzeiro,A
1987-10-18,Coritiba,1-1,Botafogo,A
1987-10-18,Corinthians,1-0,Internacional,A
1987-10-18,Grêmio,1-0,São Paulo,A
1987-10-18,Atlético Mineiro,3-1,Fluminense,A
1987-10-18,Portuguesa,4-0,CSA,A
1987-10-18,Guarani,1-0,Ceará,A
1987-10-18,Vitória,0-0,Atlético Goianiense,A
1987-10-21,Rio Branco-ES,0-0,Atlético Goianiense,A
1987-10-21,Bangu,2-0,Ceará,B
1987-10-21,Vitória,0-0,CSA,B
1987-10-21,Guarani,0-2,Atlético Paranaense,
1987-10-23,Grêmio,0-0,Atlético Mineiro,A
1987-10-24,Atlético Goianiense,0-2,Criciúma,A
1987-10-24,Flamengo,1-0,Botafogo,A
1987-10-24,São Paulo,3-1,Santos,A
1987-10-24,Vasco,0-2,Fluminense,A
1987-10-24,Goiás,1-1,Coritiba,A
1987-10-24,Cruzeiro,3-0,Internacional,A
1987-10-25,Rio Branco-ES,0-0,Inter de Limeira,A
1987-10-25,Guarani,2-0,Portuguesa,A
1987-10-25,Joinville,1-2,Atlético Paranaense,A
1987-10-25,CSA,1-1,Náutico,B
1987-10-25,Sport,2-1,Ceará,B
1987-10-25,Corinthians,0-0,Palmeiras,A
1987-10-25,Bahia,0-0,Santa Cruz,A
1987-10-28,Atlético Paranaense,0-1,Portuguesa,A
1987-10-28,Inter de Limeira,1-0,Atlético Goianiense,A
1987-10-28,Criciúma,3-0,Rio Branco-ES,A
1987-10-28,Joinville,0-2,Guarani,A
1987-10-28,Bangu,2-0,Sport,B
1987-10-28,Ceará,0-2,Treze,B
1987-10-28,Botafogo,0-0,Atlético Mineiro,A
1987-10-28,Bahia,1-1,Corinthians,A
1987-10-28,Santa Cruz,1-2,Palmeiras,A
1987-10-28,Cruzeiro,3-0,Vasco,A
1987-10-28,Internacional,0-1,Fluminense,A
1987-10-28,São Paulo,2-0,Goiás,A
1987-10-29,Flamengo,1-1,Grêmio,A
1987-10-29,Santos,2-1,Coritiba,A
1987-10-31,Corinthians,2-1,Santa Cruz,A
1987-10-31,Coritiba,3-2,São Paulo,A
1987-10-31,Fluminense,1-1,Cruzeiro,A
1987-11-01,Joinville,0-0,Rio Branco-ES,A
1987-11-01,Guarani,2-0,Criciúma,A
1987-11-01,Portuguesa,1-0,Atlético Goianiense,A
