Data,Mandante,Placar_Bruto,Visitante,Fase
1980-02-23,Corinthians,3-2,Joinville,A
1980-02-23,Internacional,1-2,Itabaiana,C
1980-02-23,Vasco,1-0,America-RJ,D
1980-02-24,Colorado,2-0,CRB,A
1980-02-24,Portuguesa,1-0,Bahia,A
1980-02-24,Operário-MS,1-1,Cruzeiro,A
1980-02-24,Remo,1-3,Botafogo,A
1980-02-24,Palmeiras,1-1,Vitória,B
1980-02-24,Ceará,2-1,Flamengo-PI,B
1980-02-24,Desportiva Ferroviária,1-0,Guarani,B
1980-02-24,América-RN,1-0,Vila Nova,B
1980-02-24,Fluminense,2-3,Atlético Mineiro,B
1980-02-24,Santos,0-1,Flamengo,C
1980-02-24,São Paulo-RS,3-2,Botafogo-PB,C
1980-02-24,Náutico,0-0,Ferroviário,C
1980-02-24,Mixto,1-3,Ponte Preta,C
1980-02-24,Gama,2-0,Maranhão,D
1980-02-24,Grêmio,0-0,São Paulo,D
1980-02-24,Atlético Goianiense,1-1,Coritiba,D
1980-02-24,Nacional-AM,0-2,Santa Cruz,D
1980-02-27,Botafogo,4-0,Portuguesa,A
1980-02-27,Cruzeiro,0-0,Remo,A
1980-02-27,CRB,2-0,Joinville,A
1980-02-27,Bahia,2-3,Corinthians,A
1980-02-27,Colorado,2-0,Operário-MS,A
1980-02-27,Ceará,1-1,América-RN,B
1980-02-27,Guarani,1-2,Fluminense,B
1980-02-27,Flamengo-PI,0-0,Vitória,B
1980-02-27,Vila Nova,1-0,Desportiva Ferroviária,B
1980-02-27,Atlético Mineiro,2-0,Palmeiras,B
1980-02-27,Botafogo-PB,2-1,Itabaiana,C
1980-02-27,Internacional,3-1,Mixto,C
1980-02-27,Ferroviário,1-1,Santos,C
1980-02-27,Gama,0-2,Nacional-AM,D
1980-02-27,Coritiba,2-2,Grêmio,D
1980-02-27,Santa Cruz,3-1,Atlético Goianiense,D
1980-02-27,Maranhão,0-1,America-RJ,D
1980-02-27,São Paulo,1-2,Vasco,D
1980-03-01,Bahia,1-0,CRB,A
1980-03-01,Cruzeiro,0-0,Colorado,A
1980-03-01,Náutico,0-1,Botafogo-PB,C
1980-03-01,America-RJ,2-4,Grêmio,D
1980-03-01,São Paulo,2-0,Maranhão,D
1980-03-02,Corinthians,2-0,Botafogo,A
1980-03-02,Joinville,4-1,Portuguesa,A
1980-03-02,Operário-MS,0-1,Remo,A
1980-03-02,Palmeiras,0-0,Guarani,B
1980-03-02,Vitória,1-1,Fluminense,B
1980-03-02,Vila Nova,0-0,Ceará,B
1980-03-02,América-RN,1-1,Desportiva Ferroviária,B
1980-03-02,Atlético Mineiro,2-0,Flamengo-PI,B
1980-03-02,São Paulo-RS,1-1,Mixto,C
1980-03-02,Itabaiana,0-2,Santos,C
1980-03-02,Ponte Preta,0-0,Ferroviário,C
1980-03-02,Flamengo,1-0,Internacional,C
1980-03-02,Nacional-AM,0-0,Atlético Goianiense,D
1980-03-02,Santa Cruz,1-1,Gama,D
1980-03-02,Vasco,0-1,Coritiba,D
1980-03-05,Botafogo,3-1,CRB,A
1980-03-05,Operário-MS,0-1,Corinthians,A
1980-03-05,Remo,1-1,Bahia,A
1980-03-05,Joinville,1-1,Colorado,A
1980-03-05,Fluminense,4-0,Vila Nova,B
1980-03-05,Desportiva Ferroviária,1-4,Atlético Mineiro,B
1980-03-05,Guarani,3-0,Flamengo-PI,B
1980-03-05,Vitória,0-5,Ceará,B
1980-03-05,Santos,2-1,Ponte Preta,C
1980-03-05,Internacional,3-2,Ferroviário,C
1980-03-05,Itabaiana,2-0,São Paulo-RS,C
1980-03-05,Mixto,3-1,Náutico,C
1980-03-05,Vasco,1-0,Nacional-AM,D
1980-03-05,Coritiba,2-0,Maranhão,D
1980-03-06,Palmeiras,4-1,América-RN,B
1980-03-06,Flamengo,1-2,Botafogo-PB,C
1980-03-06,Grêmio,0-0,Santa Cruz,D
1980-03-06,America-RJ,0-0,Gama,D
1980-03-08,Cruzeiro,2-1,Joinville,A
1980-03-08,Náutico,0-2,Internacional,C
1980-03-08,Ferroviário,2-1,Itabaiana,C
1980-03-08,São Paulo,5-3,Coritiba,D
1980-03-09,Colorado,1-0,Remo,A
1980-03-09,CRB,1-3,Operário-MS,A
1980-03-09,Bahia,3-2,Botafogo,A
1980-03-09,Corinthians,0-0,Portuguesa,A
1980-03-09,Vila Nova,0-1,Vitória,B
1980-03-09,Atlético Mineiro,2-0,Guarani,B
1980-03-09,Flamengo-PI,3-0,América-RN,B
1980-03-09,Ceará,0-0,Desportiva Ferroviária,B
1980-03-09,Fluminense,0-0,Palmeiras,B
1980-03-09,Santos,2-0,São Paulo-RS,C
1980-03-09,Mixto,0-2,Flamengo,C
1980-03-09,Santa Cruz,2-1,America-RJ,D
1980-03-09,Grêmio,3-1,Vasco,D
1980-03-09,Gama,1-1,Atlético Goianiense,D
1980-03-12,São Paulo-RS,1-1,Náutico,C
1980-03-12,Portuguesa,0-3,Cruzeiro,A
1980-03-12,Ponte Preta,3-1,Itabaiana,C
1980-03-12,Flamengo,2-1,Ferroviário,C
1980-03-12,Maranhão,0-0,Nacional-AM,D
1980-03-12,Joinville,3-0,Remo,A
1980-03-12,Atlético Goianiense,1-0,Vasco,D
1980-03-13,Botafogo-PB,2-1,Internacional,C
1980-03-15,Botafogo,2-0,Colorado,A
1980-03-15,Palmeiras,4-0,Vila Nova,B
1980-03-15,America-RJ,1-1,Atlético Goianiense,D
1980-03-16,Corinthians,3-1,Cruzeiro,A
1980-03-16,CRB,4-1,Portuguesa,A
1980-03-16,Operário-MS,1-0,Bahia,A
1980-03-16,Guarani,1-0,Ceará,B
1980-03-16,Flamengo-PI,2-2,Fluminense,B
1980-03-16,América-RN,0-0,Atlético Mineiro,B
1980-03-16,Vitória,4-2,Desportiva Ferroviária,B
1980-03-16,Itabaiana,3-2,Mixto,C
1980-03-16,Ferroviário,1-0,São Paulo-RS,C
1980-03-16,Internacional,1-0,Ponte Preta,C
1980-03-16,Náutico,2-2,Flamengo,C
1980-03-16,Botafogo-PB,0-3,Santos,C
1980-03-16,Coritiba,2-1,Gama,D
1980-03-16,Vasco,2-0,Santa Cruz,D
1980-03-16,Nacional-AM,2-2,São Paulo,D
1980-03-16,Maranhão,1-1,Grêmio,D
1980-03-19,Remo,1-0,Corinthians,A
1980-03-19,Botafogo,1-1,Operário-MS,A
1980-03-19,Bahia,0-0,Joinville,A
1980-03-19,Atlético Mineiro,5-1,Vitória,B
1980-03-19,Desportiva Ferroviária,1-0,Palmeiras,B
1980-03-19,Vila Nova,2-1,Flamengo-PI,B
1980-03-19,Fluminense,4-2,Ceará,B
1980-03-19,Ponte Preta,4-0,São Paulo-RS,C
1980-03-19,Ferroviário,1-2,Mixto,C
1980-03-19,Grêmio,5-1,Gama,D
1980-03-19,São Paulo,2-0,America-RJ,D
1980-03-19,Coritiba,3-0,Nacional-AM,D
1980-03-19,Santa Cruz,1-1,Maranhão,D
