Data,Mandante,Placar_Bruto,Visitante,Fase
2017-05-13,Flamengo,1-1,Atlético Mineiro,R1
2017-05-13,Corinthians,1-1,Chapecoense,R1
2017-05-14,Fluminense,3-2,Santos,R1
2017-05-14,Palmeiras,4-0,Vasco,R1
2017-05-14,Cruzeiro,1-0,São Paulo,R1
2017-05-14,Bahia,6-2,Atlético Paranaense,R1
2017-05-14,Ponte Preta,4-0,Sport,R1
2017-05-14,Avaí,0-0,Vitória,R1
2017-05-14,Grêmio,2-0,Botafogo,R1
2017-05-15,Coritiba,4-1,Atlético Goianiense,R1
2017-05-20,Santos,1-0,Coritiba,R2
2017-05-20,Atlético Goianiense,0-3,Flamengo,R2
2017-05-20,Chapecoense,1-0,Palmeiras,R2
2017-05-21,Vasco,2-1,Bahia,R2
2017-05-21,Atlético Mineiro,1-2,Fluminense,R2
2017-05-21,Atlético Paranaense,0-2,Grêmio,R2
2017-05-21,Vitória,0-1,Corinthians,R2
2017-05-21,Botafogo,2-0,Ponte Preta,R2
2017-05-21,Sport,1-1,Cruzeiro,R2
2017-05-22,São Paulo,2-0,Avaí,R2
2017-05-27,Vasco,3-2,Fluminense,R3
2017-05-27,São Paulo,2-0,Palmeiras,R3
2017-05-27,Vitória,0-1,Coritiba,R3
2017-05-28,Atlético Mineiro,2-2,Ponte Preta,R3
2017-05-28,Santos,0-1,Cruzeiro,R3
2017-05-28,Atlético Paranaense,1-1,Flamengo,R3
2017-05-28,Atlético Goianiense,0-1,Corinthians,R3
2017-05-28,Sport,4-3,Grêmio,R3
2017-05-28,Botafogo,1-0,Bahia,R3
2017-05-29,Chapecoense,2-0,Avaí,R3
2017-06-03,Coritiba,1-0,Atlético Paranaense,R4
2017-06-03,Fluminense,2-1,Vitória,R4
2017-06-03,Corinthians,2-0,Santos,R4
2017-06-04,Flamengo,0-0,Botafogo,R4
2017-06-04,Avaí,1-0,Sport,R4
2017-06-04,Palmeiras,0-0,Atlético Mineiro,R4
2017-06-04,Grêmio,2-0,Vasco,R4
2017-06-04,Ponte Preta,1-0,São Paulo,R4
2017-06-04,Cruzeiro,0-2,Chapecoense,R4
2017-06-05,Bahia,3-0,Atlético Goianiense,R4
2017-06-06,Fluminense,1-1,Atlético Paranaense,R5
2017-06-07,Atlético Mineiro,1-0,Avaí,R5
2017-06-07,Coritiba,1-0,Palmeiras,R5
2017-06-07,Santos,1-0,Botafogo,R5
2017-06-07,Vasco,2-5,Corinthians,R5
2017-06-07,Sport,2-0,Flamengo,R5
2017-06-08,São Paulo,2-0,Vitória,R5
2017-06-08,Atlético Goianiense,3-0,Ponte Preta,R5
2017-06-08,Chapecoense,3-6,Grêmio,R5
2017-06-08,Bahia,1-0,Cruzeiro,R5
2017-06-10,Palmeiras,3-1,Fluminense,R6
2017-06-10,Vasco,2-1,Sport,R6
2017-06-11,Botafogo,2-2,Coritiba,R6
2017-06-11,Corinthians,3-2,São Paulo,R6
2017-06-11,Vitória,2-0,Atlético Mineiro,R6
