Data,Mandante,Placar_Bruto,Visitante,Fase
2014-04-19,Fluminense,3-0,Figueirense,R1
2014-04-19,Internacional,1-0,Vitória,R1
2014-04-19,Chapecoense,0-0,Coritiba,R1
2014-04-20,São Paulo,3-0,Botafogo,R1
2014-04-20,Atlético Paranaense,1-0,Grêmio,R1
2014-04-20,Atlético Mineiro,0-0,Corinthians,R1
2014-04-20,Bahia,1-2,Cruzeiro,R1
2014-04-20,Flamengo,0-0,Goiás,R1
2014-04-20,Santos,1-1,Sport,R1
2014-04-20,Criciúma,1-2,Palmeiras,R1
2014-04-26,Coritiba,0-0,Santos,R2
2014-04-26,Palmeiras,0-1,Fluminense,R2
2014-04-27,Botafogo,2-2,Internacional,R2
2014-04-27,Corinthians,2-0,Flamengo,R2
2014-04-27,Cruzeiro,1-1,São Paulo,R2
2014-04-27,Vitória,2-2,Atlético Paranaense,R2
2014-04-27,Sport,2-1,Chapecoense,R2
2014-04-27,Grêmio,2-1,Atlético Mineiro,R2
2014-04-27,Figueirense,0-2,Bahia,R2
2014-04-27,Goiás,1-0,Criciúma,R2
2014-05-03,São Paulo,2-2,Coritiba,R3
2014-05-03,Santos,0-0,Grêmio,R3
2014-05-03,Atlético Paranaense,2-3,Cruzeiro,R3
2014-05-03,Fluminense,1-2,Vitória,R3
2014-05-04,Flamengo,4-2,Palmeiras,R3
2014-05-04,Bahia,1-0,Botafogo,R3
2014-05-04,Internacional,2-1,Sport,R3
2014-05-04,Criciúma,1-0,Figueirense,R3
2014-05-04,Atlético Mineiro,0-1,Goiás,R3
2014-05-04,Chapecoense,0-1,Corinthians,R3
2014-05-10,Palmeiras,2-0,Goiás,R4
2014-05-10,Internacional,2-1,Atlético Paranaense,R4
2014-05-10,Botafogo,6-0,Criciúma,R4
2014-05-11,Fluminense,2-0,Flamengo,R4
2014-05-11,São Paulo,1-1,Corinthians,R4
2014-05-11,Atlético Mineiro,2-1,Cruzeiro,R4
2014-05-11,Chapecoense,1-2,Grêmio,R4
2014-05-11,Coritiba,0-1,Sport,R4
2014-05-11,Bahia,1-1,Vitória,R4
2014-05-11,Figueirense,0-2,Santos,R4
2014-05-14,Goiás,2-0,Botafogo,R5
2014-05-17,Cruzeiro,3-2,Coritiba,R5
2014-05-18,Flamengo,0-2,São Paulo,R5
2014-05-18,Corinthians,0-1,Figueirense,R5
2014-05-18,Atlético Paranaense,1-1,Chapecoense,R5
2014-05-18,Grêmio,1-0,Fluminense,R5
2014-05-18,Santos,1-2,Atlético Mineiro,R5
2014-05-18,Vitória,0-1,Palmeiras,R5
2014-05-18,Criciúma,0-0,Internacional,R5
2014-05-21,Flamengo,1-1,Bahia,R6
2014-05-21,Coritiba,1-1,Internacional,R6
2014-05-21,Cruzeiro,2-0,Sport,R6
2014-05-21,Criciúma,1-0,Chapecoense,R6
2014-05-21,Fluminense,5-2,São Paulo,R6
2014-05-21,Corinthians,1-1,Atlético Paranaense,R6
2014-05-21,Grêmio,2-1,Botafogo,R6
2014-05-22,Palmeiras,1-0,Figueirense,R6
2014-05-22,Goiás,2-2,Santos,R6
2014-05-22,Vitória,2-3,Atlético Mineiro,R6
2014-05-24,Bahia,0-1,Fluminense,R7
2014-05-24,São Paulo,1-0,Grêmio,R7
2014-05-25,Sport,1-4,Corinthians,R7
2014-05-25,Santos,0-0,Flamengo,R7
2014-05-25,Atlético Paranaense,2-0,Coritiba,R7
2014-05-25,Figueirense,0-1,Goiás,R7
2014-05-25,Botafogo,1-1,Vitória,R7
2014-05-25,Atlético Mineiro,0-0,Criciúma,R7
2014-05-25,Internacional,1-3,Cruzeiro,R7
2014-05-25,Chapecoense,2-0,Palmeiras,R7
2014-05-28,Sport,0-0,Grêmio,R8
2014-05-28,Palmeiras,0-2,Botafogo,R8
2014-05-28,Criciúma,1-0,Coritiba,R8
2014-05-28,Internacional,2-0,Chapecoense,R8
2014-05-28,Goiás,0-0,Vitória,R8
2014-05-28,Corinthians,1-0,Cruzeiro,R8
2014-05-28,Atlético Paranaense,2-2,São Paulo,R8
2014-05-28,Atlético Mineiro,2-0,Fluminense,R8
2014-05-29,Flamengo,1-1,Figueirense,R8
2014-05-29,Bahia,0-2,Santos,R8
2014-05-31,São Paulo,2-1,Atlético Mineiro,R9
2014-05-31,Coritiba,3-0,Goiás,R9
2014-05-31,Vitória,0-1,Sport,R9
2014-06-01,Corinthians,1-1,Botafogo,R9
2014-06-01,Cruzeiro,3-0,Flamengo,R9
2014-06-01,Grêmio,0-0,Palmeiras,R9
2014-06-01,Chapecoense,2-1,Bahia,R9
2014-06-01,Fluminense,1-1,Internacional,R9
2014-06-01,Santos,2-0,Criciúma,R9
2014-06-01,Figueirense,1-3,Atlético Paranaense,R9
2014-06-04,Sport,1-0,Bahia,R5
2014-07-16,Sport,1-0,Botafogo,R10
2014-07-16,Coritiba,0-2,Figueirense,R10
2014-07-16,Grêmio,0-0,Goiás,R10
2014-07-16,Flamengo,1-2,Atlético Paranaense,R10
2014-07-16,Bahia,0-2,São Paulo,R10
2014-07-16,Criciúma,3-2,Fluminense,R10
2014-07-17,Corinthians,2-1,Internacional,R10
2014-07-17,Santos,2-0,Palmeiras,R10
2014-07-17,Cruzeiro,3-1,Vitória,R10
2014-07-19,São Paulo,0-1,Chapecoense,R11
2014-07-19,Atlético Mineiro,1-1,Bahia,R11
2014-07-19,Figueirense,0-1,Grêmio,R11
2014-07-19,Botafogo,1-0,Coritiba,R11
2014-07-20,Palmeiras,1-2,Cruzeiro,R11
2014-07-20,Vitória,0-0,Corinthians,R11
2014-07-20,Internacional,4-0,Flamengo,R11
2014-07-20,Fluminense,1-0,Santos,R11
2014-07-20,Atlético Paranaense,2-0,Criciúma,R11
2014-07-20,Goiás,0-0,Sport,R11
2014-07-26,Santos,3-0,Chapecoense,R12
2014-07-26,Cruzeiro,5-0,Figueirense,R12
2014-07-26,Criciúma,1-3,Vitória,R12
2014-07-26,Bahia,0-1,Internacional,R12
2014-07-27,Sport,2-1,Atlético Mineiro,R12
2014-07-27,Corinthians,2-0,Palmeiras,R12
2014-07-27,Atlético Paranaense,0-3,Fluminense,R12
2014-07-27,Goiás,2-1,São Paulo,R12
2014-07-27,Flamengo,1-0,Botafogo,R12
2014-07-27,Grêmio,2-3,Coritiba,R12
2014-08-02,Botafogo,1-1,Cruzeiro,R13
2014-08-02,São Paulo,1-1,Criciúma,R13
2014-08-02,Vitória,2-1,Grêmio,R13
2014-08-03,Palmeiras,1-1,Bahia,R13
2014-08-03,Coritiba,0-0,Corinthians,R13
2014-08-03,Figueirense,3-0,Sport,R13
2014-08-03,Chapecoense,1-0,Flamengo,R13
2014-08-03,Fluminense,2-0,Goiás,R13
2014-08-03,Atlético Mineiro,3-1,Atlético Paranaense,R13
2014-08-03,Internacional,1-0,Santos,R13
2014-08-06,Chapecoense,1-1,Atlético Mineiro,R10
2014-08-09,Bahia,1-0,Goiás,R14
2014-08-09,Criciúma,0-0,Cruzeiro,R14
2014-08-09,Fluminense,1-1,Coritiba,R14
2014-08-10,Flamengo,1-0,Sport,R14
2014-08-10,Santos,0-1,Corinthians,R14
2014-08-10,Atlético Paranaense,2-0,Botafogo,R14
2014-08-10,Internacional,2-0,Grêmio,R14
2014-08-10,São Paulo,3-1,Vitória,R14
2014-08-10,Atlético Mineiro,2-1,Palmeiras,R14
2014-08-10,Chapecoense,0-1,Figueirense,R14
2014-08-16,Goiás,0-1,Internacional,R15
2014-08-16,Corinthians,1-1,Bahia,R15
2014-08-17,Palmeiras,1-2,São Paulo,R15
2014-08-17,Coritiba,0-1,Flamengo,R15
2014-08-17,Cruzeiro,3-0,Santos,R15
2014-08-17,Vitória,0-0,Chapecoense,R15
2014-08-17,Grêmio,2-0,Criciúma,R15
2014-08-17,Botafogo,2-0,Fluminense,R15
2014-08-17,Sport,1-1,Atlético Paranaense,R15
2014-08-17,Figueirense,2-2,Atlético Mineiro,R15
2014-08-20,Sport,2-1,Palmeiras,R16
2014-08-20,Santos,2-0,Atlético Paranaense,R16
2014-08-20,Figueirense,1-0,Botafogo,R16
2014-08-20,Coritiba,2-0,Vitória,R16
2014-08-20,Bahia,0-0,Criciúma,R16
2014-08-20,Flamengo,2-1,Atlético Mineiro,R16
2014-08-20,Internacional,0-1,São Paulo,R16
2014-08-20,Chapecoense,1-0,Fluminense,R16
2014-08-21,Corinthians,5-2,Goiás,R16
2014-08-21,Cruzeiro,1-0,Grêmio,R16
2014-08-23,Botafogo,1-0,Chapecoense,R17
2014-08-23,Atlético Mineiro,1-0,Internacional,R17
2014-08-23,Palmeiras,1-0,Coritiba,R17
2014-08-24,Fluminense,4-0,Sport,R17
2014-08-24,São Paulo,2-1,Santos,R17
2014-08-24,Vitória,0-1,Figueirense,R17
2014-08-24,Grêmio,2-1,Corinthians,R17
2014-08-24,Criciúma,0-2,Flamengo,R17
2014-08-24,Atlético Paranaense,0-0,Bahia,R17
2014-08-24,Goiás,0-1,Cruzeiro,R17
2014-08-30,Palmeiras,0-1,Internacional,R18
2014-08-30,Cruzeiro,4-2,Chapecoense,R18
2014-08-31,Botafogo,1-0,Santos,R18
2014-08-31,Sport,2-0,Criciúma,R18
2014-08-31,Corinthians,1-1,Fluminense,R18
2014-08-31,Coritiba,0-0,Atlético Mineiro,R18
2014-08-31,Figueirense,1-1,São Paulo,R18
2014-08-31,Vitória,1-2,Flamengo,R18
2014-08-31,Grêmio,1-0,Bahia,R18
2014-08-31,Goiás,3-1,Atlético Paranaense,R18
2014-09-06,Flamengo,0-1,Grêmio,R19
2014-09-06,Santos,3-1,Vitória,R19
2014-09-06,Chapecoense,0-0,Goiás,R19
2014-09-07,Fluminense,3-3,Cruzeiro,R19
2014-09-07,São Paulo,2-0,Sport,R19
2014-09-07,Atlético Mineiro,1-0,Botafogo,R19
2014-09-07,Criciúma,0-0,Corinthians,R19
2014-09-07,Atlético Paranaense,1-1,Palmeiras,R19
2014-09-07,Bahia,0-0,Coritiba,R19
2014-09-07,Internacional,2-3,Figueirense,R19
2014-09-10,Palmeiras,1-0,Criciúma,R20
