Data,Mandante,Placar_Bruto,Visitante,Fase
2008-05-10,São Paulo,0-1,Grêmio,R1
2008-05-10,Náutico,2-1,Goiás,R1
2008-05-10,Vitória,0-2,Cruzeiro,R1
2008-05-11,Ipatinga,0-1,Atlético Paranaense,R1
2008-05-11,Coritiba,2-0,Palmeiras,R1
2008-05-11,Internacional,1-0,Vasco,R1
2008-05-11,Botafogo,2-0,Sport,R1
2008-05-11,Atlético Mineiro,0-0,Fluminense,R1
2008-05-11,Flamengo,3-1,Santos,R1
2008-05-11,Portuguesa,5-5,Figueirense,R1
2008-05-17,Cruzeiro,1-0,Botafogo,R2
2008-05-17,Vasco,3-1,Portuguesa,R2
2008-05-17,Sport,0-0,Vitória,R2
2008-05-18,Atlético Paranaense,1-1,São Paulo,R2
2008-05-18,Goiás,1-1,Atlético Mineiro,R2
2008-05-18,Grêmio,0-0,Flamengo,R2
2008-05-18,Fluminense,0-2,Náutico,R2
2008-05-18,Palmeiras,2-1,Internacional,R2
2008-05-18,Figueirense,2-1,Coritiba,R2
2008-05-18,Santos,4-0,Ipatinga,R2
2008-05-24,Flamengo,2-1,Internacional,R3
2008-05-24,Vitória,4-0,Figueirense,R3
2008-05-24,Grêmio,2-0,Náutico,R3
2008-05-25,Cruzeiro,4-0,Santos,R3
2008-05-25,Goiás,1-1,Ipatinga,R3
2008-05-25,Sport,2-1,Fluminense,R3
2008-05-25,São Paulo,1-1,Coritiba,R3
2008-05-25,Atlético Paranaense,1-1,Atlético Mineiro,R3
2008-05-25,Portuguesa,1-1,Palmeiras,R3
2008-05-25,Botafogo,1-1,Vasco,R3
2008-05-31,Vasco,2-1,Grêmio,R4
2008-05-31,Figueirense,0-0,Goiás,R4
2008-05-31,Internacional,1-1,Sport,R4
2008-05-31,Fluminense,0-1,Flamengo,R4
2008-06-01,Ipatinga,2-0,Vitória,R4
2008-06-01,Náutico,3-0,Botafogo,R4
2008-06-01,Coritiba,1-1,Cruzeiro,R4
