Data,Mandante,Placar_Bruto,Visitante,Fase
2023-04-15,Palmeiras,2-1,Cuiabá,R1
2023-04-15,América Mineiro,0-3,Fluminense,R1
2023-04-15,Botafogo,2-1,São Paulo,R1
2023-04-15,Red Bull Bragantino,2-1,Bahia,R1
2023-04-15,Athletico Paranaense,2-0,Goiás,R1
2023-04-15,Fortaleza,1-1,Internacional,R1
2023-04-15,Atlético Mineiro,1-2,Vasco,R1
2023-04-16,Flamengo,3-0,Coritiba,R1
2023-04-16,Corinthians,2-1,Cruzeiro,R1
2023-04-16,Grêmio,1-0,Santos,R1
2023-04-22,Fluminense,2-0,Athletico Paranaense,R2
2023-04-22,São Paulo,3-0,América Mineiro,R2
2023-04-22,Cuiabá,1-1,Red Bull Bragantino,R2
2023-04-22,Cruzeiro,1-0,Grêmio,R2
2023-04-23,Internacional,2-1,Flamengo,R2
2023-04-23,Vasco,2-2,Palmeiras,R2
2023-04-23,Santos,0-0,Atlético Mineiro,R2
2023-04-23,Coritiba,0-3,Fortaleza,R2
2023-04-23,Goiás,3-1,Corinthians,R2
2023-04-24,Bahia,1-2,Botafogo,R2
2023-04-29,Coritiba,1-1,São Paulo,R3
2023-04-29,Fortaleza,4-2,Fluminense,R3
2023-04-29,Palmeiras,2-1,Corinthians,R3
2023-04-29,Santos,3-2,América Mineiro,R3
2023-04-29,Red Bull Bragantino,0-3,Cruzeiro,R3
2023-04-29,Atlético Mineiro,2-1,Athletico Paranaense,R3
2023-04-30,Flamengo,2-3,Botafogo,R3
2023-04-30,Internacional,1-0,Goiás,R3
2023-04-30,Cuiabá,1-2,Grêmio,R3
2023-05-01,Vasco,0-1,Bahia,R3
2023-05-06,Cruzeiro,2-1,Santos,R4
2023-05-06,Fluminense,1-1,Vasco,R4
2023-05-07,América Mineiro,1-2,Cuiabá,R4
2023-05-07,São Paulo,2-0,Internacional,R4
2023-05-07,Athletico Paranaense,2-1,Flamengo,R4
2023-05-07,Bahia,3-1,Coritiba,R4
2023-05-07,Botafogo,2-0,Atlético Mineiro,R4
2023-05-07,Goiás,0-5,Palmeiras,R4
2023-05-07,Grêmio,3-3,Red Bull Bragantino,R4
2023-05-08,Corinthians,1-1,Fortaleza,R4
2023-05-10,Santos,3-0,Bahia,R5
2023-05-10,Red Bull Bragantino,2-2,América Mineiro,R5
2023-05-10,Internacional,0-2,Athletico Paranaense,R5
2023-05-10,Flamengo,2-0,Goiás,R5
2023-05-10,Cuiabá,0-4,Atlético Mineiro,R5
2023-05-10,Palmeiras,4-1,Grêmio,R5
2023-05-10,Cruzeiro,0-2,Fluminense,R5
2023-05-11,Coritiba,1-1,Vasco,R5
2023-05-11,Botafogo,3-0,Corinthians,R5
2023-05-11,Fortaleza,0-0,São Paulo,R5
2023-05-13,Bahia,2-3,Flamengo,R6
2023-05-13,Fluminense,2-0,Cuiabá,R6
2023-05-13,Palmeiras,1-1,Red Bull Bragantino,R6
2023-05-13,Atlético Mineiro,2-0,Internacional,R6
2023-05-14,Vasco,0-1,Santos,R6
2023-05-14,Corinthians,1-1,São Paulo,R6
2023-05-14,Grêmio,0-0,Fortaleza,R6
2023-05-14,Goiás,2-1,Botafogo,R6
2023-05-14,Athletico Paranaense,3-2,Coritiba,R6
2023-05-14,América Mineiro,0-4,Cruzeiro,R6
2023-05-20,Bahia,1-1,Goiás,R7
2023-05-20,Botafogo,1-0,Fluminense,R7
2023-05-20,São Paulo,4-2,Vasco,R7
2023-05-20,Red Bull Bragantino,2-0,Athletico Paranaense,R7
2023-05-20,Coritiba,1-2,Atlético Mineiro,R7
2023-05-20,América Mineiro,2-1,Fortaleza,R7
2023-05-20,Santos,0-0,Palmeiras,R7
2023-05-21,Flamengo,1-0,Corinthians,R7
2023-05-21,Grêmio,3-1,Internacional,R7
2023-05-22,Cruzeiro,0-1,Cuiabá,R7
2023-05-27,Athletico Paranaense,1-2,Grêmio,R8
2023-05-27,Fortaleza,2-0,Vasco,R8
2023-05-27,Flamengo,1-1,Cruzeiro,R8
2023-05-27,Cuiabá,1-1,Coritiba,R8
2023-05-27,São Paulo,2-1,Goiás,R8
2023-05-28,Corinthians,2-0,Fluminense,R8
2023-05-28,Internacional,2-0,Bahia,R8
2023-05-28,Red Bull Bragantino,2-0,Santos,R8
2023-05-28,Atlético Mineiro,1-1,Palmeiras,R8
2023-05-28,Botafogo,2-0,América Mineiro,R8
2023-06-03,Fortaleza,0-0,Bahia,R9
2023-06-03,Cruzeiro,0-1,Atlético Mineiro,R9
2023-06-03,Athletico Paranaense,1-0,Botafogo,R9
2023-06-03,América Mineiro,2-0,Corinthians,R9
2023-06-03,Santos,1-1,Internacional,R9
2023-06-04,Fluminense,2-1,Red Bull Bragantino,R9
2023-06-04,Grêmio,2-1,São Paulo,R9
2023-06-04,Palmeiras,3-1,Coritiba,R9
2023-06-04,Goiás,0-1,Cuiabá,R9
2023-06-05,Vasco,1-4,Flamengo,R9
2023-06-10,Coritiba,0-0,Santos,R10
2023-06-10,Corinthians,1-1,Cuiabá,R10
2023-06-10,Atlético Mineiro,1-1,Red Bull Bragantino,R10
2023-06-10,Bahia,2-2,Cruzeiro,R10
2023-06-10,Botafogo,2-0,Fortaleza,R10
2023-06-11,América Mineiro,2-2,Athletico Paranaense,R10
2023-06-11,São Paulo,0-2,Palmeiras,R10
2023-06-11,Internacional,2-1,Vasco,R10
2023-06-11,Flamengo,3-0,Grêmio,R10
2023-06-11,Goiás,2-2,Fluminense,R10
2023-06-21,São Paulo,2-1,Athletico Paranaense,R11
2023-06-21,Cruzeiro,0-1,Fortaleza,R11
2023-06-21,Santos,0-2,Corinthians,R11
2023-06-21,Fluminense,1-1,Atlético Mineiro,R11
2023-06-21,Bahia,1-0,Palmeiras,R11
2023-06-22,Grêmio,3-1,América Mineiro,R11
2023-06-22,Vasco,0-1,Goiás,R11
2023-06-22,Coritiba,0-1,Internacional,R11
2023-06-22,Cuiabá,0-1,Botafogo,R11
2023-06-22,Red Bull Bragantino,4-0,Flamengo,R11
2023-06-24,Athletico Paranaense,1-0,Corinthians,R12
2023-06-24,Fluminense,2-1,Bahia,R12
2023-06-24,Fortaleza,2-1,Atlético Mineiro,R12
2023-06-24,Cruzeiro,1-0,São Paulo,R12
2023-06-25,Palmeiras,0-1,Botafogo,R12
2023-06-25,Grêmio,5-1,Coritiba,R12
2023-06-25,Santos,2-3,Flamengo,R12
2023-06-25,Red Bull Bragantino,2-0,Goiás,R12
2023-06-25,América Mineiro,1-2,Internacional,R12
2023-06-26,Vasco,1-0,Cuiabá,R12
2023-07-01,São Paulo,1-0,Fluminense,R13
2023-07-01,Flamengo,2-0,Fortaleza,R13
2023-07-01,Bahia,1-2,Grêmio,R13
2023-07-01,Internacional,0-0,Cruzeiro,R13
2023-07-02,Corinthians,0-1,Red Bull Bragantino,R13
2023-07-02,Botafogo,2-0,Vasco,R13
2023-07-02,Atlético Mineiro,2-2,América Mineiro,R13
2023-07-02,Athletico Paranaense,2-2,Palmeiras,R13
2023-07-02,Cuiabá,3-0,Santos,R13
2023-07-03,Goiás,1-2,Coritiba,R13
2023-07-08,Vasco,0-1,Cruzeiro,R14
2023-07-08,Cuiabá,1-1,Bahia,R14
2023-07-08,Atlético Mineiro,0-1,Corinthians,R14
2023-07-08,Coritiba,3-1,América Mineiro,R14
2023-07-08,Palmeiras,1-1,Flamengo,R14
2023-07-09,Santos,4-3,Goiás,R14
2023-07-09,Fluminense,2-0,Internacional,R14
2023-07-09,Red Bull Bragantino,0-0,São Paulo,R14
2023-07-09,Grêmio,0-2,Botafogo,R14
2023-07-09,Fortaleza,1-0,Athletico Paranaense,R14
2023-07-15,Botafogo,2-0,Red Bull Bragantino,R15
2023-07-16,Cruzeiro,0-0,Coritiba,R15
2023-07-16,Fluminense,0-0,Flamengo,R15
2023-07-16,São Paulo,4-1,Santos,R15
