Data,Mandante,Placar_Bruto,Visitante,Fase
1971-08-07,Santa Cruz,1-4,Corinthians,1R
1971-08-07,Internacional,0-0,Fluminense,1R
1971-08-07,Palmeiras,1-0,Portuguesa,1R
1971-08-07,Ceará,0-0,Vasco,1R
1971-08-07,Coritiba,0-2,Cruzeiro,1R
1971-08-07,São Paulo,0-3,Grêmio,1R
1971-08-07,Sport,1-0,Flamengo,1R
1971-08-07,Bahia,0-0,Santos,1R
1971-08-07,Atlético Mineiro,1-1,América Mineiro,1R
1971-08-07,Botafogo,0-0,America-RJ,1R
1971-08-11,Ceará,0-1,Corinthians,1R
1971-08-11,Cruzeiro,2-1,Portuguesa,1R
1971-08-11,Bahia,1-1,Flamengo,1R
1971-08-11,America-RJ,0-2,Grêmio,1R
1971-08-11,Sport,0-2,Santos,1R
1971-08-12,Santa Cruz,1-0,Vasco,1R
1971-08-14,Santos,3-1,São Paulo,1R
1971-08-14,Flamengo,1-1,Botafogo,1R
1971-08-14,América Mineiro,1-1,America-RJ,1R
1971-08-14,Grêmio,1-1,Atlético Mineiro,1R
1971-08-15,Coritiba,2-1,Portuguesa,1R
1971-08-15,Corinthians,0-0,Palmeiras,1R
1971-08-15,Fluminense,0-1,Vasco,1R
1971-08-15,Ceará,0-0,Santa Cruz,1R
1971-08-15,Cruzeiro,2-0,Internacional,1R
1971-08-15,Bahia,3-0,Sport,1R
1971-08-18,Fluminense,2-1,Coritiba,1R
1971-08-18,Bahia,0-1,São Paulo,1R
1971-08-18,Santos,0-0,Botafogo,1R
1971-08-18,América Mineiro,0-0,Grêmio,1R
1971-08-21,Internacional,2-1,Palmeiras,1R
1971-08-21,Corinthians,0-0,Cruzeiro,1R
1971-08-21,Coritiba,1-0,Santa Cruz,1R
1971-08-21,Ceará,1-0,Fluminense,1R
1971-08-21,Flamengo,0-1,Atlético Mineiro,1R
1971-08-22,Vasco,0-3,Portuguesa,1R
1971-08-22,Sport,0-0,São Paulo,1R
1971-08-22,Santos,0-0,America-RJ,1R
1971-08-22,Grêmio,1-1,Botafogo,1R
1971-08-25,Botafogo,2-1,América Mineiro,1R
1971-08-25,Atlético Mineiro,4-0,Bahia,1R
