Data,Mandante,Placar_Bruto,Visitante,Fase
1993-09-04,Guarani,1-1,Palmeiras,B
1993-09-04,Grêmio,3-2,Fluminense,B
1993-09-04,Náutico,2-1,Santa Cruz,C
1993-09-04,Goiás,0-3,Vitória,C
1993-09-04,Portuguesa,5-2,Criciúma,D
1993-09-04,Paraná,1-3,América Mineiro,D
1993-09-04,Atlético Paranaense,0-3,União São João,D
1993-09-04,Desportiva Ferroviária,0-1,Coritiba,D
1993-09-05,Vasco,1-0,Atlético Mineiro,B
1993-09-06,São Paulo,3-2,Internacional,A
1993-09-06,Bragantino,0-0,Botafogo,A
1993-09-07,Cruzeiro,0-2,Corinthians,A
1993-09-07,Bahia,1-1,Flamengo,A
1993-09-07,Sport,0-2,Santos,B
1993-09-07,Ceará,3-1,Fortaleza,C
1993-09-07,Remo,2-1,Paysandu,C
1993-09-11,Internacional,1-0,Botafogo,A
1993-09-11,Atlético Mineiro,1-1,Santos,B
1993-09-11,Vitória,0-0,Fortaleza,C
1993-09-11,Santa Cruz,0-1,Paysandu,C
1993-09-11,União São João,2-1,Portuguesa,D
1993-09-12,São Paulo,1-1,Corinthians,A
1993-09-12,Flamengo,1-1,Bragantino,A
1993-09-12,Bahia,1-3,Cruzeiro,A
1993-09-12,Palmeiras,3-0,Sport,B
1993-09-12,Ceará,3-1,Goiás,C
1993-09-12,Remo,2-1,Náutico,C
1993-09-12,Paraná,6-1,Desportiva Ferroviária,D
1993-09-12,América Mineiro,0-0,Atlético Paranaense,D
1993-09-12,Criciúma,1-0,Coritiba,D
1993-09-13,Guarani,2-2,Grêmio,B
1993-09-15,Goiás,1-2,Remo,C
1993-09-15,Paysandu,1-1,Náutico,C
1993-09-15,Fortaleza,1-2,Santa Cruz,C
1993-09-15,Ceará,0-3,Vitória,C
1993-09-15,Portuguesa,1-2,América Mineiro,D
1993-09-15,Coritiba,1-1,União São João,D
1993-09-15,Criciúma,2-1,Desportiva Ferroviária,D
1993-09-15,Bahia,1-0,Botafogo,A
1993-09-16,Atlético Paranaense,0-0,Paraná,D
1993-09-18,São Paulo,2-0,Bahia,A
1993-09-18,Cruzeiro,1-2,Flamengo,A
1993-09-18,Santos,0-2,Fluminense,B
1993-09-18,Grêmio,1-1,Palmeiras,B
1993-09-18,Atlético Mineiro,0-1,Sport,B
1993-09-18,Vitória,2-1,Remo,C
1993-09-18,Fortaleza,1-1,Náutico,C
1993-09-18,Ceará,0-1,Santa Cruz,C
1993-09-18,Paysandu,1-1,Goiás,C
1993-09-18,União São João,5-1,Criciúma,D
1993-09-18,América Mineiro,0-0,Coritiba,D
1993-09-18,Paraná,1-0,Portuguesa,D
1993-09-18,Desportiva Ferroviária,1-1,Atlético Paranaense,D
1993-09-20,Botafogo,0-1,Corinthians,A
1993-09-20,Internacional,1-1,Bragantino,A
1993-09-20,Vasco,0-0,Guarani,B
1993-09-22,Flamengo,2-0,São Paulo,A
1993-09-22,Guarani,2-1,Santos,B
1993-09-22,Fluminense,2-0,Atlético Mineiro,B
1993-09-22,Sport,1-0,Grêmio,B
1993-09-22,Santa Cruz,5-1,Remo,C
1993-09-22,Ceará,1-0,Náutico,C
1993-09-22,Paysandu,2-0,Vitória,C
1993-09-22,Fortaleza,1-1,Goiás,C
1993-09-22,Desportiva Ferroviária,1-0,União São João,D
1993-09-22,Portuguesa,2-0,Atlético Paranaense,D
1993-09-22,Criciúma,3-1,América Mineiro,D
1993-09-22,Coritiba,0-0,Paraná,D
1993-09-25,Bragantino,0-0,Corinthians,A
1993-09-25,Sport,1-1,Fluminense,B
1993-09-26,Botafogo,0-1,Flamengo,A
1993-09-26,São Paulo,0-0,Cruzeiro,A
1993-09-26,Internacional,1-0,Bahia,A
1993-09-26,Vasco,2-4,Grêmio,B
1993-09-26,Santos,3-1,Palmeiras,B
1993-09-26,Atlético Mineiro,1-0,Guarani,B
1993-09-26,Náutico,0-2,Vitória,C
1993-09-26,Remo,2-0,Ceará,C
1993-09-26,Fortaleza,0-2,Paysandu,C
1993-09-26,Goiás,1-0,Santa Cruz,C
1993-09-26,Paraná,2-0,Criciúma,D
1993-09-26,América Mineiro,1-3,União São João,D
