Data,Mandante,Placar_Bruto,Visitante,Fase
2012-05-19,Sport,1-1,Flamengo,R1
2012-05-19,Palmeiras,1-1,Portuguesa,R1
2012-05-19,Figueirense,2-1,Náutico,R1
2012-05-20,Botafogo,4-2,São Paulo,R1
2012-05-20,Corinthians,0-1,Fluminense,R1
2012-05-20,Internacional,2-0,Coritiba,R1
2012-05-20,Ponte Preta,0-1,Atlético Mineiro,R1
2012-05-20,Vasco,2-1,Grêmio,R1
2012-05-20,Cruzeiro,0-0,Atlético Goianiense,R1
2012-05-20,Bahia,0-0,Santos,R1
2012-05-26,Flamengo,3-3,Internacional,R2
2012-05-26,Portuguesa,0-1,Vasco,R2
2012-05-26,Atlético Goianiense,1-1,Ponte Preta,R2
2012-05-26,Náutico,0-0,Cruzeiro,R2
2012-05-27,Santos,0-0,Sport,R2
2012-05-27,São Paulo,1-0,Bahia,R2
2012-05-27,Atlético Mineiro,1-0,Corinthians,R2
2012-05-27,Coritiba,2-3,Botafogo,R2
2012-05-27,Fluminense,2-2,Figueirense,R2
2012-05-27,Grêmio,1-0,Palmeiras,R2
2012-06-06,Sport,2-1,Palmeiras,R3
2012-06-06,Atlético Goianiense,0-1,Grêmio,R3
2012-06-06,Vasco,4-2,Náutico,R3
2012-06-06,Atlético Mineiro,1-1,Bahia,R3
2012-06-06,Coritiba,2-0,Portuguesa,R3
2012-06-06,Santos,1-1,Fluminense,R3
2012-06-06,Internacional,1-0,São Paulo,R3
2012-06-06,Ponte Preta,2-2,Flamengo,R3
2012-06-07,Botafogo,2-3,Cruzeiro,R3
2012-06-07,Corinthians,1-1,Figueirense,R3
2012-06-09,Flamengo,3-1,Coritiba,R4
2012-06-09,Palmeiras,0-1,Atlético Mineiro,R4
2012-06-10,Portuguesa,2-0,Atlético Goianiense,R4
2012-06-10,Fluminense,0-0,Internacional,R4
2012-06-10,Grêmio,2-0,Corinthians,R4
2012-06-10,Bahia,1-2,Vasco,R4
2012-06-10,São Paulo,1-0,Santos,R4
2012-06-10,Cruzeiro,1-0,Sport,R4
2012-06-10,Figueirense,0-0,Ponte Preta,R4
2012-06-10,Náutico,3-2,Botafogo,R4
2012-06-16,Internacional,1-2,Botafogo,R5
2012-06-16,Cruzeiro,1-0,Figueirense,R5
2012-06-16,Fluminense,4-1,Portuguesa,R5
2012-06-17,Flamengo,1-0,Santos,R5
2012-06-17,Palmeiras,1-1,Vasco,R5
2012-06-17,São Paulo,1-0,Atlético Mineiro,R5
2012-06-17,Bahia,2-1,Sport,R5
2012-06-17,Ponte Preta,1-0,Corinthians,R5
2012-06-17,Coritiba,3-0,Atlético Goianiense,R5
2012-06-17,Náutico,1-0,Grêmio,R5
