Data,Mandante,Placar_Bruto,Visitante,Fase
2010-05-08,Botafogo,3-3,Santos,R1
2010-05-08,Atlético Goianiense,0-0,Grêmio,R1
2010-05-08,Palmeiras,1-0,Vitória,R1
2010-05-09,Flamengo,1-1,São Paulo,R1
2010-05-09,Atlético Mineiro,2-1,Vasco,R1
2010-05-09,Internacional,1-2,Cruzeiro,R1
2010-05-09,Corinthians,2-1,Atlético Paranaense,R1
2010-05-09,Ceará,1-0,Fluminense,R1
2010-05-09,Guarani,1-0,Goiás,R1
2010-05-09,Avaí,6-1,Grêmio Barueri,R1
2010-05-15,Fluminense,1-0,Atlético Goianiense,R2
2010-05-15,Grêmio Barueri,4-0,Atlético Mineiro,R2
2010-05-15,Vitória,1-1,Flamengo,R2
2010-05-16,São Paulo,1-2,Botafogo,R2
2010-05-16,Grêmio,1-2,Corinthians,R2
2010-05-16,Goiás,2-3,Internacional,R2
2010-05-16,Santos,1-1,Ceará,R2
2010-05-16,Vasco,0-0,Palmeiras,R2
2010-05-16,Cruzeiro,2-2,Avaí,R2
2010-05-16,Atlético Paranaense,2-2,Guarani,R2
2010-05-22,Botafogo,3-0,Goiás,R3
2010-05-22,Atlético Goianiense,1-2,Santos,R3
2010-05-22,Palmeiras,4-2,Grêmio,R3
2010-05-23,Corinthians,1-0,Fluminense,R3
2010-05-23,Atlético Mineiro,3-1,Atlético Paranaense,R3
2010-05-23,Internacional,0-2,São Paulo,R3
2010-05-23,Ceará,1-0,Vitória,R3
2010-05-23,Avaí,2-0,Vasco,R3
2010-05-23,Flamengo,3-1,Grêmio Barueri,R3
2010-05-23,Guarani,2-2,Cruzeiro,R3
2010-05-26,Vitória,4-3,Atlético Mineiro,R4
2010-05-26,Grêmio,3-0,Avaí,R4
2010-05-26,Fluminense,2-1,Flamengo,R4
2010-05-26,São Paulo,1-0,Palmeiras,R4
2010-05-26,Grêmio Barueri,2-2,Corinthians,R4
2010-05-26,Cruzeiro,1-0,Botafogo,R4
2010-05-26,Santos,3-1,Guarani,R4
2010-05-27,Vasco,3-2,Internacional,R4
2010-05-27,Atlético Paranaense,2-1,Atlético Goianiense,R4
2010-05-27,Goiás,0-0,Ceará,R4
2010-05-29,Flamengo,1-1,Grêmio,R5
2010-05-29,Palmeiras,0-0,Grêmio Barueri,R5
2010-05-29,Avaí,0-0,Vitória,R5
2010-05-30,Corinthians,4-2,Santos,R5
2010-05-30,Guarani,0-0,São Paulo,R5
2010-05-30,Atlético Mineiro,1-3,Fluminense,R5
2010-05-30,Internacional,4-1,Atlético Paranaense,R5
2010-05-30,Ceará,1-0,Cruzeiro,R5
2010-05-30,Atlético Goianiense,1-3,Goiás,R5
2010-05-30,Botafogo,1-1,Vasco,R5
2010-06-02,Atlético Paranaense,3-2,Botafogo,R6
2010-06-02,Fluminense,2-1,Vitória,R6
2010-06-02,Grêmio Barueri,1-0,Atlético Goianiense,R6
2010-06-02,Ceará,2-0,Avaí,R6
2010-06-02,Palmeiras,0-1,Flamengo,R6
2010-06-02,Goiás,2-1,São Paulo,R6
2010-06-02,Cruzeiro,0-0,Santos,R6
2010-06-03,Grêmio,2-1,Atlético Mineiro,R6
2010-06-03,Vasco,0-1,Guarani,R6
2010-06-03,Corinthians,2-0,Internacional,R6
2010-06-05,Avaí,0-3,Fluminense,R7
2010-06-05,Flamengo,1-2,Goiás,R7
2010-06-05,Vitória,1-0,Atlético Paranaense,R7
2010-06-06,São Paulo,3-1,Grêmio,R7
2010-06-06,Santos,4-0,Vasco,R7
2010-06-06,Botafogo,2-2,Corinthians,R7
2010-06-06,Atlético Mineiro,0-1,Ceará,R7
2010-06-06,Internacional,1-1,Palmeiras,R7
2010-06-06,Guarani,1-0,Grêmio Barueri,R7
2010-06-06,Atlético Goianiense,2-1,Cruzeiro,R7
2010-07-14,Grêmio,1-1,Vitória,R8
2010-07-14,Atlético Paranaense,0-2,Cruzeiro,R8
2010-07-14,São Paulo,1-2,Avaí,R8
2010-07-14,Flamengo,1-0,Botafogo,R8
2010-07-14,Guarani,0-3,Internacional,R8
2010-07-14,Goiás,0-0,Vasco,R8
2010-07-14,Ceará,0-0,Corinthians,R8
2010-07-15,Palmeiras,2-1,Santos,R8
2010-07-15,Atlético Mineiro,3-2,Atlético Goianiense,R8
2010-07-15,Fluminense,1-1,Grêmio Barueri,R8
2010-07-17,Vitória,3-2,São Paulo,R9
2010-07-17,Vasco,3-1,Atlético Paranaense,R9
2010-07-18,Corinthians,1-0,Atlético Mineiro,R9
2010-07-18,Atlético Goianiense,0-1,Flamengo,R9
2010-07-18,Avaí,4-2,Palmeiras,R9
2010-07-18,Internacional,2-1,Ceará,R9
2010-07-18,Cruzeiro,1-0,Goiás,R9
2010-07-18,Santos,0-1,Fluminense,R9
2010-07-18,Botafogo,1-1,Guarani,R9
2010-07-18,Grêmio Barueri,2-0,Grêmio,R9
2010-07-21,Atlético Mineiro,1-2,Internacional,R10
2010-07-21,Vitória,2-2,Goiás,R10
2010-07-21,São Paulo,1-1,Grêmio Barueri,R10
2010-07-21,Flamengo,1-1,Avaí,R10
2010-07-21,Atlético Paranaense,2-0,Santos,R10
2010-07-21,Grêmio,1-1,Vasco,R10
2010-07-21,Atlético Goianiense,3-1,Corinthians,R10
2010-07-22,Fluminense,1-0,Cruzeiro,R10
2010-07-22,Guarani,1-1,Ceará,R10
2010-07-22,Palmeiras,2-2,Botafogo,R10
2010-07-24,Avaí,0-0,Atlético Mineiro,R11
2010-07-24,Vasco,2-0,Atlético Goianiense,R11
2010-07-24,Grêmio Barueri,0-0,Vitória,R11
2010-07-25,Santos,1-0,São Paulo,R11
2010-07-25,Cruzeiro,2-2,Grêmio,R11
2010-07-25,Internacional,1-0,Flamengo,R11
2010-07-25,Goiás,0-2,Atlético Paranaense,R11
2010-07-25,Ceará,0-0,Palmeiras,R11
2010-07-25,Corinthians,3-1,Guarani,R11
2010-07-25,Botafogo,1-1,Fluminense,R11
2010-07-31,Fluminense,3-1,Atlético Paranaense,R12
2010-07-31,Atlético Goianiense,1-1,Guarani,R12
2010-07-31,São Paulo,2-1,Ceará,R12
2010-08-01,Palmeiras,1-1,Corinthians,R12
2010-08-01,Vitória,1-3,Botafogo,R12
2010-08-01,Avaí,4-1,Goiás,R12
2010-08-01,Internacional,0-0,Grêmio,R12
2010-08-01,Atlético Mineiro,0-1,Cruzeiro,R12
2010-08-01,Grêmio Barueri,1-2,Santos,R12
2010-08-01,Flamengo,0-0,Vasco,R12
2010-08-07,Botafogo,3-0,Atlético Mineiro,R13
2010-08-07,Guarani,4-1,Avaí,R13
2010-08-08,Corinthians,1-0,Flamengo,R13
