Data,Mandante,Placar_Bruto,Visitante,Fase
2025-03-29,São Paulo,0-0,Sport,R1
2025-03-29,Cruzeiro,2-1,Mirassol,R1
2025-03-29,Grêmio,2-1,Atlético Mineiro,R1
2025-03-29,Fortaleza,2-0,Fluminense,R1
2025-03-29,Juventude,2-0,Vitória,R1
2025-03-29,Flamengo,1-1,Internacional,R1
2025-03-30,Palmeiras,0-0,Botafogo,R1
2025-03-30,Vasco,2-1,Santos,R1
2025-03-30,Bahia,1-1,Corinthians,R1
2025-03-31,Red Bull Bragantino,2-2,Ceará,R1
2025-04-05,Corinthians,3-0,Vasco,R2
2025-04-05,Ceará,2-0,Grêmio,R2
2025-04-05,Botafogo,2-0,Juventude,R2
2025-04-06,Fluminense,2-1,Red Bull Bragantino,R2
2025-04-06,Atlético Mineiro,0-0,São Paulo,R2
2025-04-06,Mirassol,1-1,Fortaleza,R2
2025-04-06,Internacional,3-0,Cruzeiro,R2
2025-04-06,Vitória,1-2,Flamengo,R2
2025-04-06,Sport,1-2,Palmeiras,R2
2025-04-06,Santos,2-2,Bahia,R2
2025-04-12,Red Bull Bragantino,1-0,Botafogo,R3
2025-04-12,Juventude,2-1,Ceará,R3
2025-04-12,Palmeiras,2-0,Corinthians,R3
2025-04-12,Vasco,3-1,Sport,R3
2025-04-13,Bahia,1-1,Mirassol,R3
2025-04-13,São Paulo,1-1,Cruzeiro,R3
2025-04-13,Grêmio,0-2,Flamengo,R3
2025-04-13,Fluminense,1-0,Santos,R3
2025-04-13,Fortaleza,0-0,Internacional,R3
2025-04-13,Atlético Mineiro,2-2,Vitória,R3
2025-04-15,Ceará,2-1,Vasco,R4
2025-04-16,Botafogo,2-2,São Paulo,R4
2025-04-16,Mirassol,4-1,Grêmio,R4
2025-04-16,Sport,0-1,Red Bull Bragantino,R4
2025-04-16,Corinthians,0-2,Fluminense,R4
2025-04-16,Internacional,0-1,Palmeiras,R4
2025-04-16,Flamengo,6-0,Juventude,R4
2025-04-16,Santos,2-0,Atlético Mineiro,R4
2025-04-16,Vitória,2-1,Fortaleza,R4
2025-04-17,Cruzeiro,3-0,Bahia,R4
2025-04-19,Corinthians,2-1,Sport,R5
2025-04-19,Vasco,0-0,Flamengo,R5
2025-04-19,Grêmio,1-1,Internacional,R5
2025-04-20,Juventude,2-2,Mirassol,R5
2025-04-20,São Paulo,2-1,Santos,R5
2025-04-20,Atlético Mineiro,1-0,Botafogo,R5
2025-04-20,Fluminense,1-1,Vitória,R5
2025-04-20,Fortaleza,1-2,Palmeiras,R5
2025-04-20,Red Bull Bragantino,1-0,Cruzeiro,R5
2025-04-21,Bahia,1-0,Ceará,R5
2025-04-26,Internacional,3-1,Juventude,R6
2025-04-26,Mirassol,2-2,Atlético Mineiro,R6
2025-04-26,Ceará,1-1,São Paulo,R6
2025-04-26,Sport,0-0,Fortaleza,R6
2025-04-26,Botafogo,2-0,Fluminense,R6
