Data,Mandante,Placar_Bruto,Visitante,Fase
2019-04-27,São Paulo,2-0,Botafogo,R1
2019-04-27,Atlético Mineiro,2-1,Avaí,R1
2019-04-27,Chapecoense,2-0,Internacional,R1
2019-04-27,Flamengo,3-1,Cruzeiro,R1
2019-04-28,Grêmio,1-2,Santos,R1
2019-04-28,Ceará,4-0,CSA,R1
2019-04-28,Bahia,3-2,Corinthians,R1
2019-04-28,Athletico Paranaense,4-1,Vasco,R1
2019-04-28,Palmeiras,4-0,Fortaleza,R1
2019-04-28,Fluminense,0-1,Goiás,R1
2019-05-01,Internacional,2-1,Flamengo,R2
2019-05-01,Corinthians,1-0,Chapecoense,R2
2019-05-01,CSA,1-1,Palmeiras,R2
2019-05-01,Cruzeiro,1-0,Ceará,R2
2019-05-01,Avaí,1-1,Grêmio,R2
2019-05-01,Fortaleza,2-1,Athletico Paranaense,R2
2019-05-01,Vasco,1-2,Atlético Mineiro,R2
2019-05-01,Goiás,1-2,São Paulo,R2
2019-05-02,Santos,2-1,Fluminense,R2
2019-05-02,Botafogo,3-2,Bahia,R2
2019-05-04,Palmeiras,1-0,Internacional,R3
2019-05-04,Vasco,1-1,Corinthians,R3
2019-05-04,Ceará,1-2,Atlético Mineiro,R3
2019-05-05,Chapecoense,1-1,Athletico Paranaense,R3
2019-05-05,Cruzeiro,2-1,Goiás,R3
2019-05-05,São Paulo,1-1,Flamengo,R3
2019-05-05,Botafogo,1-0,Fortaleza,R3
2019-05-05,CSA,0-0,Santos,R3
2019-05-05,Grêmio,4-5,Fluminense,R3
2019-05-05,Bahia,1-0,Avaí,R3
2019-05-11,Fluminense,0-1,Botafogo,R4
2019-05-11,Corinthians,0-0,Grêmio,R4
2019-05-11,Goiás,2-1,Ceará,R4
2019-05-12,Flamengo,2-1,Chapecoense,R4
2019-05-12,Internacional,3-1,Cruzeiro,R4
2019-05-12,Atlético Mineiro,0-2,Palmeiras,R4
2019-05-12,Santos,3-0,Vasco,R4
