Data,Mandante,Placar_Bruto,Visitante,Fase
1982-01-16,São Paulo,5-0,Treze,C
1982-01-17,Santos,1-0,Vasco,A
1982-01-17,Moto Club,0-0,Paysandu,A
1982-01-17,Botafogo,1-2,Guarani,B
1982-01-17,América-RN,1-2,Ceará,B
1982-01-17,Ferroviário,1-2,Náutico,C
1982-01-17,Itabaiana,0-1,Inter de Limeira,D
1982-01-17,CSA,1-2,Sport,D
1982-01-17,Bahia,3-2,Mixto,E
1982-01-17,Bangu,3-0,Cruzeiro,E
1982-01-17,Desportiva Ferroviária,0-2,Atlético Mineiro,F
1982-01-17,São José,1-0,Grêmio,F
1982-01-17,Ponte Preta,1-0,Goiás,G
1982-01-17,Internacional,3-0,Grêmio Maringá,G
1982-01-17,Londrina,3-0,Joinville,H
1982-01-17,Anapolina,1-1,XV de Jaú,H
1982-01-20,Santos,4-1,Moto Club,A
1982-01-20,Paysandu,1-1,Nacional-AM,A
1982-01-20,Guarani,4-2,América-RN,B
1982-01-20,Ceará,3-1,River-PI,B
1982-01-20,Flamengo,3-2,São Paulo,C
1982-01-20,Treze,1-1,Náutico,C
1982-01-20,Sport,4-0,Itabaiana,D
1982-01-20,Inter de Limeira,2-2,Fluminense,D
1982-01-20,Bangu,0-0,Bahia,E
1982-01-20,Mixto,1-2,Operário-MS,E
1982-01-20,Grêmio,2-0,Desportiva Ferroviária,F
1982-01-20,Atlético Mineiro,1-0,Vitória,F
1982-01-20,Goiás,3-0,Taguatinga,G
1982-01-20,Grêmio Maringá,0-0,Ponte Preta,G
1982-01-20,Joinville,0-3,Inter SM,H
1982-01-20,XV de Jaú,3-0,Londrina,H
1982-01-24,Vasco,7-0,Moto Club,A
1982-01-24,Nacional-AM,2-2,Santos,A
1982-01-24,River-PI,1-3,Guarani,B
1982-01-24,Botafogo,2-0,América-RN,B
1982-01-24,Náutico,3-4,Flamengo,C
1982-01-24,Ferroviário,0-2,Treze,C
1982-01-24,Fluminense,1-2,Sport,D
1982-01-24,CSA,2-0,Itabaiana,D
1982-01-24,Cruzeiro,2-0,Bahia,E
1982-01-24,Operário-MS,2-3,Bangu,E
1982-01-24,Vitória,0-2,Grêmio,F
1982-01-24,São José,2-1,Desportiva Ferroviária,F
1982-01-24,Taguatinga,1-2,Grêmio Maringá,G
1982-01-24,Internacional,1-1,Ponte Preta,G
