Data,Mandante,Placar_Bruto,Visitante,Fase
1988-09-02,Bahia,1-1,Bangu,1F
1988-09-02,Vitória,0-0,America-RJ,1F
1988-09-02,São Paulo,1-0,Santos,1F
1988-09-04,Santa Cruz,0-1,Sport,1F
1988-09-04,Goiás,0-1,Guarani,1F
1988-09-04,Palmeiras,1-1,Santos,1F
1988-09-04,Cruzeiro,0-0,Atlético Mineiro,1F
1988-09-04,Botafogo,1-1,Fluminense,1F
1988-09-04,Vasco,1-0,Flamengo,1F
1988-09-04,Corinthians,0-1,São Paulo,1F
1988-09-04,Grêmio,1-0,Internacional,1F
1988-09-04,Coritiba,1-0,Atlético Paranaense,1F
1988-09-04,Criciúma,1-1,Portuguesa,1F
1988-09-07,Goiás,0-2,Vasco,1F
1988-09-07,Sport,0-0,Cruzeiro,1F
1988-09-07,Grêmio,3-0,São Paulo,1F
1988-09-07,Corinthians,0-0,Fluminense,1F
1988-09-07,Portuguesa,3-1,Coritiba,1F
1988-09-07,Palmeiras,2-1,Santa Cruz,1F
1988-09-07,America-RJ,1-2,Flamengo,1F
1988-09-07,Bahia,1-0,Vitória,1F
1988-09-07,Atlético Mineiro,1-0,Botafogo,1F
1988-09-07,Criciúma,1-3,Internacional,1F
1988-09-07,Atlético Paranaense,1-1,Santos,1F
1988-09-11,Flamengo,1-0,Corinthians,1F
1988-09-11,Guarani,1-0,Atlético Mineiro,1F
1988-09-11,Fluminense,3-0,Bahia,1F
1988-09-11,Internacional,0-0,Santos,1F
1988-09-11,Cruzeiro,0-0,Atlético Paranaense,1F
1988-09-11,Vitória,2-0,Santa Cruz,1F
1988-09-11,Vasco,4-2,Portuguesa,1F
1988-09-11,Sport,0-0,Grêmio,1F
1988-09-11,São Paulo,1-0,Botafogo,1F
1988-09-11,Palmeiras,1-0,Criciúma,1F
1988-09-11,Bangu,2-0,America-RJ,1F
1988-09-11,Coritiba,0-0,Goiás,1F
1988-09-17,Corinthians,2-1,Vitória,1F
1988-09-17,Santos,2-0,Bangu,1F
1988-09-17,Fluminense,2-0,Criciúma,1F
1988-09-17,America-RJ,0-1,Portuguesa,1F
1988-09-18,Bahia,1-0,Flamengo,1F
1988-09-18,Santa Cruz,3-0,Goiás,1F
1988-09-18,São Paulo,0-0,Coritiba,1F
1988-09-18,Atlético Paranaense,0-1,Vasco,1F
1988-09-18,Internacional,2-2,Cruzeiro,1F
1988-09-18,Botafogo,1-1,Palmeiras,1F
1988-09-18,Guarani,0-0,Sport,1F
1988-09-18,Atlético Mineiro,1-0,Grêmio,1F
1988-09-24,Botafogo,0-0,Internacional,1F
1988-09-24,São Paulo,1-0,America-RJ,1F
1988-09-25,Palmeiras,2-3,Vasco,1F
1988-09-25,Grêmio,1-2,Fluminense,1F
1988-09-25,Flamengo,2-2,Santa Cruz,1F
1988-09-25,Portuguesa,1-0,Santos,1F
1988-09-25,Cruzeiro,1-0,Bangu,1F
1988-09-25,Criciúma,0-1,Atlético Paranaense,1F
1988-09-25,Goiás,2-2,Bahia,1F
1988-09-25,Sport,2-0,Corinthians,1F
1988-09-25,Vitória,1-1,Guarani,1F
1988-09-25,Coritiba,1-2,Atlético Mineiro,1F
1988-10-01,Guarani,3-1,Palmeiras,1F
1988-10-01,Fluminense,2-1,Santa Cruz,1F
1988-10-01,Portuguesa,5-2,Cruzeiro,1F
1988-10-02,Flamengo,2-2,Botafogo,1F
1988-10-02,Atlético Mineiro,1-1,Bahia,1F
1988-10-02,Bangu,0-2,Grêmio,1F
1988-10-02,Internacional,2-1,Coritiba,1F
1988-10-02,Vitória,1-0,Vasco,1F
1988-10-02,Criciúma,1-1,Goiás,1F
1988-10-02,America-RJ,1-1,Sport,1F
1988-10-02,Atlético Paranaense,0-0,Corinthians,1F
1988-10-08,Fluminense,1-0,Cruzeiro,1F
1988-10-08,Santos,1-1,Vitória,1F
1988-10-08,America-RJ,0-0,Goiás,1F
1988-10-08,Atlético Paranaense,1-1,Guarani,1F
1988-10-09,Flamengo,0-0,Grêmio,1F
1988-10-09,Santa Cruz,1-0,São Paulo,1F
1988-10-09,Vasco,1-2,Internacional,1F
1988-10-09,Botafogo,0-1,Portuguesa,1F
1988-10-09,Bangu,0-0,Coritiba,1F
1988-10-09,Atlético Mineiro,0-1,Criciúma,1F
1988-10-09,Bahia,1-1,Sport,1F
1988-10-09,Palmeiras,2-0,Corinthians,1F
1988-10-15,Goiás,2-1,Botafogo,1F
1988-10-15,Guarani,1-0,São Paulo,1F
1988-10-15,Grêmio,2-0,Palmeiras,1F
1988-10-16,Corinthians,0-1,Atlético Mineiro,1F
1988-10-16,Flamengo,1-0,Santos,1F
1988-10-16,Bahia,2-0,Atlético Paranaense,1F
1988-10-16,Coritiba,0-1,Fluminense,1F
1988-10-16,Cruzeiro,5-1,Vitória,1F
1988-10-16,Vasco,1-1,Bangu,1F
1988-10-16,Santa Cruz,1-0,Portuguesa,1F
1988-10-16,Internacional,2-0,America-RJ,1F
1988-10-16,Sport,2-1,Criciúma,1F
1988-10-19,Santa Cruz,1-1,Atlético Paranaense,1F
1988-10-22,Sport,1-0,Botafogo,1F
1988-10-22,São Paulo,0-2,Bahia,1F
1988-10-23,Santos,0-1,Goiás,1F
1988-10-23,Palmeiras,2-0,Cruzeiro,1F
1988-10-23,Corinthians,1-1,Portuguesa,1F
1988-10-23,Criciúma,0-0,Bangu,1F
1988-10-23,Guarani,1-5,Flamengo,1F
1988-10-23,Internacional,2-0,Santa Cruz,1F
1988-10-23,Fluminense,0-0,Vasco,1F
1988-10-23,Atlético Mineiro,2-1,America-RJ,1F
1988-10-23,Atlético Paranaense,1-2,Grêmio,1F
1988-10-23,Vitória,1-0,Coritiba,1F
1988-10-26,Bangu,2-0,Santa Cruz,1F
1988-10-28,Flamengo,3-0,Criciúma,1F
1988-10-29,Atlético Mineiro,1-0,Santos,1F
1988-10-29,Botafogo,1-0,Bangu,1F
1988-10-30,Grêmio,1-0,Vitória,1F
1988-10-30,Portuguesa,1-0,Guarani,1F
1988-10-30,Corinthians,2-2,Internacional,1F
1988-10-30,Vasco,1-1,São Paulo,1F
1988-10-30,Fluminense,2-0,America-RJ,1F
1988-10-30,Bahia,1-0,Palmeiras,1F
1988-10-30,Coritiba,1-0,Sport,1F
1988-10-30,Goiás,3-0,Cruzeiro,1F
1988-11-02,Bangu,0-1,Guarani,1F
1988-11-02,Criciúma,0-1,Vitória,1F
1988-11-05,Fluminense,0-0,Guarani,1F
1988-11-05,Vitória,1-2,Botafogo,1F
1988-11-06,São Paulo,1-0,Criciúma,1F
1988-11-06,Santos,3-0,Sport,1F
1988-11-06,Palmeiras,0-1,Coritiba,1F
1988-11-06,Portuguesa,1-1,Grêmio,1F
1988-11-06,Vasco,2-0,Atlético Mineiro,1F
1988-11-06,Cruzeiro,0-0,Flamengo,1F
1988-11-06,Internacional,3-0,Bahia,1F
1988-11-06,Goiás,0-0,Corinthians,1F
1988-11-06,Atlético Paranaense,3-0,America-RJ,1F
1988-11-09,Coritiba,2-2,Flamengo,1F
1988-11-09,Bangu,2-1,Corinthians,1F
1988-11-09,America-RJ,1-0,Palmeiras,1F
1988-11-09,Botafogo,0-2,Atlético Paranaense,1F
1988-11-09,Cruzeiro,0-1,São Paulo,1F
1988-11-09,Grêmio,2-0,Goiás,1F
1988-11-09,Santa Cruz,1-1,Atlético Mineiro,1F
1988-11-09,Sport,2-3,Vasco,1F
1988-11-09,Portuguesa,0-0,Bahia,1F
1988-11-09,Santos,2-1,Fluminense,1F
1988-11-09,Guarani,0-0,Internacional,1F
1988-11-12,Santos,0-0,Guarani,B
1988-11-12,Santa Cruz,1-1,Vasco,B
1988-11-12,Fluminense,0-2,Atlético Paranaense,A
1988-11-13,Botafogo,0-2,Corinthians,B
1988-11-13,America-RJ,1-1,Grêmio,B
1988-11-13,Coritiba,0-0,Criciúma,B
1988-11-13,Bahia,2-1,Cruzeiro,B
1988-11-13,Palmeiras,1-1,São Paulo,A
1988-11-13,Internacional,3-1,Flamengo,A
1988-11-13,Goiás,6-1,Vitória,A
1988-11-13,Sport,1-0,Bangu,A
1988-11-13,Atlético Mineiro,0-3,Portuguesa,A
1988-11-16,Corinthians,1-0,Coritiba,B
1988-11-16,Botafogo,1-0,Santa Cruz,B
1988-11-16,Criciúma,0-1,Santos,B
1988-11-16,Vasco,0-0,Bahia,B
1988-11-17,Cruzeiro,3-0,Grêmio,B
1988-11-17,Portuguesa,1-0,Goiás,A
1988-11-17,São Paulo,2-0,Internacional,A
1988-11-17,Vitória,1-1,Atlético Mineiro,A
1988-11-17,Bangu,0-0,Fluminense,A
1988-11-17,Flamengo,1-1,Palmeiras,A
1988-11-17,Atlético Paranaense,0-0,Sport,A
1988-11-19,Guarani,2-0,America-RJ,B
1988-11-19,Coritiba,3-0,Botafogo,B
1988-11-19,Vasco,4-0,Santos,B
1988-11-20,Guarani,0-0,Bahia,B
1988-11-20,Santa Cruz,2-2,Criciúma,B
1988-11-20,America-RJ,1-2,Cruzeiro,B
1988-11-20,Grêmio,0-0,Corinthians,B
1988-11-20,Vitória,2-2,São Paulo,A
1988-11-20,Palmeiras,1-1,Atlético Paranaense,A
1988-11-20,Internacional,2-1,Portuguesa,A
1988-11-20,Atlético Mineiro,2-2,Fluminense,A
1988-11-20,Flamengo,2-1,Sport,A
1988-11-20,Goiás,1-1,Bangu,A
1988-11-23,Grêmio,0-2,Vasco,B
1988-11-23,Santos,2-0,America-RJ,B
1988-11-23,Guarani,1-3,Coritiba,B
1988-11-23,Fluminense,3-0,Portuguesa,A
1988-11-23,Goiás,0-0,Internacional,A
1988-11-24,Bahia,0-1,Botafogo,B
1988-11-24,Criciúma,0-0,Cruzeiro,B
1988-11-24,Corinthians,2-0,Santa Cruz,B
1988-11-24,Sport,1-0,Palmeiras,A
1988-11-24,Atlético Mineiro,3-1,Bangu,A
1988-11-24,Atlético Paranaense,1-0,Vitória,A
1988-11-24,São Paulo,2-1,Flamengo,A
1988-11-26,Coritiba,2-0,Santos,B
1988-11-26,Goiás,2-0,Fluminense,A
1988-11-27,Bahia,2-0,Corinthians,B
1988-11-27,Santa Cruz,1-0,Guarani,B
1988-11-27,Cruzeiro,0-0,Vasco,B
1988-11-27,Botafogo,1-0,Grêmio,B
1988-11-27,America-RJ,1-1,Criciúma,B
1988-11-27,Portuguesa,1-0,Palmeiras,A
1988-11-27,São Paulo,3-0,Sport,A
1988-11-27,Flamengo,0-1,Vitória,A
1988-11-27,Internacional,2-2,Atlético Mineiro,A
1988-11-27,Bangu,2-1,Atlético Paranaense,A
1988-11-30,Atlético Mineiro,0-0,Sport,A
1988-11-30,Vitória,1-2,Internacional,A
1988-11-30,Palmeiras,2-0,Goiás,A
1988-11-30,Fluminense,0-1,Flamengo,A
1988-12-01,Criciúma,0-1,Bahia,B
1988-12-01,Santa Cruz,0-0,Coritiba,B
1988-12-01,Vasco,3-0,Botafogo,B
1988-12-01,Santos,1-3,Cruzeiro,B
1988-12-01,Corinthians,3-2,America-RJ,B
1988-12-01,Grêmio,2-1,Guarani,B
1988-12-01,Bangu,0-0,São Paulo,A
1988-12-01,Atlético Paranaense,0-0,Portuguesa,A
1988-12-03,Vitória,1-0,Fluminense,A
1988-12-03,Atlético Mineiro,1-0,Palmeiras,A
1988-12-04,Santos,2-1,Grêmio,B
1988-12-04,Corinthians,0-0,Vasco,B
1988-12-04,Guarani,4-1,Criciúma,B
1988-12-04,Coritiba,2-0,Bahia,B
1988-12-04,America-RJ,1-0,Santa Cruz,B
1988-12-04,Botafogo,1-1,Cruzeiro,B
1988-12-04,São Paulo,0-1,Portuguesa,A
1988-12-04,Sport,1-0,Goiás,A
1988-12-04,Flamengo,2-1,Atlético Paranaense,A
1988-12-04,Internacional,1-1,Bangu,A
1988-12-07,Corinthians,3-0,Criciúma,B
1988-12-07,Grêmio,3-2,Santa Cruz,B
1988-12-07,Bahia,5-1,Santos,B
1988-12-07,Botafogo,0-0,America-RJ,B
1988-12-07,Sport,2-1,Fluminense,A
1988-12-08,Vasco,1-0,Coritiba,B
1988-12-08,Cruzeiro,1-0,Guarani,B
