Data,Mandante,Placar_Bruto,Visitante,Fase
1999-07-24,Palmeiras,3-1,Juventude,1F
1999-07-25,Botafogo-SP,4-2,Portuguesa,1F
1999-07-25,Paraná,0-2,Santos,1F
1999-07-25,Guarani,2-1,Internacional,1F
1999-07-25,Grêmio,2-1,Atlético Paranaense,1F
1999-07-25,Coritiba,2-0,Vitória,1F
1999-07-25,Sport,0-0,Vasco,1F
1999-07-25,Flamengo,1-0,Ponte Preta,1F
1999-07-25,São Paulo,5-1,Atlético Mineiro,1F
1999-07-25,Gama,2-4,Corinthians,1F
1999-07-28,Cruzeiro,4-1,Botafogo,1F
1999-07-28,Santos,3-2,São Paulo,1F
1999-07-31,Vitória,2-1,Palmeiras,1F
1999-07-31,Atlético Paranaense,3-2,Flamengo,1F
1999-07-31,Juventude,0-0,Cruzeiro,1F
1999-07-31,Ponte Preta,2-0,Grêmio,1F
1999-07-31,Atlético Mineiro,2-0,Gama,1F
1999-08-01,Botafogo,0-0,Sport,1F
1999-08-01,Corinthians,4-1,Botafogo-SP,1F
1999-08-01,Portuguesa,1-0,Guarani,1F
1999-08-01,Internacional,0-2,Coritiba,1F
1999-08-04,São Paulo,0-1,Botafogo,1F
1999-08-04,Guarani,0-2,Corinthians,1F
1999-08-07,Ponte Preta,1-1,Botafogo,1F
1999-08-07,Santos,0-0,Vitória,1F
1999-08-07,Coritiba,1-1,Botafogo-SP,1F
1999-08-08,Flamengo,0-1,Paraná,1F
1999-08-08,Gama,0-1,Guarani,1F
1999-08-08,Sport,1-1,Atlético Mineiro,1F
1999-08-08,Palmeiras,2-2,Atlético Paranaense,1F
1999-08-08,Cruzeiro,3-1,Internacional,1F
1999-08-11,Atlético Mineiro,2-0,Palmeiras,1F
1999-08-11,Internacional,1-2,Flamengo,1F
1999-08-14,Atlético Paranaense,3-0,Santos,1F
1999-08-14,Vitória,0-2,Grêmio,1F
1999-08-15,Vasco,2-1,Botafogo,1F
1999-08-15,Botafogo-SP,1-3,Gama,1F
1999-08-15,Paraná,1-0,Sport,1F
1999-08-15,Portuguesa,2-1,São Paulo,1F
1999-08-15,Guarani,1-0,Juventude,1F
1999-08-15,Coritiba,2-2,Cruzeiro,1F
1999-08-18,Cruzeiro,2-1,São Paulo,1F
1999-08-18,Grêmio,0-0,Vasco,1F
1999-08-18,Flamengo,2-1,Coritiba,1F
1999-08-18,Botafogo,1-5,Atlético Mineiro,1F
1999-08-18,Gama,0-0,Santos,1F
1999-08-18,Corinthians,5-1,Vitória,1F
1999-08-18,Sport,1-0,Portuguesa,1F
1999-08-18,Botafogo-SP,1-1,Palmeiras,1F
1999-08-18,Ponte Preta,0-0,Guarani,1F
1999-08-18,Paraná,2-2,Juventude,1F
1999-08-18,Santos,0-1,Botafogo,1F
1999-08-18,Atlético Paranaense,2-2,Atlético Mineiro,1F
1999-08-19,São Paulo,2-0,Juventude,1F
1999-08-19,Vasco,1-1,Paraná,1F
1999-08-19,Vitória,0-0,Ponte Preta,1F
1999-08-21,Botafogo,2-4,Corinthians,1F
1999-08-21,Sport,0-1,Flamengo,1F
1999-08-21,Juventude,1-1,Grêmio,1F
1999-08-22,Vasco,3-1,Vitória,1F
1999-08-22,Palmeiras,0-2,Gama,1F
1999-08-22,São Paulo,1-0,Botafogo-SP,1F
1999-08-22,Coritiba,0-0,Portuguesa,1F
1999-08-22,Santos,1-2,Guarani,1F
1999-08-22,Ponte Preta,1-0,Paraná,1F
1999-08-22,Cruzeiro,3-1,Atlético Paranaense,1F
1999-08-22,Internacional,1-0,Atlético Mineiro,1F
1999-08-25,Juventude,1-3,Corinthians,1F
1999-08-25,Vitória,2-0,Botafogo,1F
1999-08-25,Botafogo-SP,0-1,Ponte Preta,1F
1999-08-25,Atlético Paranaense,1-2,Internacional,1F
1999-08-28,Ponte Preta,1-2,Palmeiras,1F
1999-08-28,Santos,1-1,Vasco,1F
1999-08-28,Atlético Mineiro,4-1,Coritiba,1F
1999-08-28,Gama,2-3,Cruzeiro,1F
1999-08-29,Flamengo,3-4,Grêmio,1F
1999-08-29,Botafogo-SP,1-1,Sport,1F
1999-08-29,Corinthians,1-0,São Paulo,1F
1999-08-29,Portuguesa,2-0,Atlético Paranaense,1F
