Data,Mandante,Placar_Bruto,Visitante,Fase
2021-05-29,Cuiabá,2-2,Juventude,R1
2021-05-29,Bahia,3-0,Santos,R1
2021-05-29,São Paulo,0-0,Fluminense,R1
2021-05-30,Atlético Mineiro,1-2,Fortaleza,R1
2021-05-30,Flamengo,1-0,Palmeiras,R1
2021-05-30,Ceará,3-2,Grêmio,R1
2021-05-30,Corinthians,0-1,Atlético Goianiense,R1
2021-05-30,Athletico Paranaense,1-0,América Mineiro,R1
2021-05-30,Chapecoense,0-3,Red Bull Bragantino,R1
2021-05-30,Internacional,2-2,Sport,R1
2021-06-05,Atlético Goianiense,2-0,São Paulo,R2
2021-06-05,Santos,3-1,Ceará,R2
2021-06-05,Red Bull Bragantino,3-3,Bahia,R2
2021-06-06,Fluminense,1-0,Cuiabá,R2
2021-06-06,América Mineiro,0-1,Corinthians,R2
2021-06-06,Fortaleza,5-1,Internacional,R2
2021-06-06,Palmeiras,3-1,Chapecoense,R2
2021-06-06,Juventude,0-3,Athletico Paranaense,R2
2021-06-06,Sport,0-1,Atlético Mineiro,R2
2021-06-12,Palmeiras,1-1,Corinthians,R3
2021-06-12,Santos,0-0,Juventude,R3
2021-06-13,Flamengo,2-0,América Mineiro,R3
2021-06-13,Atlético Mineiro,1-0,São Paulo,R3
2021-06-13,Grêmio,0-1,Athletico Paranaense,R3
2021-06-13,Fortaleza,1-0,Sport,R3
2021-06-13,Bahia,0-1,Internacional,R3
2021-06-13,Red Bull Bragantino,2-2,Fluminense,R3
2021-06-13,Chapecoense,0-0,Ceará,R3
2021-06-16,São Paulo,1-1,Chapecoense,R4
2021-06-16,Internacional,0-1,Atlético Mineiro,R4
2021-06-16,Corinthians,1-2,Red Bull Bragantino,R4
2021-06-16,Juventude,0-3,Palmeiras,R4
2021-06-17,América Mineiro,0-0,Cuiabá,R4
2021-06-17,Ceará,1-2,Bahia,R4
2021-06-17,Fluminense,1-0,Santos,R4
2021-06-17,Sport,1-0,Grêmio,R4
2021-06-17,Atlético Goianiense,0-0,Fortaleza,R4
2021-06-19,Flamengo,2-3,Red Bull Bragantino,R5
2021-06-20,Palmeiras,2-1,América Mineiro,R5
2021-06-20,Internacional,1-1,Ceará,R5
2021-06-20,Bahia,0-0,Corinthians,R5
2021-06-20,Santos,2-0,São Paulo,R5
2021-06-20,Fortaleza,1-1,Fluminense,R5
2021-06-20,Athletico Paranaense,2-1,Atlético Goianiense,R5
2021-06-20,Juventude,1-0,Sport,R5
2021-06-21,Atlético Mineiro,1-1,Chapecoense,R5
2021-06-23,Flamengo,2-1,Fortaleza,R6
2021-06-23,São Paulo,2-2,Cuiabá,R6
2021-06-23,Red Bull Bragantino,3-1,Palmeiras,R6
2021-06-23,Atlético Goianiense,1-0,Fluminense,R6
2021-06-24,América Mineiro,1-1,Juventude,R6
2021-06-24,Corinthians,2-1,Sport,R6
2021-06-24,Ceará,2-1,Atlético Mineiro,R6
2021-06-24,Chapecoense,1-2,Internacional,R6
2021-06-24,Grêmio,2-2,Santos,R6
2021-06-24,Bahia,2-1,Athletico Paranaense,R6
2021-06-27,Juventude,1-0,Flamengo,R7
2021-06-27,Fluminense,1-1,Corinthians,R7
2021-06-27,Palmeiras,3-2,Bahia,R7
2021-06-27,Grêmio,0-0,Fortaleza,R7
2021-06-27,Athletico Paranaense,2-2,Chapecoense,R7
2021-06-27,Santos,2-0,Atlético Mineiro,R7
2021-06-27,América Mineiro,1-1,Internacional,R7
2021-06-27,Ceará,1-1,São Paulo,R7
2021-06-27,Sport,0-0,Cuiabá,R7
2021-06-28,Atlético Goianiense,0-1,Red Bull Bragantino,R7
2021-06-30,Fluminense,1-4,Athletico Paranaense,R8
2021-06-30,Fortaleza,3-2,Chapecoense,R8
2021-06-30,Internacional,1-2,Palmeiras,R8
2021-06-30,Bahia,3-4,América Mineiro,R8
2021-06-30,Santos,0-0,Sport,R8
2021-06-30,Corinthians,0-0,São Paulo,R8
2021-06-30,Juventude,2-0,Grêmio,R8
2021-07-01,Red Bull Bragantino,0-0,Ceará,R8
2021-07-01,Atlético Mineiro,4-1,Atlético Goianiense,R8
2021-07-01,Cuiabá,0-2,Flamengo,R8
2021-07-03,Athletico Paranaense,2-1,Fortaleza,R9
2021-07-03,Corinthians,1-1,Internacional,R9
2021-07-03,América Mineiro,2-0,Santos,R9
2021-07-04,Chapecoense,0-2,Bahia,R9
