Data,Mandante,Placar_Bruto,Visitante,Fase
1972-09-09,Botafogo,1-1,Santos,1F
1972-09-09,Vitória,0-0,Remo,1F
1972-09-09,Cruzeiro,0-0,América Mineiro,1F
1972-09-10,Sergipe,1-3,Ceará,1F
1972-09-10,ABC,0-0,CRB,1F
1972-09-10,Coritiba,1-0,Palmeiras,1F
1972-09-10,Náutico,0-0,Santa Cruz,1F
1972-09-10,Atlético Mineiro,0-1,Vasco,1F
1972-09-10,Grêmio,2-0,São Paulo,1F
1972-09-10,Corinthians,1-1,Fluminense,1F
1972-09-10,Bahia,1-0,Nacional-AM,1F
1972-09-10,Flamengo,1-1,America-RJ,1F
1972-09-13,ABC,0-3,São Paulo,1F
1972-09-13,Náutico,1-2,Cruzeiro,1F
1972-09-13,Coritiba,0-0,Botafogo,1F
1972-09-13,Grêmio,1-0,Atlético Mineiro,1F
1972-09-13,CRB,0-2,Fluminense,1F
1972-09-13,Ceará,3-1,Internacional,1F
1972-09-13,Sergipe,0-1,Santos,1F
1972-09-13,América Mineiro,0-0,Corinthians,1F
1972-09-13,Nacional-AM,0-0,Flamengo,1F
1972-09-13,Bahia,0-0,America-RJ,1F
1972-09-13,Remo,0-0,Vasco,1F
1972-09-13,Portuguesa,0-1,Santa Cruz,1F
1972-09-14,Vitória,0-3,Palmeiras,1F
1972-09-16,Náutico,0-1,Fluminense,1F
1972-09-17,Corinthians,1-1,Atlético Mineiro,1F
1972-09-17,Sergipe,1-1,Palmeiras,1F
1972-09-17,Vitória,1-0,Santos,1F
1972-09-17,América Mineiro,2-2,Portuguesa,1F
1972-09-17,CRB,1-4,Cruzeiro,1F
1972-09-17,Santa Cruz,1-1,America-RJ,1F
1972-09-17,Botafogo,1-2,Grêmio,1F
1972-09-17,Coritiba,1-0,Bahia,1F
1972-09-17,Ceará,1-1,São Paulo,1F
1972-09-17,ABC,1-2,Internacional,1F
1972-09-17,Remo,1-0,Flamengo,1F
1972-09-17,Nacional-AM,1-3,Vasco,1F
1972-09-20,Vasco,3-0,America-RJ,1F
1972-09-20,Ceará,0-0,Vitória,1F
1972-09-20,Internacional,1-0,Grêmio,1F
1972-09-20,Coritiba,0-0,Santos,1F
1972-09-20,Palmeiras,2-2,Botafogo,1F
1972-09-20,CRB,0-0,Náutico,1F
1972-09-20,Santa Cruz,0-0,Sergipe,1F
1972-09-20,ABC,3-3,Nacional-AM,1F
1972-09-20,Cruzeiro,0-1,Corinthians,1F
1972-09-20,Bahia,1-1,Remo,1F
1972-09-21,São Paulo,1-1,Portuguesa,1F
1972-09-21,América Mineiro,0-0,Fluminense,1F
1972-09-21,Flamengo,1-0,Atlético Mineiro,1F
1972-09-23,Vasco,1-2,Internacional,1F
1972-09-23,Palmeiras,3-0,Santa Cruz,1F
1972-09-24,São Paulo,0-0,Flamengo,1F
1972-09-24,Cruzeiro,1-0,Bahia,1F
1972-09-24,Nacional-AM,2-0,Corinthians,1F
1972-09-24,Vitória,0-0,América Mineiro,1F
1972-09-24,Coritiba,2-0,Sergipe,1F
1972-09-24,CRB,0-0,Portuguesa,1F
1972-09-24,Ceará,0-0,Grêmio,1F
1972-09-24,Fluminense,2-1,Santos,1F
1972-09-24,ABC,1-2,Atlético Mineiro,1F
1972-09-24,Náutico,1-1,America-RJ,1F
1972-09-24,Remo,1-1,Botafogo,1F
1972-09-27,Palmeiras,1-1,Internacional,1F
1972-09-27,Bahia,0-1,Flamengo,1F
1972-09-27,Remo,2-2,Corinthians,1F
1972-09-27,Ceará,1-3,Atlético Mineiro,1F
1972-09-27,Fluminense,1-2,Cruzeiro,1F
1972-09-27,Nacional-AM,1-2,Botafogo,1F
1972-09-27,Coritiba,3-0,Vitória,1F
1972-09-27,ABC,1-1,Grêmio,1F
1972-09-27,Náutico,2-1,Portuguesa,1F
1972-09-27,CRB,0-1,America-RJ,1F
1972-09-27,Sergipe,0-2,América Mineiro,1F
1972-09-28,Santos,1-0,São Paulo,1F
1972-09-28,Santa Cruz,2-0,Vasco,1F
1972-09-30,Bahia,0-0,Grêmio,1F
1972-09-30,Náutico,1-2,Palmeiras,1F
1972-10-01,Atlético Mineiro,2-0,Coritiba,1F
1972-10-01,Nacional-AM,2-2,Internacional,1F
1972-10-01,Botafogo,0-2,America-RJ,1F
1972-10-01,Corinthians,3-2,Portuguesa,1F
1972-10-01,Santa Cruz,4-1,América Mineiro,1F
1972-10-01,CRB,1-3,Santos,1F
1972-10-01,ABC,1-2,Vasco,1F
1972-10-01,Sergipe,0-1,Cruzeiro,1F
1972-10-01,Vitória,0-0,Fluminense,1F
1972-10-01,Ceará,1-3,Flamengo,1F
1972-10-01,Remo,0-1,São Paulo,1F
1972-10-04,Cruzeiro,4-0,Vitória,1F
1972-10-04,CRB,1-3,Palmeiras,1F
1972-10-04,America-RJ,2-0,Atlético Mineiro,1F
1972-10-04,Coritiba,2-0,América Mineiro,1F
1972-10-04,Grêmio,1-1,Portuguesa,1F
1972-10-04,Nacional-AM,1-1,São Paulo,1F
1972-10-04,Bahia,1-1,Botafogo,1F
1972-10-04,Sergipe,1-1,Fluminense,1F
1972-10-04,Náutico,1-1,Santos,1F
1972-10-04,Remo,0-0,Internacional,1F
1972-10-04,Ceará,0-0,Vasco,1F
1972-10-04,ABC,0-0,Flamengo,1F
1972-10-05,Santa Cruz,3-3,Corinthians,1F
1972-10-07,Remo,0-1,America-RJ,1F
1972-10-07,Náutico,0-1,Corinthians,1F
1972-10-08,Internacional,0-0,Santos,1F
1972-10-08,Palmeiras,2-2,Cruzeiro,1F
1972-10-08,Sergipe,0-2,Grêmio,1F
1972-10-08,ABC,0-0,Coritiba,1F
1972-10-08,Ceará,2-0,América Mineiro,1F
1972-10-08,Bahia,1-0,São Paulo,1F
1972-10-08,Nacional-AM,2-0,Portuguesa,1F
1972-10-08,Atlético Mineiro,5-0,Vitória,1F
1972-10-08,Vasco,1-2,Flamengo,1F
1972-10-08,Santa Cruz,1-2,Fluminense,1F
1972-10-08,CRB,3-2,Botafogo,1F
1972-10-11,Cruzeiro,2-0,Santos,1F
1972-10-11,São Paulo,0-1,Vasco,1F
1972-10-11,Náutico,1-2,Botafogo,1F
1972-10-11,CRB,0-0,Corinthians,1F
1972-10-11,Remo,2-0,Portuguesa,1F
1972-10-11,Flamengo,1-0,Santa Cruz,1F
1972-10-11,Sergipe,0-1,Atlético Mineiro,1F
1972-10-11,ABC,1-0,América Mineiro,1F
1972-10-11,Grêmio,0-0,Vitória,1F
1972-10-11,Nacional-AM,0-0,America-RJ,1F
1972-10-11,Ceará,0-0,Coritiba,1F
1972-10-12,Fluminense,0-1,Palmeiras,1F
1972-10-12,Bahia,0-0,Internacional,1F
1972-10-14,Cruzeiro,2-0,America-RJ,1F
