Data,Mandante,Placar_Bruto,Visitante,Fase
1976-08-29,Coritiba,0-2,São Paulo,B
1976-08-29,Londrina,0-3,Atlético Paranaense,B
1976-08-29,Confiança,2-1,Portuguesa,B
1976-08-29,Rio Negro-AM,0-3,Guarani,C
1976-08-29,Remo,2-0,Ceará,C
1976-08-29,Corinthians,2-1,Fortaleza,C
1976-08-29,América Mineiro,6-0,Goiânia,D
1976-08-29,Mixto,1-1,Goiás,D
1976-08-29,Fluminense de Feira,0-0,CSA,E
1976-08-29,Treze,0-2,CRB,E
1976-08-29,Botafogo-PB,1-0,Vitória,E
1976-08-29,América-RN,0-0,Santa Cruz,F
1976-08-29,Sampaio Corrêa,0-0,Flamengo-PI,F
1976-08-29,Sport,1-0,ABC,F
1976-09-01,Internacional,6-0,Figueirense,A
1976-09-01,Santos,2-1,Caxias,A
1976-09-01,Rio Branco-ES,1-4,Grêmio,A
1976-09-01,Londrina,0-0,São Paulo,B
1976-09-01,Uberaba,0-0,Atlético Paranaense,B
1976-09-01,Ponte Preta,1-1,Corinthians,C
1976-09-01,Remo,0-0,Guarani,C
1976-09-01,Rio Negro-AM,1-1,Ceará,C
1976-09-01,Vasco,1-0,América Mineiro,D
1976-09-01,Mixto,1-1,Operário-MS,D
1976-09-01,Goiânia,1-1,Atlético Mineiro,D
1976-09-01,Americano,1-2,Goiás,D
1976-09-01,Fluminense de Feira,0-2,Bahia,E
1976-09-01,Botafogo-PB,0-0,Botafogo,E
1976-09-01,Treze,0-2,Vitória,E
1976-09-01,Fluminense,1-1,CSA,E
1976-09-01,Flamengo,2-0,ABC,F
1976-09-01,Sampaio Corrêa,0-2,Santa Cruz,F
1976-09-01,Náutico,3-0,Flamengo-PI,F
1976-09-01,Volta Redonda,1-1,América-RN,F
1976-09-02,Paysandu,3-0,Nacional-AM,C
1976-09-04,Grêmio,1-0,Caxias,A
1976-09-04,Desportiva Ferroviária,0-1,Palmeiras,A
1976-09-04,Figueirense,1-4,Santos,A
1976-09-04,São Paulo,0-0,Portuguesa,B
1976-09-04,Cruzeiro,0-0,Botafogo-SP,B
1976-09-04,Ceará,0-0,Guarani,C
1976-09-04,Fortaleza,1-0,Remo,C
1976-09-04,Vasco,1-0,Goiás,D
1976-09-04,Vitória,3-1,CSA,E
1976-09-04,Treze,2-4,Botafogo,E
1976-09-04,Sport,1-0,Santa Cruz,F
1976-09-04,Flamengo-PI,2-3,Flamengo,F
1976-09-04,América-RN,1-0,Náutico,F
1976-09-04,Volta Redonda,0-0,ABC,F
1976-09-05,Confiança,1-0,Londrina,B
1976-09-05,Americano,3-2,Mixto,D
1976-09-05,Operário-MS,1-1,America-RJ,D
1976-09-05,Atlético Mineiro,1-0,América Mineiro,D
1976-09-07,Palmeiras,0-1,Santos,A
1976-09-07,Internacional,3-1,Grêmio,A
1976-09-07,Desportiva Ferroviária,2-1,Rio Branco-ES,A
1976-09-07,Uberaba,0-1,Botafogo-SP,B
1976-09-07,Cruzeiro,2-1,Portuguesa,B
1976-09-07,Nacional-AM,2-1,Rio Negro-AM,C
1976-09-07,Ceará,0-1,Fortaleza,C
1976-09-07,Remo,5-2,Paysandu,C
1976-09-07,Goiás,3-0,Goiânia,D
1976-09-07,Botafogo-PB,2-0,Treze,E
1976-09-07,CRB,2-1,CSA,E
1976-09-07,Bahia,0-0,Vitória,E
1976-09-07,Botafogo,2-0,Fluminense,E
1976-09-07,América-RN,3-1,ABC,F
1976-09-07,Santa Cruz,2-1,Flamengo,F
1976-09-07,Sampaio Corrêa,2-3,Náutico,F
1976-09-08,Figueirense,1-0,Avaí,A
1976-09-08,Coritiba,2-1,Atlético Paranaense,B
1976-09-08,Confiança,1-1,São Paulo,B
1976-09-08,America-RJ,1-0,Mixto,D
