id_partida,ano_campeonato,Data,Mandante,Visitante,estado_mandante,estado_visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase,tipo_fase,is_mata_mata,is_classico_estadual,total_gols,saldo_gols_mandante,saldo_gols_visitante,pontos_mandante,pontos_visitante
25,1971,1971-08-15,Cruzeiro,Internacional,MG,RS,2.0,0.0,V,D,NORMAL,1R,Pontos Corridos,False,False,2,2,-2,2,0
26,1971,1971-08-15,Bahia,Sport,BA,PE,3.0,0.0,V,D,NORMAL,1R,Pontos Corridos,False,False,3,3,-3,2,0
27,1971,1971-08-18,Fluminense,Coritiba,RJ,PR,2.0,1.0,V,D,NORMAL,1R,Pontos Corridos,False,False,3,1,-1,2,0
28,1971,1971-08-18,Bahia,São Paulo,BA,SP,0.0,1.0,D,V,NORMAL,1R,Pontos Corridos,False,False,1,-1,1,0,2
29,1971,1971-08-18,Santos,Botafogo,SP,RJ,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,False,0,0,0,1,1
30,1971,1971-08-18,América Mineiro,Grêmio,MG,RS,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,False,0,0,0,1,1
31,1971,1971-08-21,Internacional,Palmeiras,RS,SP,2.0,1.0,V,D,NORMAL,1R,Pontos Corridos,False,False,3,1,-1,2,0
32,1971,1971-08-21,Corinthians,Cruzeiro,SP,MG,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,False,0,0,0,1,1
33,1971,1971-08-21,Coritiba,Santa Cruz,PR,PE,1.0,0.0,V,D,NORMAL,1R,Pontos Corridos,False,False,1,1,-1,2,0
34,1971,1971-08-21,Ceará,Fluminense,CE,RJ,1.0,0.0,V,D,NORMAL,1R,Pontos Corridos,False,False,1,1,-1,2,0
35,1971,1971-08-21,Flamengo,Atlético Mineiro,RJ,MG,0.0,1.0,D,V,NORMAL,1R,Pontos Corridos,False,False,1,-1,1,0,2
36,1971,1971-08-22,Vasco,Portuguesa,RJ,SP,0.0,3.0,D,V,NORMAL,1R,Pontos Corridos,False,False,3,-3,3,0,2
37,1971,1971-08-22,Sport,São Paulo,PE,SP,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,False,0,0,0,1,1
38,1971,1971-08-22,Santos,America-RJ,SP,RJ,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,False,0,0,0,1,1
39,1971,1971-08-22,Grêmio,Botafogo,RS,RJ,1.0,1.0,E,E,NORMAL,1R,Pontos Corridos,False,False,2,0,0,1,1
40,1971,1971-08-25,Botafogo,América Mineiro,RJ,MG,2.0,1.0,V,D,NORMAL,1R,Pontos Corridos,False,False,3,1,-1,2,0
41,1971,1971-08-25,Atlético Mineiro,Bahia,MG,BA,4.0,0.0,V,D,NORMAL,1R,Pontos Corridos,False,False,4,4,-4,2,0
42,1971,1971-08-25,Grêmio,Sport,RS,PE,2.0,0.0,V,D,NORMAL,1R,Pontos Corridos,False,False,2,2,-2,2,0
43,1971,1971-08-25,Santa Cruz,Fluminense,PE,RJ,2.0,2.0,E,E,NORMAL,1R,Pontos Corridos,False,False,4,0,0,1,1
44,1971,1971-08-25,Coritiba,Internacional,PR,RS,0.0,1.0,D,V,NORMAL,1R,Pontos Corridos,False,False,1,-1,1,0,2
45,1971,1971-08-25,Palmeiras,Cruzeiro,SP,MG,1.0,1.0,E,E,NORMAL,1R,Pontos Corridos,False,False,2,0,0,1,1
