ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
2011,2011-05-21,Flamengo,Avaí,4,0,V,D,NORMAL,R1
2011,2011-05-21,Ceará,Vasco,1,3,D,V,NORMAL,R1
2011,2011-05-21,Atlético Mineiro,Athletico Paranaense,3,0,V,D,NORMAL,R1
2011,2011-05-21,Santos,Internacional,1,1,E,E,NORMAL,R1
2011,2011-05-22,Palmeiras,Botafogo,1,0,V,D,NORMAL,R1
2011,2011-05-22,Grêmio,Corinthians,1,2,D,V,NORMAL,R1
2011,2011-05-22,Coritiba,Atlético Goianiense,0,1,D,V,NORMAL,R1
2011,2011-05-22,Figueirense,Cruzeiro,1,0,V,D,NORMAL,R1
2011,2011-05-22,Fluminense,São Paulo,0,2,D,V,NORMAL,R1
2011,2011-05-22,América Mineiro,Bahia,2,1,V,D,NORMAL,R1
2011,2011-05-28,Botafogo,Santos,1,0,V,D,NORMAL,R2
2011,2011-05-28,Internacional,Ceará,0,1,D,V,NORMAL,R2
2011,2011-05-28,Avaí,Atlético Mineiro,1,3,D,V,NORMAL,R2
2011,2011-05-28,São Paulo,Figueirense,1,0,V,D,NORMAL,R2
2011,2011-05-29,Corinthians,Coritiba,2,1,V,D,NORMAL,R2
2011,2011-05-29,Bahia,Flamengo,3,3,E,E,NORMAL,R2
2011,2011-05-29,Athletico Paranaense,Grêmio,0,1,D,V,NORMAL,R2
2011,2011-05-29,Cruzeiro,Palmeiras,1,1,E,E,NORMAL,R2
2011,2011-05-29,Vasco,América Mineiro,3,0,V,D,NORMAL,R2
2011,2011-05-29,Atlético Goianiense,Fluminense,0,1,D,V,NORMAL,R2
2011,2011-06-04,Palmeiras,Athletico Paranaense,1,0,V,D,NORMAL,R3
2011,2011-06-04,Fluminense,Cruzeiro,2,1,V,D,NORMAL,R3
2011,2011-06-04,Ceará,Botafogo,2,2,E,E,NORMAL,R3
2011,2011-06-04,Figueirense,Atlético Goianiense,2,0,V,D,NORMAL,R3
2011,2011-06-05,Flamengo,Corinthians,1,1,E,E,NORMAL,R3
2011,2011-06-05,Grêmio,Bahia,2,0,V,D,NORMAL,R3
2011,2011-06-05,Coritiba,Vasco,5,1,V,D,NORMAL,R3
2011,2011-06-05,Santos,Avaí,3,1,V,D,NORMAL,R3
2011,2011-06-05,América Mineiro,Internacional,2,4,D,V,NORMAL,R3
2011,2011-06-08,Atlético Mineiro,São Paulo,0,1,D,V,NORMAL,R3
2011,2011-06-11,Avaí,América Mineiro,2,2,E,E,NORMAL,R4
2011,2011-06-11,Cruzeiro,Santos,1,1,E,E,NORMAL,R4
2011,2011-06-11,São Paulo,Grêmio,3,1,V,D,NORMAL,R4
2011,2011-06-11,Vasco,Figueirense,1,1,E,E,NORMAL,R4
2011,2011-06-12,Bahia,Atlético Mineiro,1,1,E,E,NORMAL,R4
2011,2011-06-12,Atlético Goianiense,Ceará,4,1,V,D,NORMAL,R4
2011,2011-06-12,Internacional,Palmeiras,2,2,E,E,NORMAL,R4
2011,2011-06-12,Corinthians,Fluminense,2,0,V,D,NORMAL,R4
2011,2011-06-12,Athletico Paranaense,Flamengo,1,1,E,E,NORMAL,R4
2011,2011-06-12,Botafogo,Coritiba,3,1,V,D,NORMAL,R4
2011,2011-06-18,Fluminense,Bahia,0,1,D,V,NORMAL,R5
2011,2011-06-18,América Mineiro,Cruzeiro,1,1,E,E,NORMAL,R5
2011,2011-06-19,Palmeiras,Avaí,5,0,V,D,NORMAL,R5
2011,2011-06-19,Flamengo,Botafogo,0,0,E,E,NORMAL,R5
2011,2011-06-19,Grêmio,Vasco,1,1,E,E,NORMAL,R5
2011,2011-06-19,Figueirense,Athletico Paranaense,2,0,V,D,NORMAL,R5
2011,2011-06-19,Ceará,São Paulo,0,2,D,V,NORMAL,R5
2011,2011-06-19,Atlético Mineiro,Atlético Goianiense,2,2,E,E,NORMAL,R5
