ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
1978,1978-03-25,Santos,Goiás,3,0,V,D,NORMAL,C
1978,1978-03-26,Juventude,Figueirense,0,0,E,E,NORMAL,A
1978,1978-03-26,Coritiba,Londrina,1,0,V,D,NORMAL,A
1978,1978-03-26,Brasil de Pelotas,Joinville,0,1,D,V,NORMAL,A
1978,1978-03-26,Grêmio Maringá,Internacional,0,1,D,V,NORMAL,A
1978,1978-03-26,Grêmio,Caxias,2,2,E,E,NORMAL,A
1978,1978-03-26,Náutico,Santa Cruz,0,1,D,V,NORMAL,B
1978,1978-03-26,América-RN,Botafogo-PB,2,0,V,D,NORMAL,B
1978,1978-03-26,Uberlândia,Villa Nova-MG,1,3,D,V,NORMAL,B
1978,1978-03-26,Uberaba,América Mineiro,2,0,V,D,NORMAL,B
1978,1978-03-26,Cruzeiro,Sport,1,2,D,V,NORMAL,B
1978,1978-03-26,Rio Branco-ES,Mixto,0,0,E,E,NORMAL,C
1978,1978-03-26,Anapolina,Corinthians,0,0,E,E,NORMAL,C
1978,1978-03-26,Operário-MS,Brasília,0,2,D,V,NORMAL,C
1978,1978-03-26,Vila Nova,Dom Bosco,1,1,E,E,NORMAL,C
1978,1978-03-26,Itabuna,Botafogo,0,2,D,V,NORMAL,D
1978,1978-03-26,Confiança,Vitória,1,2,D,V,NORMAL,D
1978,1978-03-26,CRB,Sergipe,0,0,E,E,NORMAL,D
1978,1978-03-26,Bahia,Ponte Preta,0,0,E,E,NORMAL,D
1978,1978-03-26,Guarani,Vasco,1,3,D,V,NORMAL,D
1978,1978-03-26,América-SP,Flamengo-PI,3,0,V,D,NORMAL,E
1978,1978-03-26,River-PI,Sampaio Corrêa,0,0,E,E,NORMAL,E
1978,1978-03-26,Ceará,Moto Club,1,0,V,D,NORMAL,E
1978,1978-03-26,Botafogo-SP,Palmeiras,0,0,E,E,NORMAL,E
1978,1978-03-26,Noroeste,Comercial,0,1,D,V,NORMAL,E
