ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
1981,1981-01-17,Vitória,Londrina,3,1,V,D,NORMAL,A
1981,1981-01-17,Vasco,Vila Nova,3,1,V,D,NORMAL,A
1981,1981-01-17,Santa Cruz,Paysandu,3,0,V,D,NORMAL,D
1981,1981-01-18,Bangu,Colorado,0,0,E,E,NORMAL,A
1981,1981-01-18,Internacional,Ponte Preta,4,2,V,D,NORMAL,A
1981,1981-01-18,Joinville,Inter de Limeira,1,2,D,V,NORMAL,A
1981,1981-01-18,Brasília,Portuguesa,2,2,E,E,NORMAL,B
1981,1981-01-18,Desportiva Ferroviária,Botafogo,0,4,D,V,NORMAL,B
1981,1981-01-18,Operário-MS,Pinheiros-PR,1,1,E,E,NORMAL,B
1981,1981-01-18,Galícia,Corinthians,0,2,D,V,NORMAL,B
1981,1981-01-18,Goiás,Grêmio,0,0,E,E,NORMAL,B
1981,1981-01-18,Ferroviário,Campinense,2,1,V,D,NORMAL,C
1981,1981-01-18,Sport,São Paulo,0,0,E,E,NORMAL,C
1981,1981-01-18,Atlético Mineiro,CSA,3,0,V,D,NORMAL,C
1981,1981-01-18,Mixto,Fluminense,1,1,E,E,NORMAL,C
1981,1981-01-18,América-RN,River-PI,2,0,V,D,NORMAL,C
1981,1981-01-18,CRB,Fortaleza,1,1,E,E,NORMAL,D
1981,1981-01-18,Sampaio Corrêa,Itabaiana,1,0,V,D,NORMAL,D
1981,1981-01-18,Nacional-AM,Cruzeiro,1,0,V,D,NORMAL,D
1981,1981-01-18,Flamengo,Santos,0,0,E,E,NORMAL,D
1981,1981-01-21,Ponte Preta,Vitória,3,0,V,D,NORMAL,A
1981,1981-01-21,Londrina,Bangu,2,1,V,D,NORMAL,A
1981,1981-01-21,Joinville,Vasco,0,2,D,V,NORMAL,A
1981,1981-01-21,Inter de Limeira,Colorado,1,1,E,E,NORMAL,A
1981,1981-01-21,Portuguesa,Goiás,2,0,V,D,NORMAL,B
1981,1981-01-21,Desportiva Ferroviária,Pinheiros-PR,0,1,D,V,NORMAL,B
1981,1981-01-21,Grêmio,Galícia,2,1,V,D,NORMAL,B
1981,1981-01-21,Brasília,Corinthians,0,1,D,V,NORMAL,B
1981,1981-01-21,Botafogo,Operário-MS,1,0,V,D,NORMAL,B
1981,1981-01-21,Atlético Mineiro,Campinense,0,0,E,E,NORMAL,C
1981,1981-01-21,América-RN,São Paulo,1,1,E,E,NORMAL,C
1981,1981-01-21,CSA,Fluminense,0,2,D,V,NORMAL,C
1981,1981-01-21,River-PI,Mixto,0,0,E,E,NORMAL,C
1981,1981-01-21,Nacional-AM,Flamengo,0,1,D,V,NORMAL,D
1981,1981-01-21,Paysandu,Cruzeiro,1,3,D,V,NORMAL,D
1981,1981-01-21,Fortaleza,Itabaiana,1,0,V,D,NORMAL,D
1981,1981-01-21,Santos,CRB,5,2,V,D,NORMAL,D
1981,1981-01-22,Vila Nova,Internacional,0,2,D,V,NORMAL,A
1981,1981-01-22,Sport,Ferroviário,2,0,V,D,NORMAL,C
1981,1981-01-22,Sampaio Corrêa,Santa Cruz,1,1,E,E,NORMAL,D
1981,1981-01-24,Fluminense,América-RN,4,2,V,D,NORMAL,C
1981,1981-01-24,São Paulo,Mixto,4,0,V,D,NORMAL,C
1981,1981-01-24,Fortaleza,Nacional-AM,1,1,E,E,NORMAL,D
1981,1981-01-25,Colorado,Vitória,2,1,V,D,NORMAL,A
1981,1981-01-25,Vasco,Internacional,4,0,V,D,NORMAL,A
1981,1981-01-25,Londrina,Inter de Limeira,0,1,D,V,NORMAL,A
1981,1981-01-25,Bangu,Ponte Preta,5,1,V,D,NORMAL,A
1981,1981-01-25,Vila Nova,Joinville,0,0,E,E,NORMAL,A
1981,1981-01-25,Corinthians,Botafogo,1,3,D,V,NORMAL,B
1981,1981-01-25,Grêmio,Desportiva Ferroviária,2,0,V,D,NORMAL,B
1981,1981-01-25,Operário-MS,Portuguesa,2,1,V,D,NORMAL,B
1981,1981-01-25,Pinheiros-PR,Goiás,0,0,E,E,NORMAL,B
1981,1981-01-25,Galícia,Brasília,1,0,V,D,NORMAL,B
1981,1981-01-25,Campinense,Sport,4,1,V,D,NORMAL,C
1981,1981-01-25,CSA,River-PI,2,1,V,D,NORMAL,C
1981,1981-01-25,Ferroviário,Atlético Mineiro,1,1,E,E,NORMAL,C
1981,1981-01-25,Itabaiana,CRB,3,1,V,D,NORMAL,D
1981,1981-01-25,Paysandu,Flamengo,3,0,V,D,NORMAL,D
1981,1981-01-25,Santa Cruz,Santos,1,1,E,E,NORMAL,D
1981,1981-01-25,Cruzeiro,Sampaio Corrêa,1,1,E,E,NORMAL,D
1981,1981-01-28,Ponte Preta,Inter de Limeira,3,0,V,D,NORMAL,A
1981,1981-01-28,Bangu,Vasco,3,2,V,D,NORMAL,A
1981,1981-01-28,Internacional,Londrina,1,0,V,D,NORMAL,A
1981,1981-01-28,Corinthians,Desportiva Ferroviária,2,2,E,E,NORMAL,B
1981,1981-01-28,Pinheiros-PR,Grêmio,1,1,E,E,NORMAL,B
1981,1981-01-28,Brasília,Botafogo,0,2,D,V,NORMAL,B
1981,1981-01-28,Goiás,Operário-MS,2,0,V,D,NORMAL,B
1981,1981-01-28,Portuguesa,Galícia,2,1,V,D,NORMAL,B
1981,1981-01-28,Atlético Mineiro,Sport,1,1,E,E,NORMAL,C
1981,1981-01-28,Ferroviário,Fluminense,4,1,V,D,NORMAL,C
1981,1981-01-28,River-PI,São Paulo,0,2,D,V,NORMAL,C
1981,1981-01-28,Mixto,América-RN,4,2,V,D,NORMAL,C
1981,1981-01-28,CRB,Santa Cruz,3,1,V,D,NORMAL,D
1981,1981-01-28,Santos,Paysandu,4,0,V,D,NORMAL,D
1981,1981-01-28,Flamengo,Sampaio Corrêa,2,0,V,D,NORMAL,D
1981,1981-01-29,Colorado,Joinville,1,0,V,D,NORMAL,A
