ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
2002,2002-08-10,Vasco,Figueirense,2,0,V,D,NORMAL,R1
2002,2002-08-10,São Paulo,Paysandu,4,2,V,D,NORMAL,R1
2002,2002-08-10,Paraná,São Caetano,2,1,V,D,NORMAL,R1
2002,2002-08-10,Santos,Botafogo,2,1,V,D,NORMAL,R1
2002,2002-08-10,Goiás,Portuguesa,3,1,V,D,NORMAL,R1
2002,2002-08-11,Fluminense,Cruzeiro,5,1,V,D,NORMAL,R1
2002,2002-08-11,Palmeiras,Grêmio,1,1,E,E,NORMAL,R1
2002,2002-08-11,Atlético Mineiro,Corinthians,1,2,D,V,NORMAL,R1
2002,2002-08-11,Internacional,Flamengo,1,3,D,V,NORMAL,R1
2002,2002-08-11,Guarani,Athletico Paranaense,2,1,V,D,NORMAL,R1
2002,2002-08-11,Coritiba,Vitória,1,0,V,D,NORMAL,R1
2002,2002-08-11,Bahia,Gama,1,0,V,D,NORMAL,R1
2002,2002-08-11,Juventude,Ponte Preta,1,0,V,D,NORMAL,R1
2002,2002-08-14,São Caetano,Fluminense,2,0,V,D,NORMAL,R2
2002,2002-08-14,Botafogo,Atlético Mineiro,1,1,E,E,NORMAL,R2
2002,2002-08-14,Cruzeiro,Palmeiras,1,1,E,E,NORMAL,R2
2002,2002-08-14,Grêmio,Vasco,3,2,V,D,NORMAL,R2
2002,2002-08-14,Athletico Paranaense,Bahia,4,0,V,D,NORMAL,R2
2002,2002-08-14,Figueirense,Guarani,0,0,E,E,NORMAL,R2
2002,2002-08-14,Ponte Preta,Coritiba,2,0,V,D,NORMAL,R2
2002,2002-08-14,Vitória,Goiás,4,1,V,D,NORMAL,R2
2002,2002-08-14,Corinthians,Internacional,3,2,V,D,NORMAL,R2
2002,2002-08-14,Flamengo,Juventude,0,0,E,E,NORMAL,R2
2002,2002-08-14,Portuguesa,Paraná,1,0,V,D,NORMAL,R2
2002,2002-08-14,Gama,São Paulo,0,1,D,V,NORMAL,R2
2002,2002-08-17,Fluminense,Grêmio,3,1,V,D,NORMAL,R3
2002,2002-08-17,Internacional,Ponte Preta,1,0,V,D,NORMAL,R3
2002,2002-08-17,Athletico Paranaense,Vasco,2,1,V,D,NORMAL,R3
2002,2002-08-18,Juventude,Santos,2,1,V,D,NORMAL,R3
2002,2002-08-18,Guarani,Atlético Mineiro,1,4,D,V,NORMAL,R3
2002,2002-08-18,Flamengo,Goiás,1,1,E,E,NORMAL,R3
2002,2002-08-18,Paraná,São Paulo,2,3,D,V,NORMAL,R3
2002,2002-08-18,Cruzeiro,Botafogo,0,0,E,E,NORMAL,R3
2002,2002-08-18,Portuguesa,Figueirense,0,0,E,E,NORMAL,R3
2002,2002-08-18,Bahia,Coritiba,1,2,D,V,NORMAL,R3
2002,2002-08-18,Gama,Vitória,2,1,V,D,NORMAL,R3
2002,2002-08-18,São Caetano,Corinthians,3,0,V,D,NORMAL,R3
2002,2002-08-21,Botafogo,Internacional,2,2,E,E,NORMAL,R4
2002,2002-08-21,São Paulo,Juventude,0,1,D,V,NORMAL,R4
2002,2002-08-21,Atlético Mineiro,Fluminense,1,1,E,E,NORMAL,R4
2002,2002-08-21,Paysandu,Portuguesa,1,2,D,V,NORMAL,R4
2002,2002-08-21,Coritiba,Flamengo,2,1,V,D,NORMAL,R4
2002,2002-08-21,Vitória,Athletico Paranaense,1,1,E,E,NORMAL,R4
2002,2002-08-21,Goiás,Bahia,1,1,E,E,NORMAL,R4
2002,2002-08-21,Santos,Figueirense,3,0,V,D,NORMAL,R4
2002,2002-08-22,Vasco,Gama,0,1,D,V,NORMAL,R4
2002,2002-08-22,Palmeiras,São Caetano,3,2,V,D,NORMAL,R4
2002,2002-08-22,Grêmio,Guarani,0,2,D,V,NORMAL,R4
2002,2002-08-22,Ponte Preta,Cruzeiro,2,0,V,D,NORMAL,R4
2002,2002-08-24,Flamengo,Paysandu,1,2,D,V,NORMAL,R5
2002,2002-08-24,Internacional,São Paulo,2,2,E,E,NORMAL,R5
2002,2002-08-24,Figueirense,Botafogo,0,3,D,V,NORMAL,R5
2002,2002-08-25,Palmeiras,Atlético Mineiro,0,4,D,V,NORMAL,R5
2002,2002-08-25,Fluminense,Santos,1,1,E,E,NORMAL,R5
2002,2002-08-25,Coritiba,Corinthians,1,2,D,V,NORMAL,R5
2002,2002-08-25,Portuguesa,Gama,1,0,V,D,NORMAL,R5
2002,2002-08-25,Cruzeiro,Bahia,2,1,V,D,NORMAL,R5
2002,2002-08-25,Vitória,Juventude,2,1,V,D,NORMAL,R5
2002,2002-08-25,Ponte Preta,Grêmio,1,1,E,E,NORMAL,R5
2002,2002-08-25,Goiás,Vasco,2,4,D,V,NORMAL,R5
2002,2002-08-28,Guarani,Internacional,1,1,E,E,NORMAL,R6
2002,2002-08-28,Juventude,Fluminense,2,0,V,D,NORMAL,R6
2002,2002-08-28,Santos,Paraná,2,1,V,D,NORMAL,R6
2002,2002-08-28,Gama,Flamengo,2,1,V,D,NORMAL,R6
2002,2002-08-28,Athletico Paranaense,Palmeiras,1,0,V,D,NORMAL,R6
2002,2002-08-28,Corinthians,Cruzeiro,1,1,E,E,NORMAL,R6
2002,2002-08-28,Bahia,Figueirense,1,2,D,V,NORMAL,R6
2002,2002-08-29,São Paulo,Goiás,2,0,V,D,NORMAL,R6
2002,2002-08-29,Grêmio,Portuguesa,0,0,E,E,NORMAL,R6
2002,2002-08-29,Atlético Mineiro,Vitória,2,1,V,D,NORMAL,R6
2002,2002-08-31,Coritiba,Fluminense,2,0,V,D,NORMAL,R7
2002,2002-08-31,Botafogo,Gama,1,0,V,D,NORMAL,R7
