ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
2001,2001-08-01,Guarani,Palmeiras,1,3,D,V,NORMAL,R1
2001,2001-08-01,Botafogo,América Mineiro,1,1,E,E,NORMAL,R1
2001,2001-08-01,Portuguesa,Goiás,0,1,D,V,NORMAL,R1
2001,2001-08-01,Flamengo,Ponte Preta,0,0,E,E,NORMAL,R1
2001,2001-08-01,Corinthians,Vitória,2,0,V,D,NORMAL,R1
2001,2001-08-01,Paraná,Cruzeiro,1,0,V,D,NORMAL,R1
2001,2001-08-01,Internacional,Juventude,0,2,D,V,NORMAL,R1
2001,2001-08-01,Sport,Fluminense,1,1,E,E,NORMAL,R1
2001,2001-08-01,Bahia,São Caetano,5,0,V,D,NORMAL,R1
2001,2001-08-01,Botafogo-SP,São Paulo,2,2,E,E,NORMAL,R1
2001,2001-08-01,Gama,Vasco,0,0,E,E,NORMAL,R1
2001,2001-08-01,Atlético Mineiro,Coritiba,1,1,E,E,NORMAL,R1
2001,2001-08-02,Santos,Santa Cruz,1,1,E,E,NORMAL,R1
2001,2001-08-02,Athletico Paranaense,Grêmio,2,0,V,D,NORMAL,R1
2001,2001-08-04,Palmeiras,Bahia,2,1,V,D,NORMAL,R2
2001,2001-08-04,Fluminense,Botafogo-SP,2,0,V,D,NORMAL,R2
2001,2001-08-04,América Mineiro,Portuguesa,0,0,E,E,NORMAL,R2
2001,2001-08-04,Juventude,Atlético Mineiro,1,4,D,V,NORMAL,R2
2001,2001-08-05,Ponte Preta,Corinthians,2,2,E,E,NORMAL,R2
2001,2001-08-05,Vasco,Guarani,7,1,V,D,NORMAL,R2
2001,2001-08-05,São Paulo,Gama,0,0,E,E,NORMAL,R2
2001,2001-08-05,Cruzeiro,Athletico Paranaense,1,2,D,V,NORMAL,R2
2001,2001-08-05,Coritiba,Internacional,3,2,V,D,NORMAL,R2
2001,2001-08-05,Grêmio,Paraná,2,1,V,D,NORMAL,R2
2001,2001-08-05,Santa Cruz,Botafogo,0,4,D,V,NORMAL,R2
2001,2001-08-05,Vitória,Santos,1,1,E,E,NORMAL,R2
2001,2001-08-05,São Caetano,Sport,2,0,V,D,NORMAL,R2
2001,2001-08-05,Goiás,Flamengo,2,0,V,D,NORMAL,R2
2001,2001-08-08,Juventude,Palmeiras,0,0,E,E,NORMAL,R3
