ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
1993,1993-09-04,Guarani,Palmeiras,1,1,E,E,NORMAL,B
1993,1993-09-04,Grêmio,Fluminense,3,2,V,D,NORMAL,B
1993,1993-09-04,Náutico,Santa Cruz,2,1,V,D,NORMAL,C
1993,1993-09-04,Goiás,Vitória,0,3,D,V,NORMAL,C
1993,1993-09-04,Portuguesa,Criciúma,5,2,V,D,NORMAL,D
1993,1993-09-04,Paraná,América Mineiro,1,3,D,V,NORMAL,D
1993,1993-09-04,Athletico Paranaense,União São João,0,3,D,V,NORMAL,D
1993,1993-09-04,Desportiva Ferroviária,Coritiba,0,1,D,V,NORMAL,D
1993,1993-09-05,Vasco,Atlético Mineiro,1,0,V,D,NORMAL,B
1993,1993-09-06,São Paulo,Internacional,3,2,V,D,NORMAL,A
1993,1993-09-06,Red Bull Bragantino,Botafogo,0,0,E,E,NORMAL,A
1993,1993-09-07,Cruzeiro,Corinthians,0,2,D,V,NORMAL,A
1993,1993-09-07,Bahia,Flamengo,1,1,E,E,NORMAL,A
1993,1993-09-07,Sport,Santos,0,2,D,V,NORMAL,B
1993,1993-09-07,Ceará,Fortaleza,3,1,V,D,NORMAL,C
1993,1993-09-07,Remo,Paysandu,2,1,V,D,NORMAL,C
1993,1993-09-11,Internacional,Botafogo,1,0,V,D,NORMAL,A
1993,1993-09-11,Atlético Mineiro,Santos,1,1,E,E,NORMAL,B
1993,1993-09-11,Vitória,Fortaleza,0,0,E,E,NORMAL,C
1993,1993-09-11,Santa Cruz,Paysandu,0,1,D,V,NORMAL,C
1993,1993-09-11,União São João,Portuguesa,2,1,V,D,NORMAL,D
1993,1993-09-12,São Paulo,Corinthians,1,1,E,E,NORMAL,A
1993,1993-09-12,Flamengo,Red Bull Bragantino,1,1,E,E,NORMAL,A
1993,1993-09-12,Bahia,Cruzeiro,1,3,D,V,NORMAL,A
1993,1993-09-12,Palmeiras,Sport,3,0,V,D,NORMAL,B
1993,1993-09-12,Ceará,Goiás,3,1,V,D,NORMAL,C
1993,1993-09-12,Remo,Náutico,2,1,V,D,NORMAL,C
1993,1993-09-12,Paraná,Desportiva Ferroviária,6,1,V,D,NORMAL,D
1993,1993-09-12,América Mineiro,Athletico Paranaense,0,0,E,E,NORMAL,D
1993,1993-09-12,Criciúma,Coritiba,1,0,V,D,NORMAL,D
1993,1993-09-13,Guarani,Grêmio,2,2,E,E,NORMAL,B
1993,1993-09-15,Goiás,Remo,1,2,D,V,NORMAL,C
1993,1993-09-15,Paysandu,Náutico,1,1,E,E,NORMAL,C
1993,1993-09-15,Fortaleza,Santa Cruz,1,2,D,V,NORMAL,C
1993,1993-09-15,Ceará,Vitória,0,3,D,V,NORMAL,C
1993,1993-09-15,Portuguesa,América Mineiro,1,2,D,V,NORMAL,D
1993,1993-09-15,Coritiba,União São João,1,1,E,E,NORMAL,D
1993,1993-09-15,Criciúma,Desportiva Ferroviária,2,1,V,D,NORMAL,D
1993,1993-09-15,Bahia,Botafogo,1,0,V,D,NORMAL,A
1993,1993-09-16,Athletico Paranaense,Paraná,0,0,E,E,NORMAL,D
1993,1993-09-18,São Paulo,Bahia,2,0,V,D,NORMAL,A
1993,1993-09-18,Cruzeiro,Flamengo,1,2,D,V,NORMAL,A
1993,1993-09-18,Santos,Fluminense,0,2,D,V,NORMAL,B
1993,1993-09-18,Grêmio,Palmeiras,1,1,E,E,NORMAL,B
1993,1993-09-18,Atlético Mineiro,Sport,0,1,D,V,NORMAL,B
1993,1993-09-18,Vitória,Remo,2,1,V,D,NORMAL,C
1993,1993-09-18,Fortaleza,Náutico,1,1,E,E,NORMAL,C
1993,1993-09-18,Ceará,Santa Cruz,0,1,D,V,NORMAL,C
1993,1993-09-18,Paysandu,Goiás,1,1,E,E,NORMAL,C
1993,1993-09-18,União São João,Criciúma,5,1,V,D,NORMAL,D
1993,1993-09-18,América Mineiro,Coritiba,0,0,E,E,NORMAL,D
1993,1993-09-18,Paraná,Portuguesa,1,0,V,D,NORMAL,D
1993,1993-09-18,Desportiva Ferroviária,Athletico Paranaense,1,1,E,E,NORMAL,D
1993,1993-09-20,Botafogo,Corinthians,0,1,D,V,NORMAL,A
1993,1993-09-20,Internacional,Red Bull Bragantino,1,1,E,E,NORMAL,A
1993,1993-09-20,Vasco,Guarani,0,0,E,E,NORMAL,B
1993,1993-09-22,Flamengo,São Paulo,2,0,V,D,NORMAL,A
1993,1993-09-22,Guarani,Santos,2,1,V,D,NORMAL,B
1993,1993-09-22,Fluminense,Atlético Mineiro,2,0,V,D,NORMAL,B
1993,1993-09-22,Sport,Grêmio,1,0,V,D,NORMAL,B
1993,1993-09-22,Santa Cruz,Remo,5,1,V,D,NORMAL,C
1993,1993-09-22,Ceará,Náutico,1,0,V,D,NORMAL,C
1993,1993-09-22,Paysandu,Vitória,2,0,V,D,NORMAL,C
1993,1993-09-22,Fortaleza,Goiás,1,1,E,E,NORMAL,C
1993,1993-09-22,Desportiva Ferroviária,União São João,1,0,V,D,NORMAL,D
1993,1993-09-22,Portuguesa,Athletico Paranaense,2,0,V,D,NORMAL,D
