ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
1977,1977-10-15,River-PI,América-RN,5,1,V,D,NORMAL,C
1977,1977-10-16,Operário-MS,Internacional,0,0,E,E,NORMAL,A
1977,1977-10-16,Grêmio,Coritiba,4,0,V,D,NORMAL,A
1977,1977-10-16,Botafogo-PB,Sport,1,0,V,D,NORMAL,B
1977,1977-10-16,XV de Piracicaba,CSA,0,0,E,E,NORMAL,B
1977,1977-10-16,Náutico,São Paulo,0,1,D,V,NORMAL,B
1977,1977-10-16,Sampaio Corrêa,Corinthians,0,0,E,E,NORMAL,C
1977,1977-10-16,ABC,Ceará,1,0,V,D,NORMAL,C
1977,1977-10-16,Guarani,Portuguesa,0,1,D,V,NORMAL,C
1977,1977-10-16,Flamengo-PI,Ponte Preta,1,2,D,V,NORMAL,C
1977,1977-10-16,Vila Nova,Botafogo,0,0,E,E,NORMAL,D
1977,1977-10-16,Londrina,Goiânia,3,2,V,D,NORMAL,D
1977,1977-10-16,Athletico Paranaense,Brasília,1,2,D,V,NORMAL,D
1977,1977-10-16,Americano,Vasco,1,1,E,E,NORMAL,D
1977,1977-10-16,Volta Redonda,Vitória-ES,3,0,V,D,NORMAL,E
1977,1977-10-16,Desportiva Ferroviária,Fluminense,0,5,D,V,NORMAL,E
1977,1977-10-16,Flamengo,Vitória,5,0,V,D,NORMAL,E
1977,1977-10-16,Confiança,Bahia,1,1,E,E,NORMAL,E
1977,1977-10-16,Fluminense de Feira,Sergipe,0,1,D,V,NORMAL,E
1977,1977-10-16,Santos,Cruzeiro,0,2,D,V,NORMAL,F
1977,1977-10-16,Atlético Mineiro,Remo,4,1,V,D,NORMAL,F
1977,1977-10-16,Uberaba,Paysandu,3,1,V,D,NORMAL,F
1977,1977-10-16,Nacional-AM,Fast Clube,2,0,V,D,NORMAL,F
1977,1977-10-16,Dom Bosco,Avaí,1,3,D,V,NORMAL,A
1977,1977-10-19,Dom Bosco,Internacional,0,2,D,V,NORMAL,A
1977,1977-10-19,Joinville,Grêmio,1,1,E,E,NORMAL,A
1977,1977-10-19,Caxias,Coritiba,0,0,E,E,NORMAL,A
1977,1977-10-19,Treze,Sport,2,2,E,E,NORMAL,B
1977,1977-10-19,Palmeiras,CSA,1,0,V,D,NORMAL,B
1977,1977-10-19,Botafogo-PB,São Paulo,0,2,D,V,NORMAL,B
1977,1977-10-19,Ceará,América-RN,1,1,E,E,NORMAL,C
1977,1977-10-19,River-PI,Corinthians,2,2,E,E,NORMAL,C
1977,1977-10-19,Sampaio Corrêa,Ponte Preta,0,0,E,E,NORMAL,C
1977,1977-10-19,Athletico Paranaense,Goiânia,0,1,D,V,NORMAL,D
1977,1977-10-19,Vitória-ES,Sergipe,3,1,V,D,NORMAL,E
1977,1977-10-19,Volta Redonda,Fluminense,0,1,D,V,NORMAL,E
1977,1977-10-19,Santos,Paysandu,4,0,V,D,NORMAL,F
1977,1977-10-19,América Mineiro,Remo,0,1,D,V,NORMAL,F
1977,1977-10-19,Grêmio Maringá,Avaí,2,0,V,D,NORMAL,A
1977,1977-10-20,CRB,XV de Piracicaba,0,1,D,V,NORMAL,B
1977,1977-10-20,ABC,Portuguesa,1,0,V,D,NORMAL,C
1977,1977-10-20,Brasília,Botafogo,0,1,D,V,NORMAL,D
1977,1977-10-20,Goytacaz,Goiás,1,1,E,E,NORMAL,D
1977,1977-10-20,Desportiva Ferroviária,Flamengo,0,2,D,V,NORMAL,E
1977,1977-10-20,America-RJ,Vitória,1,1,E,E,NORMAL,E
1977,1977-10-20,Fast Clube,Uberaba,2,0,V,D,NORMAL,F
1977,1977-10-23,Coritiba,Internacional,1,3,D,V,NORMAL,A
1977,1977-10-23,Operário-MS,Grêmio Maringá,0,1,D,V,NORMAL,A
1977,1977-10-23,Grêmio,Juventude,2,0,V,D,NORMAL,A
1977,1977-10-23,Treze,Palmeiras,1,1,E,E,NORMAL,B
1977,1977-10-23,CSA,São Paulo,0,0,E,E,NORMAL,B
1977,1977-10-23,Sport,XV de Piracicaba,1,1,E,E,NORMAL,B
1977,1977-10-23,Botafogo-PB,Santa Cruz,0,0,E,E,NORMAL,B
1977,1977-10-23,Corinthians,Guarani,1,0,V,D,NORMAL,C
1977,1977-10-23,Flamengo-PI,Ceará,0,1,D,V,NORMAL,C
1977,1977-10-23,Fortaleza,Portuguesa,0,0,E,E,NORMAL,C
1977,1977-10-23,América-RN,Ponte Preta,1,0,V,D,NORMAL,C
1977,1977-10-23,Vasco,Brasília,3,0,V,D,NORMAL,D
1977,1977-10-23,Botafogo,Goiás,3,1,V,D,NORMAL,D
1977,1977-10-23,Vila Nova,Athletico Paranaense,1,1,E,E,NORMAL,D
1977,1977-10-23,Fluminense,Sergipe,2,1,V,D,NORMAL,E
1977,1977-10-23,Volta Redonda,America-RJ,1,2,D,V,NORMAL,E
1977,1977-10-23,Bahia,Flamengo,0,0,E,E,NORMAL,E
1977,1977-10-23,Vitória-ES,Vitória,2,1,V,D,NORMAL,E
1977,1977-10-23,Confiança,Fluminense de Feira,1,0,V,D,NORMAL,E
1977,1977-10-23,Cruzeiro,Paysandu,4,0,V,D,NORMAL,F
1977,1977-10-23,Atlético Mineiro,Santos,3,0,V,D,NORMAL,F
1977,1977-10-23,Nacional-AM,Uberaba,1,0,V,D,NORMAL,F
1977,1977-10-23,Botafogo-SP,Remo,3,2,V,D,NORMAL,F
1977,1977-10-23,Avaí,Caxias,1,2,D,V,NORMAL,A
1977,1977-10-26,Treze,XV de Piracicaba,0,0,E,E,NORMAL,B
1977,1977-10-26,Sport,Palmeiras,0,2,D,V,NORMAL,B
1977,1977-10-26,América-RN,Flamengo-PI,5,1,V,D,NORMAL,C
1977,1977-10-26,Ceará,Ponte Preta,1,3,D,V,NORMAL,C
1977,1977-10-26,Sampaio Corrêa,Fortaleza,1,0,V,D,NORMAL,C
