ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
1979,1979-09-16,River-PI,Moto Club,2,1,V,D,NORMAL,E
1979,1979-09-22,Goiânia,Avaí,1,1,E,E,NORMAL,A
1979,1979-09-22,Tuna Luso,Treze,2,0,V,D,NORMAL,D
1979,1979-09-22,Villa Nova-MG,Paysandu,2,0,V,D,NORMAL,D
1979,1979-09-23,Confiança,Londrina,2,1,V,D,NORMAL,A
1979,1979-09-23,Anapolina,Sergipe,2,0,V,D,NORMAL,A
1979,1979-09-23,AA Colatina,Brasil de Pelotas,0,0,E,E,NORMAL,B
1979,1979-09-23,Caxias,Caldense,0,1,D,V,NORMAL,B
1979,1979-09-23,Grêmio Maringá,Desportiva Ferroviária,2,0,V,D,NORMAL,B
1979,1979-09-23,Operário-MT,Brasília,3,0,V,D,NORMAL,C
1979,1979-09-23,Itumbiara,CR Guará,3,1,V,D,NORMAL,C
1979,1979-09-23,Gama,Atlético Goianiense,4,3,V,D,NORMAL,C
1979,1979-09-23,Maranhão,Uberlândia,1,1,E,E,NORMAL,E
1979,1979-09-23,Tiradentes-PI,Sampaio Corrêa,1,1,E,E,NORMAL,E
1979,1979-09-23,Piauí,Moto Club,0,0,E,E,NORMAL,E
1979,1979-09-23,ASA,Itabaiana,1,0,V,D,NORMAL,F
1979,1979-09-23,Athletico Paranaense,Internacional,0,0,E,E,NORMAL,G
1979,1979-09-23,Grêmio,Coritiba,4,1,V,D,NORMAL,G
1979,1979-09-23,Operário-MS,Rio Branco-ES,4,0,V,D,NORMAL,G
1979,1979-09-23,Remo,Dom Bosco,1,2,D,V,NORMAL,H
1979,1979-09-23,Vila Nova,Cruzeiro,0,1,D,V,NORMAL,H
1979,1979-09-23,Atlético Mineiro,Goiás,0,0,E,E,NORMAL,H
1979,1979-09-25,Anapolina,Avaí,2,1,V,D,NORMAL,A
1979,1979-09-25,Joinville,Juventude,2,1,V,D,NORMAL,A
1979,1979-09-25,América Mineiro,Paysandu,2,0,V,D,NORMAL,D
1979,1979-09-25,Tuna Luso,Botafogo-PB,2,2,E,E,NORMAL,D
1979,1979-09-25,Villa Nova-MG,Treze,1,0,V,D,NORMAL,D
1979,1979-09-25,Potiguar,CSA,0,0,E,E,NORMAL,F
1979,1979-09-25,ABC,CRB,4,2,V,D,NORMAL,F
1979,1979-09-25,Fortaleza,Ferroviário,0,0,E,E,NORMAL,F
1979,1979-09-26,Goiânia,Sergipe,1,1,E,E,NORMAL,A
1979,1979-09-26,São Paulo-RS,Desportiva Ferroviária,1,2,D,V,NORMAL,B
