ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
2023,2023-04-15,Palmeiras,Cuiabá,2,1,V,D,NORMAL,R1
2023,2023-04-15,América Mineiro,Fluminense,0,3,D,V,NORMAL,R1
2023,2023-04-15,Botafogo,São Paulo,2,1,V,D,NORMAL,R1
2023,2023-04-15,Red Bull Bragantino,Bahia,2,1,V,D,NORMAL,R1
2023,2023-04-15,Athletico Paranaense,Goiás,2,0,V,D,NORMAL,R1
2023,2023-04-15,Fortaleza,Internacional,1,1,E,E,NORMAL,R1
2023,2023-04-15,Atlético Mineiro,Vasco,1,2,D,V,NORMAL,R1
2023,2023-04-16,Flamengo,Coritiba,3,0,V,D,NORMAL,R1
2023,2023-04-16,Corinthians,Cruzeiro,2,1,V,D,NORMAL,R1
2023,2023-04-16,Grêmio,Santos,1,0,V,D,NORMAL,R1
2023,2023-04-22,Fluminense,Athletico Paranaense,2,0,V,D,NORMAL,R2
2023,2023-04-22,São Paulo,América Mineiro,3,0,V,D,NORMAL,R2
2023,2023-04-22,Cuiabá,Red Bull Bragantino,1,1,E,E,NORMAL,R2
2023,2023-04-22,Cruzeiro,Grêmio,1,0,V,D,NORMAL,R2
2023,2023-04-23,Internacional,Flamengo,2,1,V,D,NORMAL,R2
2023,2023-04-23,Vasco,Palmeiras,2,2,E,E,NORMAL,R2
2023,2023-04-23,Santos,Atlético Mineiro,0,0,E,E,NORMAL,R2
2023,2023-04-23,Coritiba,Fortaleza,0,3,D,V,NORMAL,R2
2023,2023-04-23,Goiás,Corinthians,3,1,V,D,NORMAL,R2
2023,2023-04-24,Bahia,Botafogo,1,2,D,V,NORMAL,R2
2023,2023-04-29,Coritiba,São Paulo,1,1,E,E,NORMAL,R3
2023,2023-04-29,Fortaleza,Fluminense,4,2,V,D,NORMAL,R3
2023,2023-04-29,Palmeiras,Corinthians,2,1,V,D,NORMAL,R3
2023,2023-04-29,Santos,América Mineiro,3,2,V,D,NORMAL,R3
2023,2023-04-29,Red Bull Bragantino,Cruzeiro,0,3,D,V,NORMAL,R3
2023,2023-04-29,Atlético Mineiro,Athletico Paranaense,2,1,V,D,NORMAL,R3
2023,2023-04-30,Flamengo,Botafogo,2,3,D,V,NORMAL,R3
2023,2023-04-30,Internacional,Goiás,1,0,V,D,NORMAL,R3
2023,2023-04-30,Cuiabá,Grêmio,1,2,D,V,NORMAL,R3
2023,2023-05-01,Vasco,Bahia,0,1,D,V,NORMAL,R3
2023,2023-05-06,Cruzeiro,Santos,2,1,V,D,NORMAL,R4
2023,2023-05-06,Fluminense,Vasco,1,1,E,E,NORMAL,R4
2023,2023-05-07,América Mineiro,Cuiabá,1,2,D,V,NORMAL,R4
2023,2023-05-07,São Paulo,Internacional,2,0,V,D,NORMAL,R4
2023,2023-05-07,Athletico Paranaense,Flamengo,2,1,V,D,NORMAL,R4
2023,2023-05-07,Bahia,Coritiba,3,1,V,D,NORMAL,R4
2023,2023-05-07,Botafogo,Atlético Mineiro,2,0,V,D,NORMAL,R4
2023,2023-05-07,Goiás,Palmeiras,0,5,D,V,NORMAL,R4
2023,2023-05-07,Grêmio,Red Bull Bragantino,3,3,E,E,NORMAL,R4
2023,2023-05-08,Corinthians,Fortaleza,1,1,E,E,NORMAL,R4
2023,2023-05-10,Santos,Bahia,3,0,V,D,NORMAL,R5
2023,2023-05-10,Red Bull Bragantino,América Mineiro,2,2,E,E,NORMAL,R5
2023,2023-05-10,Internacional,Athletico Paranaense,0,2,D,V,NORMAL,R5
2023,2023-05-10,Flamengo,Goiás,2,0,V,D,NORMAL,R5
2023,2023-05-10,Cuiabá,Atlético Mineiro,0,4,D,V,NORMAL,R5
2023,2023-05-10,Palmeiras,Grêmio,4,1,V,D,NORMAL,R5
2023,2023-05-10,Cruzeiro,Fluminense,0,2,D,V,NORMAL,R5
2023,2023-05-11,Coritiba,Vasco,1,1,E,E,NORMAL,R5
2023,2023-05-11,Botafogo,Corinthians,3,0,V,D,NORMAL,R5
2023,2023-05-11,Fortaleza,São Paulo,0,0,E,E,NORMAL,R5
2023,2023-05-13,Bahia,Flamengo,2,3,D,V,NORMAL,R6
2023,2023-05-13,Fluminense,Cuiabá,2,0,V,D,NORMAL,R6
2023,2023-05-13,Palmeiras,Red Bull Bragantino,1,1,E,E,NORMAL,R6
2023,2023-05-13,Atlético Mineiro,Internacional,2,0,V,D,NORMAL,R6
2023,2023-05-14,Vasco,Santos,0,1,D,V,NORMAL,R6
2023,2023-05-14,Corinthians,São Paulo,1,1,E,E,NORMAL,R6
2023,2023-05-14,Grêmio,Fortaleza,0,0,E,E,NORMAL,R6
2023,2023-05-14,Goiás,Botafogo,2,1,V,D,NORMAL,R6
2023,2023-05-14,Athletico Paranaense,Coritiba,3,2,V,D,NORMAL,R6
2023,2023-05-14,América Mineiro,Cruzeiro,0,4,D,V,NORMAL,R6
2023,2023-05-20,Bahia,Goiás,1,1,E,E,NORMAL,R7
2023,2023-05-20,Botafogo,Fluminense,1,0,V,D,NORMAL,R7
2023,2023-05-20,São Paulo,Vasco,4,2,V,D,NORMAL,R7
2023,2023-05-20,Red Bull Bragantino,Athletico Paranaense,2,0,V,D,NORMAL,R7
2023,2023-05-20,Coritiba,Atlético Mineiro,1,2,D,V,NORMAL,R7
2023,2023-05-20,América Mineiro,Fortaleza,2,1,V,D,NORMAL,R7
2023,2023-05-20,Santos,Palmeiras,0,0,E,E,NORMAL,R7
2023,2023-05-21,Flamengo,Corinthians,1,0,V,D,NORMAL,R7
2023,2023-05-21,Grêmio,Internacional,3,1,V,D,NORMAL,R7
