ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
1991,1991-02-02,Santos,Vasco,0,0,E,E,NORMAL,1F
1991,1991-02-02,Atlético Mineiro,São Paulo,0,3,D,V,NORMAL,1F
1991,1991-02-03,Corinthians,Vitória,1,1,E,E,NORMAL,1F
1991,1991-02-03,Portuguesa,Sport,1,0,V,D,NORMAL,1F
1991,1991-02-03,Fluminense,Palmeiras,4,2,V,D,NORMAL,1F
1991,1991-02-03,Botafogo,Náutico,2,0,V,D,NORMAL,1F
1991,1991-02-03,Red Bull Bragantino,Bahia,1,1,E,E,NORMAL,1F
1991,1991-02-03,Athletico Paranaense,Flamengo,3,0,V,D,NORMAL,1F
1991,1991-02-03,Cruzeiro,Internacional,0,0,E,E,NORMAL,1F
1991,1991-02-03,Grêmio,Goiás,3,2,V,D,NORMAL,1F
1991,1991-02-06,Flamengo,São Paulo,1,0,V,D,NORMAL,1F
1991,1991-02-06,Red Bull Bragantino,Corinthians,2,0,V,D,NORMAL,1F
1991,1991-02-06,Botafogo,Portuguesa,2,0,V,D,NORMAL,1F
1991,1991-02-06,Cruzeiro,Vasco,3,0,V,D,NORMAL,1F
1991,1991-02-06,Bahia,Atlético Mineiro,2,2,E,E,NORMAL,1F
1991,1991-02-06,Náutico,Santos,2,0,V,D,NORMAL,1F
1991,1991-02-06,Sport,Palmeiras,1,2,D,V,NORMAL,1F
1991,1991-02-06,Internacional,Vitória,2,1,V,D,NORMAL,1F
1991,1991-02-07,Fluminense,Goiás,3,2,V,D,NORMAL,1F
1991,1991-02-07,Athletico Paranaense,Grêmio,4,2,V,D,NORMAL,1F
1991,1991-02-16,Corinthians,Botafogo,2,1,V,D,NORMAL,1F
1991,1991-02-16,Vasco,Red Bull Bragantino,2,2,E,E,NORMAL,1F
1991,1991-02-17,São Paulo,Santos,1,2,D,V,NORMAL,1F
1991,1991-02-17,Palmeiras,Portuguesa,0,2,D,V,NORMAL,1F
1991,1991-02-17,Fluminense,Athletico Paranaense,0,2,D,V,NORMAL,1F
1991,1991-02-17,Goiás,Flamengo,5,1,V,D,NORMAL,1F
1991,1991-02-17,Cruzeiro,Atlético Mineiro,2,2,E,E,NORMAL,1F
1991,1991-02-17,Bahia,Vitória,0,1,D,V,NORMAL,1F
1991,1991-02-17,Náutico,Sport,2,0,V,D,NORMAL,1F
1991,1991-02-17,Grêmio,Internacional,0,0,E,E,NORMAL,1F
1991,1991-02-23,São Paulo,Fluminense,1,0,V,D,NORMAL,1F
1991,1991-02-23,Portuguesa,Red Bull Bragantino,0,0,E,E,NORMAL,1F
1991,1991-02-23,Bahia,Flamengo,2,1,V,D,NORMAL,1F
1991,1991-02-24,Corinthians,Cruzeiro,1,1,E,E,NORMAL,1F
1991,1991-02-24,Palmeiras,Náutico,2,0,V,D,NORMAL,1F
1991,1991-02-24,Botafogo,Vitória,2,0,V,D,NORMAL,1F
1991,1991-02-24,Atlético Mineiro,Grêmio,1,0,V,D,NORMAL,1F
1991,1991-02-24,Internacional,Athletico Paranaense,2,0,V,D,NORMAL,1F
1991,1991-02-24,Goiás,Vasco,2,2,E,E,NORMAL,1F
1991,1991-02-25,Santos,Sport,3,1,V,D,NORMAL,1F
1991,1991-03-02,Vasco,Corinthians,0,1,D,V,NORMAL,1F
